SerialNumber,ID,PosX,PosY,PosZ,RotX,RotY,RotZ,残りHP,討伐済み
1,ghost,223.000000,226.000000,-1399.000000,0,0,0,40,
2,ghost,509.000000,19.000000,-1263.000000,0,0,0,40,
3,ghost,1112.000000,210.000000,-1063.000000,0,0,0,40,
4,bigCube,-1997.540283,58.384167,-1570.866821,0,0,0,100,
5,bigCube,-1996.523071,59.881821,-1552.013672,0,0,0,100,
6,enchu,-1995.189209,61.103790,-1499.749512,0,0,0,100,
7,enchu,-1995.144043,57.986271,-1445.541504,0,0,0,100,
8,bigCube,-1995.144043,61.887623,-1514.985840,0,0,0,100,
9,enchu,-1993.697266,57.488365,-1436.137451,0,0,0,100,
10,bigCube,-1993.697266,60.391403,-1592.387451,0,0,0,100,
11,enchu,-1993.697266,60.391403,-1453.498535,0,0,0,100,
12,enchu,-1991.346313,56.649395,-1414.074463,0,0,0,100,
13,smallCube,-1991.346191,56.649399,-1631.811523,0,0,0,100,
14,smallCube,-1989.537720,58.378990,-1627.426025,0,0,0,100,
15,smallCube,-1987.910156,58.244854,-1638.683594,0,0,0,100,
16,bigCube,-1987.910156,65.600861,-1569.239258,0,0,0,100,
17,enchu,-1987.910156,65.600861,-1476.646851,0,0,0,100,
18,enchu,-1987.864990,62.069710,-1437.629517,0,0,0,100,
19,smallCube,-1987.367798,60.367020,-1622.950195,0,0,0,100,
20,enchu,-1987.367798,65.363159,-1460.370605,0,0,0,100,
21,enchu,-1987.367676,66.623123,-1492.380127,0,0,0,100,
22,enchu,-1985.785278,67.262779,-1478.771729,0,0,0,100,
23,enchu,-1985.785156,59.231510,-1402.952515,0,0,0,100,
24,enban,-1985.016846,57.657795,-1384.053955,0,0,0,100,
25,bigCube,-1985.016846,68.547264,-1548.984619,0,0,0,100,
26,smallCube,-1981.987549,66.658173,-1606.922852,0,0,0,100,
27,enchu,-1981.038086,62.582043,-1403.766235,0,0,0,100,
28,bigCube,-1981.038086,70.569832,-1572.675293,0,0,0,100,
29,enchu,-1980.495605,66.235428,-1429.807861,0,0,0,100,
30,bigCube,-1980.495605,69.047752,-1599.259521,0,0,0,100,
31,enchu,-1980.495605,72.127838,-1499.252197,0,0,0,100,
32,bigCube,-1980.495605,73.108017,-1529.815186,0,0,0,100,
33,bigCube,-1980.495605,73.108017,-1516.070801,0,0,0,100,
34,smallCube,-1979.681763,62.065536,-1655.140381,0,0,0,100,
35,enchu,-1979.681763,64.810600,-1415.430664,0,0,0,100,
36,smallCube,-1976.652588,64.904915,-1648.313477,0,0,0,100,
37,enchu,-1976.652588,73.583321,-1467.016602,0,0,0,100,
38,bigCube,-1976.652588,73.898315,-1570.866821,0,0,0,100,
39,enchu,-1976.652588,73.898315,-1475.019043,0,0,0,100,
40,bigCube,-1976.336182,73.286270,-1592.387451,0,0,0,100,
41,bigCube,-1976.336182,76.676590,-1522.943115,0,0,0,100,
42,enban,-1976.019653,60.408203,-1370.535889,0,0,0,100,
43,bigCube,-1976.019653,76.129822,-1509.424805,0,0,0,100,
44,smallCube,-1972.990601,64.219681,-1668.522949,0,0,0,100,
45,enban,-1972.990601,64.219681,-1377.362793,0,0,0,100,
46,smallCube,-1972.990601,70.524574,-1623.764038,0,0,0,100,
47,enchu,-1972.990601,74.652344,-1446.807251,0,0,0,100,
48,bigCube,-1972.990601,77.396233,-1554.319580,0,0,0,100,
49,bigCube,-1972.990601,78.834869,-1529.634277,0,0,0,100,
50,smallCube,-1972.176758,67.239609,-1654.959473,0,0,0,100,
51,enban,-1971.634155,61.849098,-1364.341919,0,0,0,100,
52,smallCube,-1971.634155,73.482468,-1612.099487,0,0,0,100,
53,enchu,-1970.684814,78.055977,-1468.033936,0,0,0,100,
54,enban,-1969.791992,60.967415,-1355.876221,0,0,0,100,
55,enchu,-1969.791992,73.435257,-1425.320801,0,0,0,100,
56,smallCube,-1969.791748,60.967415,-1690.009766,0,0,0,100,
57,smallCube,-1969.791748,73.435257,-1620.565430,0,0,0,100,
58,hanen,-1967.655762,58.573475,-1705.234619,0,0,0,100,
59,bigCube,-1967.655762,79.733711,-1592.387451,0,0,0,100,
60,smallCube,-1966.887085,63.698898,-1687.104858,0,0,0,100,
61,enban,-1966.887085,63.698898,-1358.781006,0,0,0,100,
62,enban,-1966.887085,65.315506,-1365.155762,0,0,0,100,
63,enchu,-1966.887085,76.078529,-1428.225586,0,0,0,100,
64,enchu,-1966.887085,82.400757,-1497.669922,0,0,0,100,
65,bigCube,-1966.887085,82.772263,-1504.044800,0,0,0,100,
66,bigCube,-1966.887085,82.772270,-1541.841431,0,0,0,100,
67,hanen,-1965.304688,61.334507,-1700.713379,0,0,0,100,
68,enban,-1965.304688,69.451965,-1377.181885,0,0,0,100,
69,bigCube,-1965.304688,84.678391,-1529.815186,0,0,0,100,
70,enban,-1964.807373,73.300919,-1399.923218,0,0,0,100,
71,smallCube,-1964.762085,65.697021,-1684.979858,0,0,0,100,
72,enban,-1964.762085,65.697021,-1360.906006,0,0,0,100,
73,enchu,-1964.762085,78.012131,-1430.350586,0,0,0,100,
74,bigCube,-1964.762085,84.143066,-1546.091187,0,0,0,100,
75,enchu,-1964.762085,84.143066,-1499.794922,0,0,0,100,
76,smallCube,-1963.134521,63.959877,-1696.237427,0,0,0,100,
77,smallCube,-1963.134521,80.831299,-1605.905518,0,0,0,100,
78,bigCube,-1963.134521,84.726662,-1557.348755,0,0,0,100,
79,bigCube,-1963.134521,85.943970,-1509.424805,0,0,0,100,
80,enban,-1961.326050,68.928032,-1364.342041,0,0,0,100,
81,smallCube,-1961.326050,79.415115,-1622.407593,0,0,0,100,
82,smallCube,-1960.512329,68.076660,-1687.104858,0,0,0,100,
83,enban,-1960.512329,68.076660,-1358.781006,0,0,0,100,
84,bigCube,-1960.512329,87.256180,-1548.216187,0,0,0,100,
85,enchu,-1960.512329,87.256180,-1497.670044,0,0,0,100,
86,hanen,-1958.975098,59.509861,-1731.276123,0,0,0,100,
87,hanen,-1958.975098,62.333336,-1713.915039,0,0,0,100,
88,smallCube,-1957.483154,74.708618,-1669.156006,0,0,0,100,
89,enban,-1957.483154,74.708618,-1376.729736,0,0,0,100,
90,smallCube,-1957.483154,79.555405,-1638.638428,0,0,0,100,
91,bigCube,-1957.483154,86.064575,-1599.711670,0,0,0,100,
92,enchu,-1957.483154,86.064590,-1446.174438,0,0,0,100,
93,bigCube,-1957.483154,90.609406,-1515.618774,0,0,0,100,
94,hanen,-1956.149536,67.243362,-1702.205322,0,0,0,100,
95,enban,-1956.149536,73.795807,-1369.518677,0,0,0,100,
96,hanen,-1956.149414,56.772137,-1745.811646,0,0,0,100,
97,enban,-1956.149414,67.243362,-1343.680420,0,0,0,100,
98,enchu,-1956.149414,81.528824,-1413.125122,0,0,0,100,
99,enchu,-1956.149414,89.699173,-1482.569458,0,0,0,100,
100,bigCube,-1956.149414,91.205002,-1537.478638,0,0,0,100,
101,smallCube,-1955.132080,72.722984,-1683.352295,0,0,0,100,
102,enban,-1955.132080,72.722984,-1362.533569,0,0,0,100,
103,enchu,-1955.132080,85.436920,-1431.978027,0,0,0,100,
104,bigCube,-1955.132080,90.821777,-1557.348755,0,0,0,100,
105,enchu,-1955.132080,90.821777,-1488.537354,0,0,0,100,
106,bigCube,-1955.132080,91.572708,-1544.463623,0,0,0,100,
107,bigCube,-1955.132080,91.572723,-1501.422363,0,0,0,100,
108,enban,-1954.702393,71.329666,-1355.876221,0,0,0,100,
109,smallCube,-1954.702393,84.642715,-1620.565186,0,0,0,100,
110,enchu,-1954.702393,91.511871,-1494.765015,0,0,0,100,
111,hanen,-1950.294556,66.093201,-1722.595581,0,0,0,100,
112,smallCube,-1950.294556,81.502625,-1661.831665,0,0,0,100,
113,enban,-1950.294556,81.502625,-1384.054077,0,0,0,100,
114,smallCube,-1950.294556,82.467926,-1653.151123,0,0,0,100,
115,enban,-1950.294556,82.467926,-1392.734619,0,0,0,100,
116,bigCube,-1950.294556,92.628586,-1592.387451,0,0,0,100,
117,bigCube,-1950.294556,96.511520,-1522.942993,0,0,0,100,
118,enban,-1949.571289,68.424423,-1330.523926,0,0,0,100,
119,smallCube,-1949.571289,79.981491,-1669.788818,0,0,0,100,
120,smallCube,-1949.571289,91.835312,-1600.344482,0,0,0,100,
121,bigCube,-1949.571289,96.598763,-1530.900146,0,0,0,100,
122,hanen,-1949.571167,68.424423,-1715.361816,0,0,0,100,
123,enban,-1949.571167,79.981491,-1376.096924,0,0,0,100,
124,smallCube,-1949.571167,84.214813,-1645.917358,0,0,0,100,
125,enchu,-1949.571167,91.835312,-1445.541382,0,0,0,100,
126,bigCube,-1949.571167,93.942810,-1576.473022,0,0,0,100,
127,bigCube,-1949.571167,96.598755,-1514.985718,0,0,0,100,
128,sphere,-1948.938232,60.662384,-1298.740479,0,0,0,100,
129,hanen,-1948.938232,70.705017,-1708.082764,0,0,0,100,
130,enban,-1948.938232,70.705017,-1337.802979,0,0,0,100,
131,smallCube,-1948.938232,90.982437,-1608.256592,0,0,0,100,
132,bigCube,-1948.938232,94.849121,-1569.194092,0,0,0,100,
133,sphere,-1948.486084,58.552551,-1290.918945,0,0,0,100,
134,enban,-1948.486084,72.884346,-1345.172363,0,0,0,100,
135,smallCube,-1948.486084,76.736702,-1685.522461,0,0,0,100,
136,enchu,-1948.305176,88.859467,-1422.121826,0,0,0,100,
137,bigCube,-1948.305176,96.198097,-1554.319702,0,0,0,100,
138,enchu,-1948.305176,96.198105,-1491.566406,0,0,0,100,
139,sphere,-1941.614014,61.931599,-1288.567871,0,0,0,100,
140,hanen,-1941.614014,61.932045,-1757.317871,0,0,0,100,
141,hanen,-1941.614014,67.212723,-1739.956665,0,0,0,100,
142,hanen,-1941.614014,69.853058,-1731.276123,0,0,0,100,
143,enban,-1941.614014,69.853058,-1314.609619,0,0,0,100,
144,hanen,-1941.614014,74.255753,-1713.915039,0,0,0,100,
145,enban,-1941.614014,74.255753,-1331.970703,0,0,0,100,
146,hanen,-1941.614014,76.457100,-1705.234619,0,0,0,100,
147,smallCube,-1941.614014,83.061142,-1679.192871,0,0,0,100,
148,smallCube,-1941.614014,85.262489,-1670.512207,0,0,0,100,
149,enban,-1941.614014,87.463837,-1384.054077,0,0,0,100,
150,smallCube,-1941.614014,90.366882,-1644.470581,0,0,0,100,
151,smallCube,-1941.614014,91.818405,-1635.790039,0,0,0,100,
152,smallCube,-1941.614014,93.269928,-1627.109619,0,0,0,100,
153,smallCube,-1941.614014,94.721451,-1618.428955,0,0,0,100,
154,bigCube,-1941.614014,99.076019,-1592.387329,0,0,0,100,
155,enchu,-1941.614014,99.076019,-1453.498535,0,0,0,100,
156,bigCube,-1941.614014,100.087814,-1575.026245,0,0,0,100,
157,enchu,-1941.614014,100.087814,-1470.859619,0,0,0,100,
158,bigCube,-1941.614014,102.111382,-1540.304077,0,0,0,100,
159,bigCube,-1941.614014,102.111382,-1505.581787,0,0,0,100,
160,bigCube,-1941.614014,102.617279,-1514.262451,0,0,0,100,
161,sphere,-1934.922852,62.678314,-1276.541748,0,0,0,100,
162,enban,-1934.922852,83.022270,-1345.986206,0,0,0,100,
163,enchu,-1934.922852,98.525436,-1415.430542,0,0,0,100,
164,enchu,-1934.922852,107.092751,-1484.875244,0,0,0,100,
165,hanen,-1934.741943,60.460098,-1777.029907,0,0,0,100,
166,hanen,-1934.741943,81.214035,-1707.585571,0,0,0,100,
167,smallCube,-1934.741943,85.066391,-1692.394531,0,0,0,100,
168,enban,-1934.741943,85.066391,-1353.491211,0,0,0,100,
169,bigCube,-1934.741943,106.812073,-1568.696777,0,0,0,100,
170,bigCube,-1934.289795,106.774353,-1576.518188,0,0,0,100,
171,hanen,-1934.289673,67.619843,-1754.469482,0,0,0,100,
172,smallCube,-1934.289673,87.287430,-1685.025146,0,0,0,100,
173,bigCube,-1934.289673,108.544983,-1546.136353,0,0,0,100,
174,bigCube,-1933.656982,106.898613,-1584.430176,0,0,0,100,
175,bigCube,-1933.656982,109.554565,-1507.028564,0,0,0,100,
176,enban,-1933.656738,78.069321,-1322.566772,0,0,0,100,
177,enchu,-1933.656738,106.898613,-1461.455688,0,0,0,100,
178,hanen,-1932.933472,72.927017,-1739.956665,0,0,0,100,
179,smallCube,-1932.933472,95.007553,-1661.831665,0,0,0,100,
180,bigCube,-1932.933472,110.645126,-1531.623535,0,0,0,100,
181,enban,-1928.525391,87.194435,-1342.787598,0,0,0,100,
182,enchu,-1928.525391,103.550125,-1412.231934,0,0,0,100,
183,sphere,-1928.095947,64.174438,-1266.685669,0,0,0,100,
184,hanen,-1928.095947,64.175018,-1779.199951,0,0,0,100,
185,hanen,-1928.095947,68.094269,-1766.314697,0,0,0,100,
186,enban,-1928.095947,89.108353,-1349.015381,0,0,0,100,
187,enchu,-1928.095947,104.964767,-1418.459717,0,0,0,100,
188,bigCube,-1928.095947,112.831917,-1570.866821,0,0,0,100,
189,bigCube,-1928.095947,113.582855,-1557.981689,0,0,0,100,
190,bigCube,-1927.078735,113.365593,-1577.851807,0,0,0,100,
191,hanen,-1927.078491,70.579147,-1760.346924,0,0,0,100,
192,enban,-1927.078491,84.861740,-1329.145020,0,0,0,100,
193,hanen,-1925.744873,73.244858,-1754.469482,0,0,0,100,
194,enban,-1925.744873,84.071945,-1321.933838,0,0,0,100,
