クエストID,開始タイプ,開始タイプオプション,開始イベント,完了タイプ,完了オプション１,完了オプション２,完了イベント
Q1,位置,-285.0:16.0:539.0:10.0,,調べたら,-265.0:16.0:539.0:10.0,,<talk>res\\script\\talk2Sample2.csv
Q2,クエストが完了していたら,Q1,,調べたら,-245.0:26.0:539.0:10.0,,<hide>res\\model\\rockWithDepressions\\water.x
Q3,クエストが完了していたら,Q1,,調べたら,-250.0:26.0:539.0:10.0,,<hide>res\\model\\rockWithDepressions\\water.x
Q4,クエストが完了していたら,Q1,,調べたら,-255.0:26.0:539.0:10.0,,<hide>res\\model\\rockWithDepressions\\water.x
Q5,クエストが完了していたら,Q1,,調べたら,-260.0:26.0:539.0:10.0,,<hide>res\\model\\rockWithDepressions\\water.x
Q6,クエストが完了していたら,Q1,,調べたら,-265.0:26.0:539.0:10.0,,<hide>res\\model\\rockWithDepressions\\water.x
Q7,クエストが完了していたら,Q1,,調べたら,-270.0:26.0:539.0:10.0,,<hide>res\\model\\rockWithDepressions\\water.x
Q8,クエストが完了していたら,Q1,,調べたら,-275.0:26.0:539.0:10.0,,<hide>res\\model\\rockWithDepressions\\water.x
Q9,"クエストが完了していたら
クエストが完了していたら
クエストが完了していたら
クエストが完了していたら
クエストが完了していたら
クエストが完了していたら
クエストが完了していたら","Q2
Q3
Q4
Q5
Q6
Q7
Q8",,自動完了,,,<talk>res\\script\\talk2Sample2.csv
Q10,クエストが完了していたら,Q8,,位置,1172.0:16.0:330.0:20.0,,<talk>res\\script\\talk2Sample2.csv
Q11,クエストが完了していたら,Q9,,自動完了,,,<ending>
