ID,オプション1,オプション2,オプション3,Unnamed: 4,Unnamed: 5
1,"After escaping from the monster, Star Man kept searching for the marker rock while picking up acorns. ",res\\image\\hoshiman00.png,,,
2,"He spent the entire day wandering lost in the forest, and finally discovered the marker rock.",res\\image\\hoshiman00.png,,,
3,(This is it... No doubt about it!) ,res\\image\\hoshiman00.png,,,
4,"""Hey!! Anybody there!?"" ",res\\image\\hoshiman00.png,,,
5,"Star Man shouted at the top of his lungs, but there was no response. ",res\\image\\hoshiman00.png,,,
6,(Should I have specified a time too...? Maybe... maybe they’ve already died...) ,res\\image\\hoshiman00.png,,,
7,"With no water or food, and monsters swarming the forest, it was unrealistic to think they had survived. ",res\\image\\hoshiman00.png,,,
8,(No... I can’t give up yet. I’ll try making a fire to send up smoke.) ,res\\image\\hoshiman00.png,,,
9,Star Man decided to start a fire on a rock to avoid causing a forest fire. ,res\\image\\hoshiman00.png,,,
10,"(I’ve seen how to do this in videos, but I’ve never actually tried it...) ",res\\image\\hoshiman00.png,,,
11,One hour later... ,,,,
12,"After an hour of rubbing sticks together, Star Man finally got a flame. ",res\\image\\hoshiman00.png,,,
13,(My hands hurt so much...) ,res\\image\\hoshiman00.png,,,
14,Star Man’s hands were covered in blisters and scrapes. ,res\\image\\hoshiman00.png,,,
15,"Star Man fed the flame into a campfire.
Then he kept shouting toward the mountains. ",res\\image\\hoshiman00.png,,,
16,"""Heeey! Triangle Man!! Square Man!!"" ",res\\image\\hoshiman00.png,,,
17,"After four hours had passed and evening came, he finally heard the children's voices in the distance. ",res\\image\\hoshiman00.png,,,
18,(Thank goodness... they're alive...!) ,res\\image\\hoshiman00.png,,,
19,"""Hey!""
When Star Man called out, Triangle Man and the others ran toward him. ",res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
20,"""Look! I found coconuts. You can drink some."" ",res\\image\\hoshiman00.png,,,
21,"""Okay..."" ",res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
22,"Star Man took a coconut from the bag, cracked it open, and gave it to the children. ",res\\image\\hoshiman00.png,,,
23,"""Where have you been all this time?"" ",res\\image\\hoshiman00.png,,,
24,"""Over there, eating acorns."" ",res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
25,"""I see. And water?"" ",res\\image\\hoshiman00.png,,,
26,"""The white person gave it to us."" ",res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
27,"""...? A white person...?"" ",res\\image\\hoshiman00.png,,,
28,"""I dunno."" ",res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
29,"""I see...
There’s a place over there with coconut trees. Let’s head that way."" ",res\\image\\hoshiman00.png,,,
30,"""Okay."" ",res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
31,"""Thereâ€™s a ruin on the way. Letâ€™s go there first, then to the coconuts."" ",res\\image\\hoshiman00.png,,,
32,"""Got it."" ",res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
33,"""The white person came, you know."" ",res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
34,Triangle Man said to Star Man. ,res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
35,"""He didn’t say a single word.
He left some bamboo and disappeared. The bamboo had water in it."" ",res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
36,"""A fairy... or maybe a ghost..."" ",res\\image\\hoshiman00.png,,,
37,"""Ahaha."" ",res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
38,"""Listen, the place we’re heading with the coconut trees—there’s a different kind of monster there,
not like the green cubes or the disk-shaped ones."" ",res\\image\\hoshiman00.png,,,
39,"""Okay."" ",res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
40,"""It’s a big blue sphere-like monster. Be careful not to get close.
The blue ones don’t move unless you approach them."" ",res\\image\\hoshiman00.png,,,
41,The three of them headed toward the ruin. ,,,,
