ID,Option 1,オプション2,オプション3,,
1,"One day, Triangle Man and Square Man were out gathering food as usual.",res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
2,"There were no coconut trees around the sea‑cave, but they did find bananas and a purple yam.",,,,
3,"After Trapezoid Man did a patch test and confirmed they weren’t poisonous, those two foods became part of their diet.",,,,
4,"No poisonous bananas exist, and almost no fruits are toxic in general—but none of them knew that.",,,,
5,"Because these were wild, not cultivated bananas, they had almost no flavor.
Even so, bananas could be harvested year‑round, so",,,,
6,"—the never‑ending season of bananas puzzled Star Man and the others, yet they kept eating them anyway.",,,,
7,"Square Man had been loading bananas into the basket on his back, and now it was full.",res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
8,"""I’m going to drop these bananas off real quick,"" he said.",res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
9,Square Man told Triangle Man.,res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
10,"""Okay!""",res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
11,"Triangle Man kept picking bananas.
When his own basket was crammed full, he decided to head back to base.",res\\image\\sankakuman00.png,,,
12,———,,,,
13,"Triangle Man returned to camp.
Trapezoid Man was twisting rope for the raft.",res\\image\\sankakuman00.png,,,
14,"""Where’s Square Man?""",res\\image\\sankakuman00.png,res\\image\\daikeiman00.png,,
15,Triangle Man asked Trapezoid Man.,res\\image\\sankakuman00.png,res\\image\\daikeiman00.png,,
16,"""Huh?""",res\\image\\sankakuman00.png,res\\image\\daikeiman00.png,,
17,———,,,,
18,Square Man had vanished.,,,,
19,"Triangle Man kept searching for him but never found him.
Star Man came back in the evening.",,,,
20,"""Star Man, Square Man’s gone. Triangle Man is out looking for him,"" said Trapezoid Man.",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
21,Trapezoid Man explained.,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
22,"""...! I’ll go look too. About where did he disappear?""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
23,"""Toward the wetlands.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
24,"Just beyond the sea‑cave lay an area called the Jenking Wetlands.
Star Man set off in that direction.",,,,
25,"Star Man and Triangle Man searched for Square Man until nightfall.
Searching in the dark was impossible, so they waited for dawn.",res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
26,"""Tomorrow morning we’ll search the wetlands again.
 And Nes and Gain are suspect.
 Given the situation... we’ve got no choice but to confront them.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
27,"""...""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
28,"""In the end, even if I die I can come back to life—and I can use magic.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
29,(We might actually end up committing murder...),res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
30,The three of them stopped building the raft and focused on the search for Square Man.,,,,
