ID,オプション1,オプション2,オプション3,,
1,"ホシマンは声のする方へ恐る恐る進んでいった。
声のする方をのぞき込むと頭が台形の男が寝そべっていた。",,res\\image\\daikeiman00.png,,
2,「助けてくれ・・・」,,res\\image\\daikeiman00.png,,
3,男は今にも死にそうであった。ホシマンは重い体を引きずりながら近寄っていく。,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
4,「大丈夫ですか」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
5,「何か食べ物・・・」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
6,"男は全身あざと出血でぼろぼろだった。
そして両方の足が通常の３倍くらいの大きさになっていた。",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
7,「両足が折れた・・・。高いところから落ちて・・・。落とされて・・・」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
8,男は声を出すだけでも大変そうだった。,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
9,"「私も・・・今はなくて・・・、すまない。
それでもドングリの木がある場所を知ってるから持ってこれる。
数時間だけ持ちこたえることはできるか？」",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
10,「あぁ」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
11,「はぁ・・・はぁ・・・その前に・・・すまない・・・水はないか？」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
12,「海の方にココナッツの木がある。ぐ・・・あれなら・・・水分にも食材にもなる」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
13,「わかった・・・」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
14,「頼む・・・」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
15,ホシマンはヨロヨロと外に歩いて行った。,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
