ID,完成品,完成品の数,完成品の強化値,素材１,素材１の必要数,素材１の強化値,素材２,素材２の必要数,素材２の強化値,素材３,素材３の必要数,素材３の強化値,素材４,素材４の必要数,素材４の強化値,素材５,素材５の必要数,素材５の強化値
1,raft,1,,trunk,25,,tsuta,25,,,,,,,,,,
2,raft1,1,1,trunk,25,,tsuta,25,,,,,,,,,,
3,raft2,1,2,trunk,25,,tsuta,25,,,,,,,,,,
4,raft3,1,3,trunk,25,,tsuta,25,,bui,5,,,,,,,
5,raft4,1,4,trunk,25,,tsuta,25,,bui,5,,,,,,,
6,raft5,1,5,trunk,25,,tsuta,25,,bui,5,,,,,,,
7,raft6,1,6,trunk,25,,tsuta,25,,bui,5,,,,,,,
8,raft7,1,7,trunk,25,,tsuta,25,,bui,5,,,,,,,
9,raft8,1,8,trunk,25,,tsuta,25,,bui,5,,,,,,,
10,raft9,1,9,trunk,25,,tsuta,25,,bui,5,,,,,,,
11,raft10,1,10,trunk,25,,tsuta,25,,bui,5,,,,,,,
12,sotetsuDetox,1,,sotetsu,10,,bagForDetox,1,,,,,,,,,,
13,bag,1,,tsuta,10,,,,,,,,,,,,,
14,bag1,1,1,tsuta,10,,,,,,,,,,,,,
15,bag2,1,2,tsuta,10,,,,,,,,,,,,,
16,bag3,1,3,tsuta,10,,,,,,,,,,,,,
17,bag4,1,4,tsuta,10,,,,,,,,,,,,,
18,bag5,1,5,tsuta,10,,,,,,,,,,,,,
19,stick,1,,trunk,1,,,,,,,,,,,,,
20,stick1,1,1,trunk,1,,,,,,,,,,,,,
21,stick2,1,2,trunk,1,,,,,,,,,,,,,
22,stick3,1,3,trunk,1,,,,,,,,,,,,,
23,stick4,1,4,trunk,1,,,,,,,,,,,,,
24,stick5,1,5,trunk,1,,,,,,,,,,,,,
25,stoneSpear,1,,trunk,1,,stoneForSpear,1,,,,,,,,,,
26,stoneSpear1,1,1,trunk,1,,stoneForSpear,1,,,,,,,,,,
27,stoneSpear2,1,2,trunk,1,,stoneForSpear,1,,,,,,,,,,
28,stoneSpear3,1,3,trunk,1,,stoneForSpear,1,,,,,,,,,,
29,stoneSpear4,1,4,trunk,1,,stoneForSpear,1,,,,,,,,,,
30,stoneSpear5,1,5,trunk,1,,stoneForSpear,1,,,,,,,,,,
31,stoneAxe,1,,tsuta,2,,stoneForAxe,1,,,,,,,,,,
32,stoneAxe1,1,1,tsuta,2,,stoneForAxe,1,,,,,,,,,,
33,stoneAxe2,1,2,tsuta,2,,stoneForAxe,1,,,,,,,,,,
34,stoneAxe3,1,3,tsuta,2,,stoneForAxe,1,,,,,,,,,,
35,stoneAxe4,1,4,tsuta,2,,stoneForAxe,1,,,,,,,,,,
36,stoneAxe5,1,5,tsuta,2,,stoneForAxe,1,,,,,,,,,,
37,bow,1,,trunk,1,,tsuta,1,,,,,,,,,,
38,bow1,1,1,trunk,1,,tsuta,1,,,,,,,,,,
39,bow2,1,2,trunk,1,,tsuta,1,,,,,,,,,,
40,bow3,1,3,trunk,1,,tsuta,1,,,,,,,,,,
41,bow4,1,4,trunk,1,,tsuta,1,,,,,,,,,,
42,bow5,1,5,trunk,1,,tsuta,1,,,,,,,,,,
43,bow6,1,6,trunk,1,,tsuta,1,,,,,,,,,,
44,bow7,1,7,trunk,1,,tsuta,1,,,,,,,,,,
45,bow8,1,8,trunk,1,,tsuta,1,,,,,,,,,,
46,bow9,1,9,trunk,1,,tsuta,1,,,,,,,,,,
47,bow10,1,10,trunk,1,,tsuta,1,,,,,,,,,,
48,arrow,1,,branch,1,,,,,,,,,,,,,
49,arrow1,1,1,branch,1,,,,,,,,,,,,,
50,ironPipeEx,1,,ironPipe,1,,stoneForAxe,1,,tsuta,2,,,,,,,
51,atlatl,1,,branch,1,,,,,,,,,,,,,
52,spearForAtlatl,1,,branch,1,,stoneForSpear,1,,tsuta,2,,,,,,,
53,spearForAtlatl1,1,1,branch,1,,stoneForSpear,1,,tsuta,2,,,,,,,
54,spearForAtlatl2,1,2,branch,1,,stoneForSpear,1,,tsuta,2,,,,,,,
55,spearForAtlatl3,1,3,branch,1,,stoneForSpear,1,,tsuta,2,,,,,,,
56,spearForAtlatl4,1,4,branch,1,,stoneForSpear,1,,tsuta,2,,,,,,,
57,spearForAtlatl5,1,5,branch,1,,stoneForSpear,1,,tsuta,2,,,,,,,
58,bagForDetox,1,,tsuta,10,,,,,,,,,,,,,
59,bagForDetox1,1,1,tsuta,10,,,,,,,,,,,,,
60,bagForDetox2,1,2,tsuta,10,,,,,,,,,,,,,
61,bagForDetox3,1,3,tsuta,10,,,,,,,,,,,,,
62,bagForDetox4,1,4,tsuta,10,,,,,,,,,,,,,
63,bagForDetox5,1,5,tsuta,10,,,,,,,,,,,,,
64,kakan,1,,flower,10,,,,,,,,,,,,,
65,sugegasa,1,,tsuta,10,,,,,,,,,,,,,
66,donguriDetox,5,,donguri3,10,,bagForDetox,1,,,,,,,,,,
67,sotetsuDetox,2,,sotetsu,12,,bagForDetox1,1,1,,,,,,,,,
68,sotetsuDetox,3,,sotetsu,14,,bagForDetox2,1,2,,,,,,,,,
69,sotetsuDetox,4,,sotetsu,16,,bagForDetox3,1,3,,,,,,,,,
70,sotetsuDetox,5,,sotetsu,18,,bagForDetox4,1,4,,,,,,,,,
71,sotetsuDetox,6,,sotetsu,20,,bagForDetox5,1,5,,,,,,,,,
72,donguriDetox,6,,donguri3,12,,bagForDetox1,1,1,,,,,,,,,
73,donguriDetox,7,,donguri3,14,,bagForDetox2,1,2,,,,,,,,,
74,donguriDetox,8,,donguri3,16,,bagForDetox3,1,3,,,,,,,,,
75,donguriDetox,9,,donguri3,18,,bagForDetox4,1,4,,,,,,,,,
76,donguriDetox,10,,donguri3,20,,bagForDetox5,1,5,,,,,,,,,
