ID,オプション1,オプション2,オプション3,,
1,「希望が見えてきた気がする・・・」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
2,　ホシマンとダイケイマンは赤い実とドングリを食べながら話していた。,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
3,「オプティプル島へは旅行だったのか？」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
4,　ダイケイマンは聞いた。,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
5,「・・・」,res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
6,"「派遣で働いていて、７月末で案件の切れ目だったから、
　しばらく自由に過ごそうと思ったんだ」",res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
7,「オプティプル島で夏休みなら最高じゃん」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
8,「・・・あぁ」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
9,　ホシマンはうつむいて目を瞑った。,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
10,「オプティプル島に何しに行く予定だったんだ？」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
11,「・・・。個人的なことだ・・・。」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
12,"ホシマンは以前、港で働いていた。
船に乗せる荷物を調べ、データを入力し、船に乗せる、
という業務を行っていた。",,,,
13,"ホシマンは、勤務先でパワハラを受けていた。
ホシマンの業務遂行能力には問題がなかった。
単にそういう社風の勤務先だった。",,,,
14,"何も悪さをしていなくても
習慣として言いがかりをつけて罵声を浴びせるというのがあった。",,,,
15,"当時、ホシマンはマッチングアプリで知り合った
ヒシガタマンという女性と交際していた。",,,,
16,"恋人との交際は楽しいことばかりではなく、
忍耐が要求される場面もあった。
",,,,
17,"ホシマンの場合は、ドタキャン、便利屋のように使われる、
借金の肩代わりなどがあった。
",,,,
18,"それでも別れなかったのは、悪いことだけ、
というわけではなかったし、悪いところがない人というのはいない、
という考えがホシマンにはあったからだった。",,,,
19,"しかし仕事で疲弊していたホシマンにとって、
その忍耐はより過酷となっていた。",,,,
20,"ホシマンは７月末で仕事をやめ８月になったら
数か月無職として過ごすことにした。
これまでの分、ヒシガタマンと過ごすことにした。",,,,
21,"ホシマンはそのことをヒシガタマンに伝え、
８月になったら二人でオプティプル島へ旅行に行くことにした。
ホシマンたちは、旅行の計画を立て船やホテルの予約をした。",,,,
22,"そして、ヒシガタマンから他の男と交際したいということを打ち明けられ、
別れることになった。",,,,
23,"ホシマンは交際相手のいない無職の男になった。
ホシマンはオプティプル島へ行くか迷った。
",,,,
24,"元々、オプティプル島へ行きたかったのもあったが、
キャンセル料金が最後の決め手となりオプティプル島へ一人で行くことにした。",,,,
25,"辛いが、自殺しようという考えはなかった。
ただしばらく一人で過ごしたかった。",,,,
26,"何もする気が起きず無気力だった自分にとって、
今の命の危険がある状況がホシマンは少し嬉しかった。",,,,
27,「ただのツーリングだ」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
28,ホシマンはつぶやいた。,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
