ID,Option 1,オプション2,オプション3,,
1,"In the evening, the four of them arrived at DirectNex Seaside Cave.",,,,
2,Star Man crafted a torch and explored inside the cave.,res\\image\\hoshiman00.png,,,
3,"(There are three entrances.
Seawater can't reach one of the areas, but it's piled with trash.
If we clear it out, we could live here.)",res\\image\\hoshiman00.png,,,
4,Star Man came back out of the cave.,res\\image\\hoshiman00.png,,,
5,"""Humans could probably live here, but there's a ton of garbage, so we'll have to clean it up. That's enough for today—let's start tomorrow.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
6,"A little inland from the sea cave was a stretch of beach and some trees. After gathering driftwood and starting a fire, Square Man fell asleep, and the four of them took a rest there.",,,,
7,"As Star Man walked along the shore, he spotted a rock covered in black shells. He pried one off with his stone axe and took it to show Trapezoid Man.",res\\image\\hoshiman00.png,,,
8,"""Is this... a mussel?""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
9,"""Looks like it, but I’m not sure... To be honest, I don’t know any black shell other than mussels.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
10,"""Same here... Let's roast it and taste a piece no bigger than a rice grain first.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
11,"""I'll do the honors.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
12,"""...""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
13,Star Man set a stone beside the campfire and placed the shell on top to roast.,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
14,After a while the shell was cooked through.,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
15,"Trapezoid Man nibbled a tiny piece of the meat. When nothing happened an hour later, he went ahead and ate a whole one.",res\\image\\daikeiman00.png,res\\image\\sankakuman00.png,,
16,"""Whoa—it's insanely good!""",res\\image\\daikeiman00.png,res\\image\\sankakuman00.png,,
17,"""Let’s hope it isn’t poisonous, though~""",res\\image\\daikeiman00.png,res\\image\\sankakuman00.png,,
18,"""Ugh, m‑my stomach~""",res\\image\\daikeiman00.png,res\\image\\sankakuman00.png,,
19,"""Ahahaha.""",res\\image\\daikeiman00.png,res\\image\\sankakuman00.png,,
20,Star Man was cleaning out the cave alone. In the trash he found a box of playing cards; all the cards seemed to be there.,res\\image\\hoshiman00.png,,,
21,"Looking back at the fire, he saw Square Man still asleep while Triangle Man and Trapezoid Man poked the flames with sticks and chatted.",res\\image\\daikeiman00.png,res\\image\\sankakuman00.png,,
22,"""Found a deck of cards.""",res\\image\\hoshiman00.png,,,
23,Star Man sat down at the fire and handed it to the two of them.,res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
24,,,,,
25,One hour later.,,,,
26,"Square Man woke up, and Trapezoid Man was teaching Triangle Man and Square Man how to play poker.",res\\image\\daikeiman00.png,res\\image\\sankakuman00.png,,
27,"""Which hand is stronger, a flush or a straight...?""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
28,"""Pretty sure it’s a flush.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
29,"""Hey, Star Man—about that shell earlier, I still feel fine.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
30,Trapezoid Man gave a thumbs‑up.,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
31,"""Roger. I’ll fetch some more.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
32,Star Man grabbed his stone axe and a sack and headed for the mussel bed. The four of them then spent the evening roasting black shells and playing poker.,,,,
