ID,Option 1,オプション2,オプション3,,
1,A month later the third‑generation raft was finished.,,,,
2,"Using Raft‑No.3, Star Man and the others repeated practice, tests, and tweaks.",,,,
3,"At first they could row no more than an hour, but by the end of the month with
breaks they could row for several hours.",,,,
4,They also measured how far they could go in an hour.,,,,
5,"Their speed was about 2 km/h; without favorable wind and current they could
never reach the mainland.",,,,
6,That day Star Man loaded supplies onto the raft for departure.,res\\image\\hoshiman00.png,,,
7,After loading he turned to the other two.,res\\image\\hoshiman00.png,,,
8,"""Well... I'm going.""",res\\image\\daikeiman00.png,res\\image\\sankakuman00.png,,
9,"""...Yeah. Don't die,"" Trapezoid Man said.",res\\image\\daikeiman00.png,res\\image\\sankakuman00.png,,
10,...,res\\image\\daikeiman00.png,res\\image\\sankakuman00.png,,
11,There were no smiles among them.,res\\image\\daikeiman00.png,res\\image\\sankakuman00.png,,
12,—,,,,
13,A black vortex appeared and the horned man stepped out.,res\\image\\xeoff00.png,,,
14,"""Ah, uh, hello.""",res\\image\\xeoff00.png,res\\image\\hoshiman00.png,,
15,Everyone looked away.,res\\image\\daikeiman00.png,res\\image\\sankakuman00.png,,
16,"""So you're really going?"" the horned man asked.",res\\image\\xeoff00.png,res\\image\\hoshiman00.png,,
17,"""Yes,"" Star Man replied.",res\\image\\xeoff00.png,res\\image\\hoshiman00.png,,
18,(The horned man looks the same as ever.),res\\image\\xeoff00.png,res\\image\\hoshiman00.png,,
19,"""If you die out there, the contract remains until your life is collected.""",res\\image\\xeoff00.png,res\\image\\hoshiman00.png,,
20,...,res\\image\\xeoff00.png,res\\image\\hoshiman00.png,,
21,"""If the government catches you, the contract won't vanish—only the paperwork
stops.""",res\\image\\xeoff00.png,res\\image\\hoshiman00.png,,
22,...,res\\image\\xeoff00.png,res\\image\\hoshiman00.png,,
23,"""It's not correct to say the contract disappears; it still exists, but the
paperwork can't be done.""",res\\image\\xeoff00.png,res\\image\\hoshiman00.png,,
24,(Paperwork means recovering our lives.),res\\image\\xeoff00.png,res\\image\\hoshiman00.png,,
25,"""If you manage to escape the island, I'll void your contract.""",res\\image\\xeoff00.png,res\\image\\hoshiman00.png,,
26,"""...!""",res\\image\\xeoff00.png,res\\image\\hoshiman00.png,,
27,"""Just on a whim. Losing one contract isn't a big loss to me. And it would be
troublesome if you became famous for magic out there.""",res\\image\\xeoff00.png,res\\image\\hoshiman00.png,,
28,...,res\\image\\xeoff00.png,res\\image\\hoshiman00.png,,
29,"""Thank you.""",res\\image\\xeoff00.png,res\\image\\hoshiman00.png,,
30,"""Thank you, Mr. Horns!"" Triangle Man said.",res\\image\\xeoff00.png,res\\image\\hoshiman00.png,,
31,...,res\\image\\xeoff00.png,res\\image\\hoshiman00.png,,
32,"""Well then, Mr. Horns will take his leave.""",res\\image\\xeoff00.png,res\\image\\sankakuman00.png,,
33,The horned man drifted over to Square Man's grave.,res\\image\\xeoff00.png,res\\image\\sankakuman00.png,,
34,...,res\\image\\xeoff00.png,res\\image\\sankakuman00.png,,
35,He stood at the grave for a moment in silence.,res\\image\\xeoff00.png,res\\image\\sankakuman00.png,,
36,Then he returned into the black vortex.,res\\image\\xeoff00.png,,,
37,「・・・」,res\\image\\xeoff00.png,,,
38,彼はお墓に立ち、少しの間、見つめていた。,,,,
39,それから、角の生えた人は黒い渦の中に帰って行った。,,,,
