ID,オプション1,オプション2,オプション3,Unnamed: 4,Unnamed: 5
1,"Star Man cautiously followed the voice.
Peering in its direction, he found a man with a trapezoid-shaped head lying down.",,res\\image\\daikeiman00.png,,
2,"""Help me...""",,res\\image\\daikeiman00.png,,
3,The man looked like he was on the verge of death. Star Man dragged his heavy body closer.,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
4,"""Are you okay?""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
5,"""Something to eat...""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
6,"The man was covered in bruises and bleeding.
Both of his legs were about three times their normal size.",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
7,"""My legs are broken... I fell from a high place... I was pushed...""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
8,Even speaking seemed painful for him.,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
9,"""I... I don’t have anything right now... sorry.
But I know where there’s an acorn tree. I can bring some.
Can you hold out for a few hours?""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
10,"""Yeah...""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
11,"""Hah... hah... before that... sorry... do you have any water?""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
12,"""There are coconut trees near the sea. Ugh... those can be used for both moisture and food...""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
13,"""Got it...""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
14,"""Please...""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
15,Star Man staggered out of the ruin.,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
