ID,オプション1,オプション2,オプション3,,
1,この日、ホシマンは出発のためイカダに荷物を積んでいた。,,,,"・オプション1は表示したいテキスト
・半角英数字は使用禁止
・３行まで
・オプション2は左に表示したい画像
・オプション3は右に表示したい画像"
2,荷物を積み終わると二人の方を振り返った。,res\\image\\hoshiman00.png,,,
3,「じゃあ・・・、行ってみるよ」,res\\image\\hoshiman00.png,,,
4,「・・・、あぁ、死ぬなよ」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
5,「・・・」,res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
6,３人に笑顔はなかった。,res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
7,そこへ黒い渦が現れ、角の生えた人が現れた。,res\\image\\xeoff00.png,,,
8,「あ、あぁ、どうも」,res\\image\\xeoff00.png,res\\image\\hoshiman00.png,,
9,皆、目をそらした。,res\\image\\xeoff00.png,res\\image\\hoshiman00.png,,
10,「楽しんでいるね」,res\\image\\xeoff00.png,res\\image\\hoshiman00.png,,
11,「は、はい・・・」,res\\image\\xeoff00.png,res\\image\\hoshiman00.png,,
12,「何をしようとしている？」,res\\image\\xeoff00.png,res\\image\\hoshiman00.png,,
13,「・・・！」,res\\image\\xeoff00.png,res\\image\\hoshiman00.png,,
14,３人の間に緊張が流れた。,res\\image\\xeoff00.png,res\\image\\hoshiman00.png,,
15,「外に助けを呼びに行きたい。それと・・・島から出ると１年で死ぬ契約がなくなると聞いた」,res\\image\\xeoff00.png,res\\image\\hoshiman00.png,,
16,"「・・・。
　契約がなくなるというのは正しくない。契約はなくならないが、手続きはできなくなる」",res\\image\\xeoff00.png,res\\image\\hoshiman00.png,,
17,「・・・」,res\\image\\xeoff00.png,res\\image\\hoshiman00.png,,
18,（手続きというのは命の回収のことか）,res\\image\\xeoff00.png,res\\image\\hoshiman00.png,,
19,「この島からの脱出に成功したら契約をなくしてやろう」,res\\image\\xeoff00.png,res\\image\\hoshiman00.png,,
20,「・・・！」,res\\image\\xeoff00.png,res\\image\\hoshiman00.png,,
21,"「まぁ、なんとなくだ。契約が一つ減ったところで私には大した損害ではない。
　それに、外の世界で魔法を使って有名になられても困る」",res\\image\\xeoff00.png,res\\image\\hoshiman00.png,,
22,"「・・・。
　ありがとう」",res\\image\\xeoff00.png,res\\image\\hoshiman00.png,,
23,「ありがとうございます！　角のおじさん！」,res\\image\\xeoff00.png,res\\image\\sankakuman00.png,,
24,サンカクマンが言った。,res\\image\\xeoff00.png,res\\image\\sankakuman00.png,,
25,"「・・・。
　じゃあ角のおじさんは失礼するよ」",res\\image\\xeoff00.png,res\\image\\sankakuman00.png,,
26,角の生えた人は黒い渦の中に帰って行った。,res\\image\\xeoff00.png,,,
27,ホシマンはイカダに乗り込みジーフォーク共和国に向かって漕ぎ始めた。,,,,
