クラフトアイテム,強化値,クラフト可能,次のレベルを習得するのに必要なクラフト回数,現在のクラフト経験回数
43,,○,1,0
44,1,,1,0
45,2,,1,0
46,3,,1,0
47,4,,1,0
48,5,,1,0
49,6,,1,0
50,7,,1,0
51,8,,1,0
52,9,,1,0
53,10,,,0
4,,,,0
27,,○,2,0
28,1,,2,0
29,2,,2,0
30,3,,2,0
31,4,,2,0
32,5,,,0
58,,○,2,0
59,1,○,2,0
60,2,,2,0
61,3,,2,0
62,4,,2,0
63,5,,,0
64,,○,2,0
65,1,,2,0
66,2,,2,0
67,3,,2,0
68,4,,2,0
69,5,,,0
70,,,1,0
71,1,,1,0
72,2,,1,0
73,3,,1,0
74,4,,1,0
75,5,,1,0
76,6,,1,0
77,7,,1,0
78,8,,1,0
79,9,,1,0
80,10,,,0
89,,○,1,0
90,1,,,0
82,,○,,0
91,,○,,0
92,,○,1,0
93,1,,1,0
94,2,,1,0
95,3,,1,0
96,4,,1,0
97,5,,,0
98,,○,2,0
99,1,,2,0
100,2,,2,0
101,3,,2,0
102,4,,2,0
103,5,,2,0
