ID,名称,詳細,画像のファイル名,重量(kg),体積(mL),種類,糖質,タンパク質,脂質,ビタミン,ミネラル,水分,デバフ（体のスタミナ）,デバフ（脳のスタミナ）,デバフ（肉体の修復度）,デバフ（頭痛）,デバフ（腹痛）,強化値,耐久値の初期値,weaponId,未強化時ID
sumaho,Smartphone,"Broken.
Even holding the power button doesn’t respond.
Electronics usually break when exposed to seawater.
",res\\image\\sumaho.png,0.2,200,貴重品,,,,,,,,,,,,,,,sumaho
homeKey,House Key,"Key to Star Man’s house
",res\\image\\homekey.png,0.05,20,貴重品,,,,,,,,,,,,,,,homeKey
sotetsu,Red Berry,"Deadly poison.

",res\\image\\sotetsu_.png,0.05,50,食材,10,10,5,10,10,1,50,50,50,○,○,,,,sotetsu
sotetsuDetox,Detoxified Red Berry,"A red berry that has been detoxified.
",res\\image\\sotetsu2.png,0.2,500,食材,100,100,50,30,30,0,0,0,0,,,,,,sotetsuDetox
coconut,Coconut,"Provides water, minerals, and sugar,
the flesh gives fat.
Boiling the flesh yields oil.
Even without tools, on a sharp edge of rock
smash it and you can drink and eat.
",res\\image\\coconut.png,1,2000,食材,20,5,30,20,30,4,0,0,0,,,,,,coconut
coconutRipe,Riped Coconut,"The water is gone, but the flesh is edible.
You can make thread from the outer husk,
and from the thread you could make rope or cloth,
but no one knows how.
The brown sphere often seen in videos
is the ripe kind of coconut.
",res\\image\\coconut2.png,0.7,1000,食材,10,5,50,5,10,1,0,0,0,,,,,,coconutRipe
donguri1,Thin Acorn,"Some acorns are edible and
some are not.
An acorn you can eat as‑is.
Drains hydration
",res\\image\\donguri1.png,0.5,500,食材,30,40,30,2,2,-1,0,0,0,,,,,,donguri1
donguri2,Small Acorn,"Some acorns are edible and
some are not.
An acorn you can eat as‑is.
Drains hydration
",res\\image\\donguri2.png,0.3,350,食材,20,30,20,1,1,-1,0,0,0,,,,,,donguri2
donguri3,Large Acorn,"Extremely bitter; seemingly inedible.
If you soak it in water, it becomes edible.
",res\\image\\donguri3.png,0.8,650,素材,30,40,30,1,1,-1,10,5,5,○,○,,,,donguri3
donguriDetox,Leached Large Acorn,"A large acorn that has been leached.
Crunch it as‑is.
",res\\image\\donguri4.png,0.5,300,食材,100,100,50,30,30,0,0,0,0,,,,,,donguriDetox
flower,Hibiscus,"A flower. Useless in survival.
",res\\image\\flower.png,0.001,300,素材,,,,,,,,,,,,,,,flower
kakan,Flower Garland,"A garland made by gathering flowers.
",res\\image\\kakan.png,0.5,2000,その他,,,,,,,,,,,,,,,kakan
tsukushi,Horsetail,"Star Man (I think I heard as a kid
that horsetail is edible.)

Horsetail has a diuretic effect; eating it makes you
lose water.",res\\image\\tsukushi.png,0.5,500,食材,0,0,0,35,35,-1,0,0,0,,,,,,tsukushi
unknownPlant1,Unknown Plant 1,"Wild plants
Star Man knew nothing about wild plants.
",res\\image\\unknownPlant.png,0.5,500,食材,0,0,0,10,10,2,10,5,5,,○,,,,unknownPlant1
unknownPlant2,Unknown Plant 2,"Wild plants
Star Man knew nothing about wild plants.
",res\\image\\unknownPlant.png,0.5,500,食材,20,0,0,10,35,1,10,5,5,,○,,,,unknownPlant2
unknownPlant3,Unknown Plant 3,"Wild plants
Star Man knew nothing about wild plants.
",res\\image\\unknownPlant.png,0.5,500,食材,0,0,10,35,10,0,10,5,5,,○,,,,unknownPlant3
unknownPlant4,Unknown Plant 4,"Wild plants
Star Man knew nothing about wild plants.
",res\\image\\unknownPlant.png,0.5,500,食材,10,0,10,35,35,2,10,5,5,,○,,,,unknownPlant4
