名前,糖質,タンパク質,脂質,ビタミン,ミネラル,水分,ライネンの契約をしているか,ワードブレスを飲んでいる,死んでいる,x,y,z,yRot,会話可能,会話スクリプト,機能解禁,機能種別,メニュー表示,レッドマン,レッドマンになった年,レッドマンになった月,レッドマンになった日
daikeiman,100,100,100,100,100,100,,,,23.4,491.5,-561,0,,,y,CRAFTMAN_AND_PATCH_TEST,y,,,,
sankakuman,100,100,100,100,100,100,,,,2,12,7,0,,,y,HELP,y,,,,
shikakuman,100,100,100,100,100,100,,,,3,12,7,0,,,y,HELP,y,,,,
vim,100,100,100,100,100,100,,,,4,12,7,0,,,,,y,,,,
vsco,100,100,100,100,100,100,,,,5,12,7,0,,,,,y,,,,
webnin,100,100,100,100,100,100,,,,6,12,7,0,,,,,y,,,,
gain,100,100,100,100,100,100,,,,7,12,7,0,,,,,y,,,,
nes,100,100,100,100,100,100,,,,8,12,7,0,,,,,y,,,,
noble,100,100,100,100,100,100,,,,9,12,7,0,,,,,y,,,,
xeoff,100,100,100,100,100,100,,,,10,12,7,0,,,,,y,,,,
