クエストID,開始タイプ,開始タイプオプション,開始イベント,完了タイプ,完了オプション１,完了オプション２,完了イベント
Q1,"位置
クエストが完了していないなら","-285.0:16.0:539.0:10.0
Q1",,自動完了,,,<talk>res\\script\\origin\\talk2Sample.csv
Q2,"クエストが完了していたら
クエストが完了していないなら","Q1
Q2",<hint>Hoshiman (Find some water),調べたら,-270.0:19.0:523.0:5.0,,<talk>res\\script\\origin\\talkFinishQuest1.csv
Q3,"クエストが完了していたら
クエストが完了していないなら","Q2
Q3",<hint>Hoshiman (Find some water),自動完了,,,"<hide>res\\model\\water.x
<sound>res\\sound\\drink.wav
<water>"
Q4,"クエストが完了していたら
クエストが完了していないなら","Q1
Q4",<hint>Hoshiman (Find some water),調べたら,-268.0:19.0:504.0:5.0,,"<hide>res\\model\\water.x
<sound>res\\sound\\drink.wav
<water>"
Q5,"クエストが完了していたら
クエストが完了していないなら","Q1
Q5",<hint>Hoshiman (Find some water),調べたら,-248.0:24.0:544.0:5.0,,"<hide>res\\model\\water.x
<sound>res\\sound\\drink.wav
<water>"
Q6,"クエストが完了していたら
クエストが完了していないなら","Q1
Q6",<hint>Hoshiman (Find some water),調べたら,-225.0:26.0:615.0:5.0,,"<hide>res\\model\\water.x
<sound>res\\sound\\drink.wav
<water>"
Q7,"クエストが完了していたら
クエストが完了していないなら","Q1
Q7",<hint>Hoshiman (Find some water),調べたら,-230.0:26.0:590.0:5.0,,"<hide>res\\model\\water.x
<sound>res\\sound\\drink.wav
<water>"
Q8,"クエストが完了していたら
クエストが完了していないなら","Q1
Q8",<hint>Hoshiman (Find some water),調べたら,-266.0:19.0:556.0:5.0,,"<hide>res\\model\\water.x
<sound>res\\sound\\drink.wav
<water>"
Q9,"クエストが完了していたら
クエストが完了していたら
クエストが完了していたら
クエストが完了していたら
クエストが完了していたら
クエストが完了していたら
クエストが完了していないなら","Q3
Q4
Q5
Q6
Q7
Q8
Q9",<hint>Hoshiman (Find some water),自動完了,,,<talk>res\\script\\origin\\talkFinishQuest2.csv
Q10,"クエストが完了していたら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら","Q9
Q10
Q11
Q12
Q13
Q14
Q15
Q16
Q17",<hint>Hoshiman (Look for something edible),位置が範囲外,-266.0:19.0:556.0:100,,<talk>res\\script\\origin\\talkFinishQuest3.csv
Q11,"クエストが完了していたら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら","Q9
Q10
Q11
Q12
Q13
Q14
Q15
Q16
Q17",<hint>Hoshiman (Look for something edible),位置が範囲外,-266.0:19.0:556.0:100,,
Q12,"クエストが完了していたら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら","Q9
Q10
Q11
Q12
Q13
Q14
Q15
Q16
Q17",<hint>Hoshiman (Look for something edible),位置が範囲外,-266.0:19.0:556.0:100,,
Q13,"クエストが完了していたら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら","Q9
Q10
Q11
Q12
Q13
Q14
Q15
Q16
Q17",<hint>Hoshiman (Look for something edible),位置が範囲外,-266.0:19.0:556.0:100,,
Q14,"クエストが完了していたら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら","Q9
Q10
Q11
Q12
Q13
Q14
Q15
Q16
Q17",<hint>Hoshiman (Look for something edible),位置が範囲外,-266.0:19.0:556.0:100,,
Q15,"クエストが完了していたら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら","Q9
Q10
Q11
Q12
Q13
Q14
Q15
Q16
Q17",<hint>Hoshiman (Look for something edible),位置が範囲外,-266.0:19.0:556.0:100,,
Q16,"クエストが完了していたら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら","Q9
Q10
Q11
Q12
Q13
Q14
Q15
Q16
Q17",<hint>Hoshiman (Look for something edible),位置が範囲外,-266.0:19.0:556.0:100,,
Q17,"クエストが完了していたら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら","Q9
Q10
Q11
Q12
Q13
Q14
Q15
Q16
Q17",<hint>Hoshiman (Look for something edible),位置が範囲外,-266.0:19.0:556.0:100,,
Q18,"一つでもクエストが完了していたら
クエストが完了していないなら","Q10:Q11:Q12:Q13:Q14:Q15:Q16:Q17
Q18",<hint>Hoshiman (Look for something edible),自動完了,,,<talk>res\\script\\origin\\talkFinishQuest4.csv
Q19,"クエストが完了していたら
クエストが完了していないなら","Q18
Q19",<hint>Hoshiman (Look for something edible),インベントリにXがY個あったら,Small Round Acorn:1,,
Q20,"クエストが完了していたら
クエストが完了していないなら","Q18
Q20",<hint>Hoshiman (Look for something edible),インベントリにXがY個あったら,Large Acorn:1,,
Q21,"クエストが完了していたら
クエストが完了していないなら","Q18
Q21",<hint>Hoshiman (Look for something edible),インベントリにXがY個あったら,Long Acorn:1,,
Q22,"一つでもクエストが完了していたら
クエストが完了していないなら","Q19:Q20:Q21
Q22",<hint>Hoshiman (Look for something edible),自動完了,,,<talk>res\\script\\origin\\talkFinishQuest5.csv
Q23,"クエストが完了していたら
クエストが完了していないなら","Q22
Q23",<hint>Hoshiman (Look for something edible),自動完了,,,<story>res\\script\\origin\\storyDream.csv
Q24,"クエストが完了していたら
クエストが完了していないなら","Q23
Q24",,自動完了,,,<talk>res\\script\\origin\\talkFinishQuest6.csv
Q25,"クエストが完了していたら
クエストが完了していないなら","Q24
Q25",<hint>Hoshiman (Follow the path through the forest),調べたら,-218:75:207:120,,"<npc><sankakuman><pos>-206:106.5:195
<npc><sankakuman><rot>1.57
<npc><shikakuman><pos>-205:106.5:195
<npc><sankakuman><talkEnable>y
<npc><sankakuman><talkScript>res\\script\\origin\\talkFinishQuest8.csv
<talk>res\\script\\origin\\talkFinishQuest7.csv"
Q26,"クエストが完了していたら
クエストが完了していないなら","Q25
Q26",<hint>Hoshiman (I think I saw someone on that rock),"人と話したら
NPCのXが生存
NPCのXが生存","sankakuman
sankakuman
shikakuman",,
Q27,"クエストが完了していたら
クエストが完了していないなら","Q26
Q27",<hint>Hoshiman (Is there anything man‑made around?),位置,14:500:-594:40,,<talk>res\\script\\origin\\talkFinishQuest9-2.csv
Q28,"クエストが完了していたら
クエストが完了していないなら","Q27
Q28",,"調べたら
NPCのXが生存","24:492:-569:2
daikeiman",,"<talk>res\\script\\origin\\talkFinishQuest9-3.csv
<showMap>3"
