ID,ステータス名,値
1,体のスタミナ（現在値）,100
2,体のスタミナ（最大値）,100
3,体のスタミナ（回復可能値）,100
4,脳のスタミナ（現在値）,100
5,脳のスタミナ（最大値）,100
6,脳のスタミナ（回復可能値）,100
7,瞬発力,100
8,肉体の修復度（現在値）,100
9,肉体の修復度（最大値）,100
10,糖質（現在値）,100
11,糖質（最大値）,100
12,タンパク質（現在値）,100
13,タンパク質（最大値）,100
14,脂質（現在値）,100
15,脂質（最大値）,100
16,ビタミン（現在値）,100
17,ビタミン（最大値）,100
18,ミネラル（現在値）,100
19,ミネラル（最大値）,100
20,水分（現在値）,100
21,水分（最大値）,100
22,腕骨折,
23,足骨折,
24,頭痛,
25,風邪,
26,腹痛,
27,睡眠,
28,脱水症状,
29,睡眠不足,
30,装備武器ID,
31,装備武器SubID,
32,x,-285.152771
33,y,15.461372
34,z,540.010803
35,魔法の経験値（炎）,0
36,魔法の経験値（氷）,0
37,魔法の経験値（闇）,0
38,魔法のレベル（炎）,1
39,魔法のレベル（氷）,1
40,魔法のレベル（闇）,1
41,背中の袋1ID,bag
42,背中の袋1SubID,1
43,背中の袋2ID,bag
44,背中の袋2SubID,2
45,腹の袋ID,
46,腹の袋SubID,
47,左手の袋ID,
48,左手の袋SubID,
49,右手の袋ID,
50,右手の袋SubID,
51,菅笠の装備,n
52,腕骨折の残り治療時間,0
53,足骨折の残り治療時間,0
54,頭痛の残り治療時間,0
55,風邪の残り治療時間,0
56,腹痛の残り治療時間,0
57,脱水症状の残り治療時間,0
58,洞窟,n
59,担架モード,n
