PageNo,Image,Message
1,res\\image\\dream01.png,ホシマンは実家の自分の部屋でテレビを見ていた。
1,,"一人でテレビを見ているつもりだったが、隣を見ると女性が座っていた。
ホシマンがよく知っている女性だった。
"
1,,"女性もテレビの方を見ていた。
顔はよく見えなかった。ホシマンは安堵して話しかけた。"
1,,"「あぁ・・・よかった。オプティプル島に行こうとしてたんだった。
　船が沈んじゃってダメだったけど、
　チケットが返品されてまた行けることになったんだ」"
2,res\\image\\dream02.png,「・・・えぇ？　うん・・・」
2,,女性の返事は曖昧だった。
2,,「台風なんじゃなかったっけ・・？」
3,res\\image\\dream03.png,"「あ・・・、また台風なんだっけ。
　じゃあ・・・今週末に行くのは、諦めるか・・・」"
3,,（・・・いつ行けるんだろう・・・）
3,,「船に乗り込んでください」
3,,突然アナウンスが流れた。
3,,（行かないと・・・）
3,,ホシマンが立ち上がると部屋は自分一人だった。
3,,"（しまった。
　ヒシガタマンは先に行ってるんだった。
　くそ・・・足をケガしてたんだった・・・急がないと乗り遅れる・・・）"
3,,"足が思うように動かず、なかなか前に進めなかった。
ホシマンはアナウンスにむかって「今行くから待ってて」と言おうとした。
しかし、顎や舌に力が入らず、うまく声が出せなかった。"
