ID,オプション1,オプション2,オプション3,background
1,ホシマンはダイケイマンの部屋の前にいた。,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
2,「どうも。容体はどうだ」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
3,「だめだ・・・。熱で、あと痛くて何もできない・・・。」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
4,ダイケイマンの苦しそうな表情を見てホシマンは眉をひそめた。,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
5,「また少し話がある。子供たちを呼んでくるので待っていてくれ」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
6,「あぁ、分かった」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
7,,,,res\\image\\talkPrecision.png
8,"「今日、生きている原住民に会った。
　それで、１年以内にこの島を出れば私は助かるらしい」",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
9,「え？　え？　あ、そりゃあ、やったじゃないか」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
10,「ありがとう。１年以内の脱出を今まで以上に頑張りたいと思う」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
11,ダイケイマンたちはうなずいた。,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
12,"「今日会った原住民は老婆だったが・・・。
　その人が言うにはここに住んでいた人は
　皆悪魔と契約して、全滅してしまったそうだ」",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
13,「・・・」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
14,"「あと、この島のモンスターたちは生物兵器なんだそうだ。
　植物の特性を受け継いでいて飲まず食わずで生きていられるらしい」",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
15,「あぁ～、そういうことか」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
16,"「それと、今日、海岸沿いから島を探していたときに思ったんだが」
",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
17,"「パワーエッグ星は丸いから、
　山の上から探したほうがより遠くの島が見つかるんじゃないかと思う。
　明日は山頂の方に向かおうと思う」",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
18,「そりゃそうか。俺も言われるまで気づかなかった」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
19,「・・・」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
20,「あの変な白い人のことは何て言ってましたか？」,res\\image\\hoshiman00.png,res\\image\\shikakuman00.png,res\\image\\talkPrecision.png
21,シカクマンが尋ねた。,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
22,「・・・あぁ、すまない。それは聞いていなかった」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
23,「今度会うことがあったら聞いておくよ」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
24,ホシマンは明日、もう一度神社に向かうことにした。,res\\image\\hoshiman00.png,,res\\image\\talkPrecision.png
