ID,オプション1,オプション2,オプション3,,
1,１か月後。,,,,
2,船を作る方針を決めてから１か月が経過した。,,,,
3,"ホシマンは食材と船の資材を集め、
ダイケイマンたちは船の制作に挑戦する、という日々を送っていた。",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
4,"ホシマンの炎の魔法では温度が足りず持続力がないため
銅鉱石を溶かすことはできなかった。",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
5,"４人はダイケイマンの部屋に集まっていた。
ダイケイマンの前に３０センチくらいの船があった。",res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
6,「ホシマン。やっぱり隙間を埋めることができない」,res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
7,"ダイケイマンはホシマンに言った。
船は紐と木の枝で作られていて隙間だらけだった。
クギ、ノコギリ、接着剤がない。",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
8,４人はこの隙間を埋める方法を模索していた。,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
9,"「それで、これを作ってるときに思いついたんだけど
　船じゃなくてイカダを作らないか？
　イカダだったら丸太を紐で縛るだけで作れる」",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
10,ダイケイマンは背後からイカダを取り出した。,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
11,「じゃーん」,res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
12,サンカクマンが言った。,res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
13,"イカダは３０センチくらいで、木の枝と紐で作られていた。
木の枝を紐で縛ってプレート状にしたものが縦横交互に４つ重ねられていた。
イカダの端には木の実が沢山括り付けられていた。",res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
14,"「ノコギリはないけど石で斧を作れば１０センチくらいまでの
　木なら倒せるんじゃないかと思う。それだけだとすぐ沈みそうなんで、
　こうやって、重ねていこうという作戦だ」",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
15,「縦横交互に積むことで人が乗った時に変形しにくくなるし」,,,,
16,「なるほど」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
17,「すごい・・・感心したよ・・・」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
18,ホシマンはダイケイマンの仕事に感動していた。,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
19,「これなら１０日間は壊れずにもちそうだ」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
20,"対岸まで１００Ｋｍであった。
１００Ｋｍの航海がどういうものか誰もわからなかったが、",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
21,"１０日間で到達すると仮定して
「１０日は壊れないこと」をホシマンたちは仮の目標としていた。",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
22,「わかった。イカダ作りに変えよう」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
23,４人はイカダ作りを始めることにした。,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
