ID,オプション1,オプション2,オプション3,background,bgm
1,"ホシマンはセントオーズ神社に到着した。
神社の周辺を探すと老婆の姿があった。",res\\image\\hoshiman00.png,,,
2,「どうも、ひさしぶりです」,res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
3,「どうも」,res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
4,「教えてほしいことがある」,res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
5,「なんだろう」,res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
6,「レッドマンという言葉をしっているか？」,res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
7,「知らない」,res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
8,「・・・」,res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
9,「亡霊とモンスターが合体すると全身が赤い人間が誕生するんだ」,res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
10,「・・・はぁ？」,res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
11,「・・・」,res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
12,「まぁ、とにかくそうなるんだ」,res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
13,「だけど赤い人は１週間で死んでしまうらしい」,res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
14,「・・・」,res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
15,「１週間で死んでしまうのを回避する方法を知っていれば教えてほしい」,res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
16,「・・・」,res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
17,「悪いけど、知らない」,res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
18,"「そうか・・・。何か関係なさそうなことでも、
　どんなことでもいいから知っていることがあれば教えて欲しいのだが・・・」",res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
19,「・・・」,res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
20,「うーん。知らないなぁ」,res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
21,「・・・」,res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
22,「そうか。ありがとう」,res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
23,ホシマンは老婆にお礼を言うと海岸洞窟へ帰った。,res\\image\\hoshiman00.png,,,
