ID,Option 1,オプション2,オプション3,,
1,"When Star Man returned to the sea‑cave, Square Man was crouched, groaning ""oo‑oo,"" while the other two watched.",res\\image\\sankakuman00.png,res\\image\\shikakuman02.png,,
2,"""What happened?""",res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
3,"""I showed him the red berries and he curled up. They're detoxified ones.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
4,"""Hmm...""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
5,"""...""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
6,"""Some say ghosts, clinging to regrets from life, try to steal Word Breath...""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
7,"""So maybe he once nearly died from those red berries.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
8,"""I've never seen it, but I guess it could've happened.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
9,"""Haha, never noticed. He's got a real poker face.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
10,"""Let's hide the red berries where he can't see them.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
11,They hid the berries out of sight.,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
12,"That night,",,,,
13,"As a small kindness, they prepared plenty of food for Square Man.",res\\image\\hoshiman00.png,res\\image\\shikakuman02.png,,
14,"With summer on the way, mangoes, papayas, and other fruit were ripening on Prolitan Island.",res\\image\\hoshiman00.png,res\\image\\shikakuman02.png,,
15,Triangle Man showed Square Man his bow.,res\\image\\sankakuman00.png,res\\image\\shikakuman02.png,,
16,"""See? It's a bow and arrow.""",res\\image\\sankakuman00.png,res\\image\\shikakuman02.png,,
17,Square Man examined it with interest.,res\\image\\sankakuman00.png,res\\image\\shikakuman02.png,,
18,"""You use it like this.""",res\\image\\sankakuman00.png,res\\image\\shikakuman02.png,,
19,Triangle Man loosed an arrow at a target ten meters away.,res\\image\\sankakuman00.png,res\\image\\shikakuman02.png,,
20,<Clang>,res\\image\\sankakuman00.png,res\\image\\shikakuman02.png,,
21,A dry thunk rang out when it hit.,res\\image\\sankakuman00.png,res\\image\\shikakuman02.png,,
22,"Carefully, Triangle Man handed the bow to Square Man; he imitated the shot.",res\\image\\sankakuman00.png,res\\image\\shikakuman02.png,,
23,<Clang>,res\\image\\sankakuman00.png,res\\image\\shikakuman02.png,,
24,"""Like riding a bike—your body does it even if your head doesn't know how,"" Star Man said.",res\\image\\hoshiman00.png,res\\image\\shikakuman02.png,,
25,That night the four of them played target practice.,res\\image\\hoshiman00.png,res\\image\\shikakuman02.png,,
26,Next morning they awoke to Square Man's coughing; he was too weak to sit up.,res\\image\\hoshiman00.png,res\\image\\shikakuman02.png,,
27,Square Man spat blood; his breathing was shallow and fast.,res\\image\\hoshiman00.png,res\\image\\shikakuman02.png,,
28,(Damn... there's nothing we can do...),res\\image\\hoshiman00.png,res\\image\\shikakuman02.png,,
29,Vim was suddenly standing nearby.,res\\image\\hoshiman00.png,res\\image\\shikakuman02.png,,
30,"""You startled me—I never noticed you,"" Star Man said.",res\\image\\vim00.png,,,
31,Vim watched Square Man with curiosity.,res\\image\\vim00.png,res\\image\\hoshiman00.png,,
32,"""It's Square Man. He died, became a ghost, fused with a monster, and turned into a Red Man,"" Star Man explained.",res\\image\\vim00.png,res\\image\\shikakuman02.png,,
33,Vim showed no expression.,res\\image\\vim00.png,res\\image\\hoshiman00.png,,
34,"""Have you heard of Red Men?""",res\\image\\vim00.png,res\\image\\hoshiman00.png,,
35,"""No.""",res\\image\\vim00.png,res\\image\\hoshiman00.png,,
36,"""...""",res\\image\\vim00.png,res\\image\\hoshiman00.png,,
37,"""They say a Red Man dies after a week. Is there any way to save him?""",res\\image\\vim00.png,res\\image\\hoshiman00.png,,
38,"""No.""",res\\image\\vim00.png,res\\image\\hoshiman00.png,,
39,"""...""",res\\image\\vim00.png,res\\image\\hoshiman00.png,,
40,All three lowered their heads.,res\\image\\vim00.png,res\\image\\hoshiman00.png,,
41,Square Man's agony worsened; coughing and retching filled the cave.,res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
42,"He panted violently, tears streaming.",res\\image\\hoshiman00.png,res\\image\\shikakuman02.png,,
43,(He probably has about three hours left...),res\\image\\hoshiman00.png,res\\image\\shikakuman02.png,,
44,"""Maybe... we should end his suffering,"" Star Man whispered.",res\\image\\hoshiman00.png,res\\image\\shikakuman02.png,,
45,"""...""",res\\image\\hoshiman00.png,res\\image\\shikakuman02.png,,
46,No one answered.,res\\image\\hoshiman00.png,res\\image\\shikakuman02.png,,
47,Triangle Man hesitated but stepped away from Square Man.,res\\image\\sankakuman00.png,res\\image\\shikakuman02.png,,
48,"Star Man stood, gripping his stone axe with both hands; Square Man lowered his eyes.",res\\image\\sankakuman00.png,res\\image\\shikakuman02.png,,
49,Trapezoid Man and Triangle Man looked away.,res\\image\\sankakuman00.png,res\\image\\shikakuman02.png,,
50,But Star Man couldn't swing and sat back down.,res\\image\\hoshiman00.png,res\\image\\shikakuman02.png,,
51,—,res\\image\\daikeiman00.png,res\\image\\sankakuman00.png,,
52,"A few hours later, Square Man died.",res\\image\\hoshiman00.png,res\\image\\shikakuman02.png,,
53,"He suffered all the way; his shape gradually collapsed, and when he died he turned into red liquid.
For a while the three of them couldn't move.",,,,
54,"""I remember the first time we ate acorns together...""",,,,
55,Star Man recalled giving him an acorn in the Bitnavi Forest.,,,,
56,<Rustle>,res\\image\\hoshiman00.png,,,
57,"""Yo, yo.""",res\\image\\hoshiman00.png,,,
58,A man emerged from the forest—it was Nes.,,,,
59,"""Ohhh (laugh) What's up? (laugh)""",,,,
60,"""...""",,res\\image\\nes00.png,,
