ID,オプション1,オプション2,オプション3,background
1,それから１ヶ月経過し、イカダが完成していた。,,,res\\image\\talkKaigan.png
2,"ホシマンたちはイカダで
繰り返し、練習や検証、改良を行っていた。",,,res\\image\\talkKaigan.png
3,"最初は１時間程度のオール漕ぎが限界であったが
１ヶ月経つ頃には、休憩をはさみながら
数時間オールを漕ぐことができるようになっていた。",,,res\\image\\talkKaigan.png
4,また、ホシマンたちは１時間でどれくらい進めるかなどを検証した。,,,res\\image\\talkKaigan.png
5,"航行速度はおよそ時速２Ｋｍで、
風向きと海流が味方しなければ到達は不可能であることが判明した。",,,res\\image\\talkKaigan.png
6,この日、ホシマンは出発のためイカダに荷物を積んでいた。,res\\image\\hoshiman00.png,,res\\image\\talkKaigan.png
7,荷物を積み終わると二人の方を振り返った。,res\\image\\hoshiman00.png,,res\\image\\talkKaigan.png
8,「じゃあ・・・、行ってみるよ」,res\\image\\daikeiman00.png,res\\image\\sankakuman00.png,res\\image\\talkKaigan.png
9,「・・・、あぁ、死ぬなよ」,res\\image\\daikeiman00.png,res\\image\\sankakuman00.png,res\\image\\talkKaigan.png
10,「・・・」,res\\image\\daikeiman00.png,res\\image\\sankakuman00.png,res\\image\\talkKaigan.png
11,３人に笑顔はなかった。,res\\image\\daikeiman00.png,res\\image\\sankakuman00.png,res\\image\\talkKaigan.png
12,―――,,,res\\image\\talkKaigan.png
13,そこへ黒い渦が現れ、角の生えた人が現れた。,res\\image\\xeoff00.png,,res\\image\\talkKaigan.png
14,「あ、あぁ、どうも」,res\\image\\xeoff00.png,res\\image\\hoshiman00.png,res\\image\\talkKaigan.png
15,皆、目をそらした。,res\\image\\daikeiman00.png,res\\image\\sankakuman00.png,res\\image\\talkKaigan.png
16,「楽しんでいるね」,res\\image\\xeoff00.png,res\\image\\hoshiman00.png,res\\image\\talkKaigan.png
17,「は、はい・・・」,res\\image\\xeoff00.png,res\\image\\hoshiman00.png,res\\image\\talkKaigan.png
18,「何をしようとしている？」,res\\image\\xeoff00.png,res\\image\\hoshiman00.png,res\\image\\talkKaigan.png
19,「・・・！」,res\\image\\xeoff00.png,res\\image\\hoshiman00.png,res\\image\\talkKaigan.png
20,３人の間に緊張が流れた。,res\\image\\xeoff00.png,res\\image\\hoshiman00.png,res\\image\\talkKaigan.png
21,"「外に助けを呼びに行きたい。
　それと・・・島から出ると１年で死ぬ契約がなくなると聞いた」",res\\image\\xeoff00.png,res\\image\\hoshiman00.png,res\\image\\talkKaigan.png
22,「・・・」,res\\image\\xeoff00.png,res\\image\\hoshiman00.png,res\\image\\talkKaigan.png
23,"「契約がなくなるというのは正しくない。
　契約はなくならないが、手続きはできなくなる」",res\\image\\xeoff00.png,res\\image\\hoshiman00.png,res\\image\\talkKaigan.png
24,「・・・」,res\\image\\xeoff00.png,res\\image\\hoshiman00.png,res\\image\\talkKaigan.png
25,（手続きというのは命の回収のことか）,res\\image\\xeoff00.png,res\\image\\hoshiman00.png,res\\image\\talkKaigan.png
26,「この島からの脱出に成功したら契約をなくしてやろう」,res\\image\\xeoff00.png,res\\image\\hoshiman00.png,res\\image\\talkKaigan.png
27,「・・・！」,res\\image\\xeoff00.png,res\\image\\hoshiman00.png,res\\image\\talkKaigan.png
28,"「まぁ、なんとなくだ。契約が一つ減ったところで
　私には大した損害ではない。",res\\image\\xeoff00.png,res\\image\\hoshiman00.png,res\\image\\talkKaigan.png
29,　それに、外の世界で魔法を使って有名になられても困る」,res\\image\\xeoff00.png,res\\image\\hoshiman00.png,res\\image\\talkKaigan.png
30,「・・・」,res\\image\\xeoff00.png,res\\image\\hoshiman00.png,res\\image\\talkKaigan.png
31,「ありがとう」,res\\image\\xeoff00.png,res\\image\\hoshiman00.png,res\\image\\talkKaigan.png
32,「ありがとうございます！　角のおじさん！」,res\\image\\xeoff00.png,res\\image\\sankakuman00.png,res\\image\\talkKaigan.png
33,サンカクマンが言った。,res\\image\\xeoff00.png,res\\image\\sankakuman00.png,res\\image\\talkKaigan.png
34,「・・・」,res\\image\\xeoff00.png,res\\image\\sankakuman00.png,res\\image\\talkKaigan.png
35,「じゃあ角のおじさんは失礼するよ」,res\\image\\xeoff00.png,res\\image\\sankakuman00.png,res\\image\\talkKaigan.png
36,角の生えた人はシカクマンのお墓の前に飛んで行った。,res\\image\\xeoff00.png,,res\\image\\talkKaigan.png
37,「・・・」,res\\image\\xeoff00.png,,res\\image\\talkKaigan.png
38,彼はお墓に立ち、少しの間、見つめていた。,,,res\\image\\talkKaigan.png
39,それから、角の生えた人は黒い渦の中に帰って行った。,,,res\\image\\talkKaigan.png
