ID,名称,詳細,モデル名,画像のファイル名,重量(kg),体積(mL),強化可能回数,攻撃力補正(瞬発力ｘ攻撃力補正＝攻撃力),強化時の攻撃力補正の上昇値,飛距離(m),強化時の飛距離の上昇値(m),消費スタミナ,耐久値(壊れるまでの回数),強化時の耐久値の上昇値,使用時の肉体損傷
w1,石,"投げたり、殴ったりする。
シャレにならないくらい強い。
どれだけ使っても壊れない。
",res\\model\\rock1.x,res\\image\\stone.png,0.5,500,0,3,0,30,0,10,999,0,10
w2,木の棒,"３回くらいで壊れる。殴るよりはるかに弱い。
人間は木の枝で殴られても大したダメージは
ないが木製バットで殴られたら致命傷となる。
作り続ければ木製バットのような
立派な武器を作れるようになる。

＋１～＋５まで強化できる。
",res\\model\\stick.x,res\\image\\stick.png,1,2000,5,0.2,0.3,10,0,10,3,10,10
w3,石槍,"３回くらいで壊れる。殴るよりはるかに弱い。
初心者が初めて作った石槍の攻撃力はゼロに等しい。
手をケガしなくてすむ。
何度も作ることで使い物になる武器となる。
これでライオンに勝つ人もいる。

＋１～＋５まで強化できる。
",res\\model\\spear.x,res\\image\\spear2.png,1,2000,5,0.2,0.3,10,0,10,3,10,10
w4,弓矢の弓,"手製の弓矢。１０回くらいで壊れる。
初心者が初めて作った弓矢は５メートルくらいしか
飛ばない。攻撃力はゼロに等しい。
何度も作ることで使い物になる武器となる。

＋１～＋１０まで強化できる。
弓自体を投げた時の飛距離は変わらない。
",res\\model\\bow.x,res\\image\\bow.png,1,3000,10,0.1,0.1,3,1,10,10,1,10
w5,鉄パイプ,"壊れにくいが大したダメージは出せない。
手をケガしなくて済む。
",res\\model\\ironPipe.x,res\\image\\pipe.png,1,2000,0,1,0,20,0,10,999,0,10
w6,石付き鉄パイプ,"鉄パイプの先端に石を括り付けたもの。
",res\\model\\ironPipeEx.x,res\\image\\ironPipe.png,2,3000,0,4,0,15,0,10,10,0,10
w7,石斧,"木の枝に石を括り付けたもの。
縛り付けている部分が脆く、すぐ壊れる。
何度も作ることで壊れにくい武器を
作れるようになる。
石の先端を削ることが重要である、と
何度か作ると気が付く。

＋１～＋５まで強化できる。
",res\\model\\ax.x,res\\image\\ax.png,1.5,2000,5,4,0,20,0,10,30,100,10
w8,弓矢の矢,"弓矢の矢は作るのにとても手間がかかる。
使った矢は拾って再利用できる。
",res\\model\\arrow.x,res\\image\\arrow.png,0.2,500,1,2,0,40,1,5,10,1,5
w9,アトラトル,"アストラルじゃなくてアトラトル。
ホシマンはアトラトルを動画配信サイトで
見たことがあった。
一般人が使えば、
ものすごい筋肉痛に襲われそうだった。
",res\\model\\atlatl.x,res\\image\\atlatl.png,0.4,500,0,1,0,10,0,10,999,0,10
w10,アトラトルに使う槍,"槍の柄の部分が柔らかく「しなる」材質じゃないと、
実は全然飛ばない。
何回も使うとそのことに気が付く。

＋１～＋５
",res\\model\\arrow.x,res\\image\\arrow.png,0.6,2000,5,2,0,40,0,5,10,10,5
w11,松明,"木の棒を装備しているときに
アクションメニューから松明を作れる。
松明を装備しているとき
「松明に火をつける」を実行できる。
１度でも攻撃に使用すると壊れる。
松明に火がついていると
「松明の火を消す」を実行できる。

装備を外すには、松明の火を消す必要がある。
松明を投げ捨てても装備を外すことはできる。
",res\\model\\\torch.x,res\\image\\torch2.png,1,2000,0,0.2,0,10,0,10,300,0,10
