ID,タイプ,PosX,PosY,PosZ,RotX,RotY,RotZ,残りHP,討伐済み
1,リッポウタイ,-285,18,540,0,0,0,100,
2,リッポウタイ,-285,19,550,0,0,0,100,
3,リッポウタイ,-285,20,560,0,0,0,100,
4,リッポウタイ,-285,21,570,0,0,0,100,
5,リッポウタイ,-285,22,580,0,0,0,100,
6,リッポウタイ,-285,23,590,0,0,0,100,
7,キュウ,-285,24,600,0,0,0,100,
8,エンバン,-285,25,610,0,0,0,100,
9,キュウ,-285,26,620,0,0,0,100,
10,リッポウタイ,-285,27,630,0,0,0,100,
11,リッポウタイ,-285,28,640,0,0,0,100,
12,リッポウタイ,-285,29,650,0,0,0,100,
13,リッポウタイ,-285,30,660,0,0,0,100,
14,エンバン,-285,31,670,0,0,0,100,
15,リッポウタイ,-285,32,680,0,0,0,100,
16,リッポウタイ,-285,33,690,0,0,0,100,
17,リッポウタイ,-285,34,700,0,0,0,100,
18,リッポウタイ,-285,35,710,0,0,0,100,
19,リッポウタイ,-285,36,720,0,0,0,100,
20,エンバン,-285,37,730,0,0,0,100,
21,エンバン,-285,38,740,0,0,0,100,
22,エンバン,-285,39,750,0,0,0,100,
23,エンバン,-285,40,760,0,0,0,100,
24,エンバン,-285,41,770,0,0,0,100,
25,エンバン,-285,42,780,0,0,0,100,
26,エンバン,-285,43,790,0,0,0,100,
27,リッポウタイ,-285,44,800,0,0,0,100,
28,リッポウタイ,-285,45,810,0,0,0,100,
29,リッポウタイ,-285,46,820,0,0,0,100,
30,リッポウタイ,-285,47,830,0,0,0,100,
