ID,アイテム名,SubID,耐久度
1,スマホ,1,999
1,スマホ,2,998
2,家のカギ,1,989
2,家のカギ,2,988
3,赤い実,1,979
3,赤い実,2,978
4,毒抜きした赤い実,1,969
4,毒抜きした赤い実,2,968
5,ココナッツの実,1,959
5,ココナッツの実,2,958
6,熟したココナッツの実,1,949
6,熟したココナッツの実,2,948
7,細長いどんぐり,1,939
7,細長いどんぐり,2,938
8,小さくて丸いどんぐり,1,929
8,小さくて丸いどんぐり,2,928
9,大きいどんぐり ,1,919
9,大きいどんぐり ,2,918
10,あく抜きをした大きいどんぐり,1,909
10,あく抜きをした大きいどんぐり,2,908
11,ハイビスカス,1,899
11,ハイビスカス,2,898
12,花輪,1,889
12,花輪,2,888
13,ツクシ,1,879
13,ツクシ,2,878
14,謎の草１,1,869
14,謎の草１,2,868
15,謎の草２,1,859
15,謎の草２,2,858
16,謎の草３,1,849
16,謎の草３,2,848
17,謎の草４,1,839
17,謎の草４,2,838
18,謎の草５,1,829
18,謎の草５,2,828
19,謎の草６,1,819
19,謎の草６,2,818
20,タンポポ,1,809
20,タンポポ,2,808
21,ニラ、もしくはスイセン,1,799
21,ニラ、もしくはスイセン,2,798
22,キノコ,1,789
22,キノコ,2,788
23,銅鉱石,1,779
23,銅鉱石,2,778
24,イカダ,1,769
24,イカダ,2,768
25,ブイ,1,759
25,ブイ,2,758
26,モンスターの体,1,749
26,モンスターの体,2,748
27,袋,1,739
27,袋,2,738
28,いい形の石（斧）,1,729
28,いい形の石（斧）,2,728
29,いい形の石（槍）,1,719
29,いい形の石（槍）,2,718
30,ワードブレス,1,709
30,ワードブレス,2,708
31,菅笠（すげがさ）,1,699
31,菅笠（すげがさ）,2,698
32,焼き魚,1,689
32,焼き魚,2,688
33,パパイヤ,1,679
33,パパイヤ,2,678
34,マンゴー,1,669
34,マンゴー,2,668
35,バナナ,1,659
35,バナナ,2,658
36,縦長の石,1,649
36,縦長の石,2,648
37,黒い貝,1,639
37,黒い貝,2,638
38,イカダ,1,629
38,イカダ,2,628
39,イカダ,1,619
39,イカダ,2,618
40,イカダ,1,609
40,イカダ,2,608
41,イカダ,1,599
41,イカダ,2,598
42,イカダ,1,589
42,イカダ,2,588
43,イカダ,1,579
43,イカダ,2,578
44,イカダ,1,569
44,イカダ,2,568
45,イカダ,1,559
45,イカダ,2,558
46,イカダ,1,549
46,イカダ,2,548
47,イカダ,1,539
47,イカダ,2,538
48,イカダ,1,529
48,イカダ,2,528
49,木の枝,1,519
49,木の枝,2,518
50,細い木の幹,1,509
50,細い木の幹,2,508
51,ツタ,1,499
51,ツタ,2,498
52,石,1,489
52,石,2,488
53,木の棒,1,479
53,木の棒,2,478
54,木の棒,1,469
54,木の棒,2,468
55,木の棒,1,459
