ID,タイプ,PosX,PosY,PosZ,RotX,RotY,RotZ,残りHP,討伐済み
1,島民の霊,223.000000,226.000000,-1399.000000,0,0,0,40,
2,島民の霊,509.000000,19.000000,-1263.000000,0,0,0,40,
3,島民の霊,1112.000000,210.000000,-1063.000000,0,0,0,40,
4,ビッグリッポウタイ,-1997.969727,58.327202,-1564.209473,0,0,0,100,
5,エンチュウ,-1997.969727,58.327206,-1481.676514,0,0,0,100,
6,ビッグリッポウタイ,-1996.523071,59.881821,-1552.013672,0,0,0,100,
7,ビッグリッポウタイ,-1995.189209,61.103790,-1546.136353,0,0,0,100,
8,エンチュウ,-1995.189209,61.103790,-1499.749512,0,0,0,100,
9,スモールリッポウタイ,-1995.144043,57.986271,-1600.344727,0,0,0,100,
10,エンチュウ,-1995.144043,57.986271,-1445.541504,0,0,0,100,
11,エンチュウ,-1993.697266,57.488365,-1436.137451,0,0,0,100,
12,ビッグリッポウタイ,-1993.697266,60.391403,-1592.387451,0,0,0,100,
13,ビッグリッポウタイ,-1993.697266,62.441513,-1540.304077,0,0,0,100,
14,スモールリッポウタイ,-1991.346191,56.649399,-1631.811523,0,0,0,100,
15,エンチュウ,-1991.346191,62.913498,-1473.210693,0,0,0,100,
16,エンチュウ,-1989.537720,64.012909,-1467.016724,0,0,0,100,
17,ビッグリッポウタイ,-1989.537720,64.835083,-1557.981689,0,0,0,100,
18,ビッグリッポウタイ,-1987.910156,65.600861,-1569.239258,0,0,0,100,
19,スモールリッポウタイ,-1987.864990,62.069710,-1608.256592,0,0,0,100,
20,ビッグリッポウタイ,-1987.864990,66.970665,-1538.812012,0,0,0,100,
21,ビッグリッポウタイ,-1987.864990,67.468651,-1515.618774,0,0,0,100,
22,スモールリッポウタイ,-1987.367798,60.367020,-1622.950195,0,0,0,100,
23,ビッグリッポウタイ,-1987.367676,65.363159,-1585.515381,0,0,0,100,
24,スモールリッポウタイ,-1985.785278,59.231514,-1642.933472,0,0,0,100,
25,ビッグリッポウタイ,-1985.785278,67.011856,-1573.489136,0,0,0,100,
26,エンチュウ,-1985.785278,67.262779,-1478.771729,0,0,0,100,
27,エンチュウ,-1985.785156,67.011856,-1472.396851,0,0,0,100,
28,ビッグリッポウタイ,-1985.016846,66.838837,-1592.387451,0,0,0,100,
29,ビッグリッポウタイ,-1982.880371,68.940712,-1579.298828,0,0,0,100,
