ID,アイテムID,X,Y,Z,取得済み
1,1,-287.000000,16.000000,539.000000,
2,2,-287.000000,16.000000,541.000000,
3,3,-287.000000,16.000000,543.000000,
4,4,-287.000000,16.000000,545.000000,
5,5,-287.000000,16.000000,547.000000,
6,6,-287.000000,16.000000,549.000000,
7,7,-287.000000,16.000000,551.000000,
8,8,-287.000000,16.000000,553.000000,
9,9,-287.000000,16.000000,555.000000,
10,10,-287.000000,16.000000,557.000000,
11,11,-287.000000,16.000000,559.000000,
12,12,-287.000000,16.000000,561.000000,○
13,13,-287.000000,16.000000,563.000000,
14,14,-287.000000,16.000000,565.000000,○
15,15,-287.000000,16.000000,567.000000,
16,16,-287.000000,16.000000,569.000000,
17,17,-287.000000,16.000000,571.000000,
18,18,-287.000000,16.000000,573.000000,
19,19,-287.000000,16.000000,575.000000,
20,20,-287.000000,16.000000,577.000000,
21,21,-287.000000,16.000000,579.000000,
22,22,-287.000000,16.000000,581.000000,○
23,23,-287.000000,16.000000,583.000000,
24,24,-287.000000,16.000000,585.000000,
25,25,-287.000000,16.000000,587.000000,
26,26,-287.000000,16.000000,589.000000,
27,27,-287.000000,16.000000,591.000000,
28,28,-287.000000,16.000000,593.000000,
29,29,-287.000000,16.000000,595.000000,
30,30,-287.000000,16.000000,597.000000,
