クエストID,開始タイプ,開始タイプオプション,開始イベント,完了タイプ,完了オプション１,完了オプション２,完了イベント
Q1,"位置
クエストが完了していないなら","-285.0:16.0:539.0:10.0
Q1",,自動完了,,,<talk>res\\script\\origin\\talk2Sample.csv
Q2,"クエストが完了していたら
クエストが完了していないなら","Q1
Q2",<hint>ホシマン（水を探そう）,調べたら,-270.0:19.0:523.0:5.0,,<talk>res\\script\\origin\\talkFinishQuest1.csv
Q3,"クエストが完了していたら
クエストが完了していないなら","Q2
Q3",<hint>ホシマン（水を探そう）,自動完了,,,"<hide>res\\model\\water.x
<sound>res\\sound\\drink.wav
<water>"
Q4,"クエストが完了していたら
クエストが完了していないなら","Q1
Q4",<hint>ホシマン（水を探そう）,調べたら,-268.0:19.0:504.0:5.0,,"<hide>res\\model\\water.x
<sound>res\\sound\\drink.wav
<water>"
Q5,"クエストが完了していたら
クエストが完了していないなら","Q1
Q5",<hint>ホシマン（水を探そう）,調べたら,-248.0:24.0:544.0:5.0,,"<hide>res\\model\\water.x
<sound>res\\sound\\drink.wav
<water>"
Q6,"クエストが完了していたら
クエストが完了していないなら","Q1
Q6",<hint>ホシマン（水を探そう）,調べたら,-225.0:26.0:615.0:5.0,,"<hide>res\\model\\water.x
<sound>res\\sound\\drink.wav
<water>"
Q7,"クエストが完了していたら
クエストが完了していないなら","Q1
Q7",<hint>ホシマン（水を探そう）,調べたら,-230.0:26.0:590.0:5.0,,"<hide>res\\model\\water.x
<sound>res\\sound\\drink.wav
<water>"
Q8,"クエストが完了していたら
クエストが完了していないなら","Q1
Q8",<hint>ホシマン（水を探そう）,調べたら,-266.0:19.0:556.0:5.0,,"<hide>res\\model\\water.x
<sound>res\\sound\\drink.wav
<water>"
Q9,"クエストが完了していたら
クエストが完了していたら
クエストが完了していたら
クエストが完了していたら
クエストが完了していたら
クエストが完了していたら
クエストが完了していないなら","Q3
Q4
Q5
Q6
Q7
Q8
Q9",<hint>ホシマン（水を探そう）,自動完了,,,<talk>res\\script\\origin\\talkFinishQuest2.csv
Q10,"クエストが完了していたら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら","Q9
Q10
Q11
Q12
Q13
Q14
Q15
Q16
Q17",<hint>ホシマン（食べられるものを探そう）,調べたら, -220:29:574:5,,"<finish>Q10
<finish>Q11
<finish>Q12
<finish>Q13
<finish>Q14
<finish>Q15
<finish>Q16
<finish>Q17
<talk>res\\script\\origin\\talkFinishQuest3.csv"
Q11,"クエストが完了していたら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら","Q9
Q10
Q11
Q12
Q13
Q14
Q15
Q16
Q17",<hint>ホシマン（食べられるものを探そう）,調べたら,-228:28:552:5,,"<finish>Q10
<finish>Q11
<finish>Q12
<finish>Q13
<finish>Q14
<finish>Q15
<finish>Q16
<finish>Q17
<talk>res\\script\\origin\\talkFinishQuest3.csv"
Q12,"クエストが完了していたら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら","Q9
Q10
Q11
Q12
Q13
Q14
Q15
Q16
Q17",<hint>ホシマン（食べられるものを探そう）,調べたら,-222:31:536:5,,"<finish>Q10
<finish>Q11
<finish>Q12
<finish>Q13
<finish>Q14
<finish>Q15
<finish>Q16
<finish>Q17
<talk>res\\script\\origin\\talkFinishQuest3.csv"
Q13,"クエストが完了していたら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら","Q9
Q10
Q11
Q12
Q13
Q14
Q15
Q16
Q17",<hint>ホシマン（食べられるものを探そう）,調べたら,-227:31:519:5,,"<finish>Q10
<finish>Q11
<finish>Q12
<finish>Q13
<finish>Q14
<finish>Q15
<finish>Q16
<finish>Q17
<talk>res\\script\\origin\\talkFinishQuest3.csv"
Q14,"クエストが完了していたら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら","Q9
Q10
Q11
Q12
Q13
Q14
Q15
Q16
Q17",<hint>ホシマン（食べられるものを探そう）,調べたら,-230.0:33.0:478.0:5,,"<finish>Q10
<finish>Q11
<finish>Q12
<finish>Q13
<finish>Q14
<finish>Q15
<finish>Q16
<finish>Q17
<talk>res\\script\\origin\\talkFinishQuest3.csv"
Q15,"クエストが完了していたら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら","Q9
Q10
Q11
Q12
Q13
Q14
Q15
Q16
Q17",<hint>ホシマン（食べられるものを探そう）,調べたら,-220.0:34.0:503.0:5,,"<finish>Q10
<finish>Q11
<finish>Q12
<finish>Q13
<finish>Q14
<finish>Q15
<finish>Q16
<finish>Q17
<talk>res\\script\\origin\\talkFinishQuest3.csv"
Q16,"クエストが完了していたら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら","Q9
Q10
Q11
Q12
Q13
Q14
Q15
Q16
Q17",<hint>ホシマン（食べられるものを探そう）,調べたら,-214.0:34.0:522.0:5,,"<finish>Q10
<finish>Q11
<finish>Q12
<finish>Q13
<finish>Q14
<finish>Q15
<finish>Q16
<finish>Q17
<talk>res\\script\\origin\\talkFinishQuest3.csv"
Q17,"クエストが完了していたら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら","Q9
Q10
Q11
Q12
Q13
Q14
Q15
Q16
Q17",<hint>ホシマン（食べられるものを探そう）,調べたら,-216.0:33.0:548.0:5,,"<finish>Q10
<finish>Q11
<finish>Q12
<finish>Q13
<finish>Q14
<finish>Q15
<finish>Q16
<finish>Q17
<talk>res\\script\\origin\\talkFinishQuest3.csv"
Q18,"一つでもクエストが完了していたら
クエストが完了していないなら","Q10:Q11:Q12:Q13:Q14:Q15:Q16:Q17
Q18",<hint>ホシマン（食べられるものを探そう）,自動完了,,,<talk>res\\script\\origin\\talkFinishQuest4.csv
Q19,"クエストが完了していたら
クエストが完了していないなら","Q18
Q19",<hint>ホシマン（食べられるものを探そう）,調べたら,-214:33:545:3 ,,"<sound>res\\sound\\get_item.wav
<item>細長いどんぐり:-1:-1"
Q20,"クエストが完了していたら
クエストが完了していないなら","Q18
Q20",<hint>ホシマン（食べられるものを探そう）,調べたら,-220:31:553:3 ,,"<sound>res\\sound\\get_item.wav
<item>小さくて丸いどんぐり:-1:-1"
Q21,"クエストが完了していたら
クエストが完了していないなら","Q18
Q21",<hint>ホシマン（食べられるものを探そう）,調べたら,-196:37:569:3 ,,"<sound>res\\sound\\get_item.wav
<item>大きいどんぐり:-1:-1"
Q22,"クエストが完了していたら
クエストが完了していたら
クエストが完了していたら
クエストが完了していないなら","Q19
Q20
Q21
Q22",<hint>ホシマン（食べられるものを探そう）,自動完了,,,<talk>res\\script\\origin\\talkFinishQuest5.csv
Q23,"クエストが完了していたら
クエストが完了していないなら","Q22
Q23",<hint>ホシマン（食べられるものを探そう）,自動完了,,,<story>res\\script\\origin\\storyDream.csv
Q24,"クエストが完了していたら
クエストが完了していないなら","Q23
Q24",,自動完了,,,<talk>res\\script\\origin\\talkFinishQuest6.csv
Q25,"クエストが完了していたら
クエストが完了していないなら","Q24
Q25",<hint>ホシマン（森の中にある道を進んでみよう）,調べたら,-218:75:207:120,,"<npc><sankakuman><pos>-206:106.5:195
<npc><sankakuman><rot>1.57
<npc><shikakuman><pos>-205:106.5:195
<npc><sankakuman><talkEnable>y
<npc><sankakuman><talkScript>res\\script\\origin\\talkFinishQuest8.csv
<talk>res\\script\\origin\\talkFinishQuest7.csv"
Q26,"クエストが完了していたら
クエストが完了していないなら","Q25
Q26",<hint>ホシマン（岩の上に人影が見えた気がする）,"人と話したら
NPCのXが生存
NPCのXが生存","sankakuman
sankakuman
shikakuman",,
Q27,"クエストが完了していたら
クエストが完了していないなら","Q26
Q27",<hint>ホシマン（人工物はないだろうか）,位置,14:500:-594:40,,<talk>res\\script\\origin\\talkFinishQuest9-2.csv
Q28,"クエストが完了していたら
クエストが完了していないなら","Q27
Q28",,"調べたら
NPCのXが生存","24:492:-569:2
daikeiman",,"<talk>res\\script\\origin\\talkFinishQuest9-3.csv
<showMap>3"
Q29,"クエストが完了していたら
クエストが完了していないなら","Q28
Q29",,"位置
NPCのXが生存","10.6:491.5:-564:3
daikeiman",,"<npc><daikeiman><pos>20:491.7:-563
<npc><daikeiman><talkEnable>y
<npc><daikeiman><talkScript>res\\script\\origin\\talkFinishQuest9-5.csv
<talk>res\\script\\origin\\talkFinishQuest9-4.csv"
Q30,"クエストが完了していたら
クエストが完了していないなら","Q29
Q30",<hint>ホシマン（ヤシの木は海のほうにあるはずだ）,調べたら,-1365:12:-581:10,,"<talk>res\\script\\origin\\talkFinishQuest10.csv
<showMap>7"
Q31,"クエストが完了していたら
クエストが完了していないなら","Q30
Q31",<hint>ホシマン（ココナッツを彼のもとに持っていこう）,"位置
インベントリにXがY個あったら
NPCのXが生存","10.6:491.5:-564:3
ココナッツの実:2
daikeiman",,"<talk>res\\script\\origin\\talkFinishQuest11.csv
<npc><sankakuman><pos>2:0:0
<npc><shikakuman><pos>4:0:0
<item>袋:1:999
<itemDel>ココナッツの実
<itemDel>ココナッツの実"
Q32,"クエストが完了していたら
クエストが完了していないなら","Q31
Q32",<hint>ホシマン（ココナッツを彼のもとに持っていこう）,"倉庫AにXがY個あったら
NPCのXが生存","1:ココナッツの実:4
daikeiman",,"<npc><daikeiman><talkEnable>y
<npc><daikeiman><talkScript>res\\script\\origin\\talkFinishQuest13.csv"
Q33,"クエストが完了していたら
クエストが完了していないなら","Q32
Q33",,"人と話したら
NPCのXが生存","daikeiman
daikeiman",,<npc><daikeiman><showMenu>y
Q34,"クエストが完了していたら
クエストが完了していないなら","Q33
Q34",<hint>ホシマン（子供たちを呼びに行こう）,調べたら,-206:106:198:120,,"<npc><daikeiman><pos>0:0:0
<talk>res\\script\\origin\\talkFinishQuest14.csv"
Q35,"クエストが完了していたら
クエストが完了していないなら","Q34
Q35",<hint>ホシマン（子供たちは大きな岩のあたりにいたはずだ）,"調べたら
NPCのXが生存
NPCのXが生存","'-206:106:198:10
sankakuman
shikakuman",,"<talk>res\\script\\origin\\talkFinishQuest15.csv
<npc><sankakuman><showMenu>y
<npc><shikakuman><showMenu>y"
