ID,オプション1,オプション2,オプション3,,
1,"「とてつもなく太った亡霊とガリガリの人間がいた。
　ガリガリの方はずっと笑っていて不気味な奴だった。
　私と私の両親が精神障碍者だから殺すといって笑っていた。",res\\image\\hoshiman00.png,,,"・オプション1は表示したいテキスト
・半角英数字は使用禁止
・３行まで
・オプション2は左に表示したい画像
・オプション3は右に表示したい画像"
2,　笑いすぎて立っていられなくなって最後は地面に倒れこんでた」,res\\image\\hoshiman00.png,,,
3,「ははは、何その人。おもしろ」,res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
4,「・・・。,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
5,　そいつがネスだ。亡霊もノーブルであってる」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
6,「・・・」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
7,「会ってみたい！」,res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
8,　サンカクマンが言った。,res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
9,「・・・。,res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
10,　ダメだ。絶対にやめろ」,res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
11,「えー」,res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
12,「ブイエスコは、あれから来てないね」,res\\image\\hoshiman00.png,res\\image\\shikakuman00.png,,
13,　シカクマンが言った。,res\\image\\hoshiman00.png,res\\image\\shikakuman00.png,,
14,「そういえばそうだ。ビムとも会ってない」,res\\image\\hoshiman00.png,res\\image\\shikakuman00.png,,
15,「今頃どーしてるんだろう」,res\\image\\hoshiman00.png,res\\image\\shikakuman00.png,,
16,「食べなくても生活できるらしいからなぁ」,res\\image\\hoshiman00.png,res\\image\\shikakuman00.png,,
17,（シーポロポロに行ってみようか）,res\\image\\hoshiman00.png,,,
