ID,オプション1,オプション2,オプション3,,
1,　ホシマンは歩き続けて遂に川を見つけた。,,,,"・オプション1は表示したいテキスト
・半角英数字は使用禁止
・３行まで
・オプション2は左に表示したい画像
・オプション3は右に表示したい画像"
2,（う・・・）,res\\image\\hoshiman00.png,,,
3,川は流れが止まっていて、黄土色だった。そして川の近くにはコンクリート製の廃墟があった。,,,,
4,ホシマンは廃墟が気になったがまずは川の方に歩いて行った。,,,,
5,（すごく濁ってるし臭い・・・飲んだら今より体の水分が減るだろう・・・。どうしよう）,res\\image\\hoshiman00.png,,,
6,ホシマンは山の方を見た。,,,,
7,（上流に行ったら川が透明かもしれない）,res\\image\\hoshiman00.png,,,
8,山ははるか遠くまで続いていた。,,,,
9,"（とても遠い・・・。何か別の方法はないか。
　仮に山頂付近できれいな川を見つけても子供たちに飲ませるのは難しいだろう）",res\\image\\hoshiman00.png,,,
10,ホシマンは廃墟の方を見た。,res\\image\\hoshiman00.png,,,
11,（廃墟の中を探してみよう）,res\\image\\hoshiman00.png,,,
