ID,名称,詳細,モデル名,画像のファイル名,重量(kg),体積(mL),強化可能回数,攻撃力補正(瞬発力ｘ攻撃力補正＝攻撃力),強化時の攻撃力補正の上昇値,飛距離(m),強化時の飛距離の上昇値(m),消費スタミナ,耐久値(壊れるまでの回数),強化時の耐久値の上昇値,使用時の肉体損傷
w1,石,"投げたり、殴ったりする。シャレにならないくらい強い。
",stone.x,res\\image\\stone.png,0.5,500,0,3,0,30,0,10,999,0,10
w2,木の棒,"３回くらいで壊れる。殴るよりはるかに弱い。手をケガしなくてすむ。
人間は木の枝で殴られても大したダメージはないが木製バットで殴られたら致命傷となる。
作り続ければ木製バットのような立派な武器を作れるようになる。

＋１～＋５まで強化できる。
",stick.x,res\\image\\stick.png,1,2000,5,0.2,0.3,10,0,10,3,10,10
w3,石槍,"３回くらいで壊れる。殴るよりはるかに弱い。
初心者が初めて作った石槍の攻撃力はゼロに等しい。手をケガしなくてすむ。
何度も作ることで使い物になる武器となる。
マサイ族はこれでライオンに勝つ。

＋１～＋５まで強化できる。
",stoneSpear.x,res\\image\\arrow.png,1,2000,5,0.2,0.3,10,0,10,3,10,10
w4,弓矢の弓,"手製の弓矢。１０回くらいで壊れる。
初心者が初めて作った弓矢は５メートルくらいしか飛ばない。攻撃力はゼロに等しい。
何度も作ることで使い物になる武器となる。

＋１～＋１０まで強化できる。
この武器に限り、強化時のステータスアップが弓矢の矢に付与される。
弓自体を投げた時の飛距離は変わらない。
",bow.x,res\\image\\bow.png,1,3000,10,0.1,0.1,3,1,10,10,1,10
w5,鉄パイプ,"壊れにくいが大したダメージは出せない。手をケガしなくて済む。
",ironPipe.x,res\\image\\pipe.png,1,2000,0,1,0,20,0,10,999,0,10
w6,石付き鉄パイプ,"鉄パイプの先端に石を括り付けたもの。強い。頑張れば木を倒すことも出来る
壊れた時に、鉄パイプと石を獲得できる。
",ironPipeAndStone.x,res\\image\\test.png,2,3000,0,4,0,15,0,10,10,0,10
w7,石斧,"木の枝に石を括り付けたもの。縛り付けている部分が脆く、３０回くらいで壊れる。
何度も作ることで壊れにくい武器を作れるようになる。
石の先端を削ることが重要である、と何度か作ると気が付く。

＋１～＋５まで強化できる。
",stoneAx.x,res\\image\\ax.png,1.5,2000,5,4,0,20,0,10,30,10,10
w8,弓矢の矢,"弓矢の矢は作るのにとても手間がかかる。
ナイフがないので尖った石で木の枝を削って作る。一日に３本が限度。
使い捨てなどできない。
「羽がないとまともに飛ばない」ということを、何度か作ると思いつく。
",arrow.x,res\\image\\arrow.png,0.2,500,1,2,0,40,1,5,10,1,5
w9,アトラトル,"アストラルじゃなくてアトラトル。
オクタヘドロンマンはアトラトルを動画配信サイトで見たことがあった。
一般人が使えば、ものすごい筋肉痛に襲われるだろうことが予想される。
",atlatl.x,res\\image\\atlatl.png,0.4,500,0,1,0,10,0,10,999,0,10
w10,アトラトルに使う槍,"槍の柄の部分が柔らかく「しなる」材質じゃないと、実は全然飛ばない。
何回も使うとそのことに気が付く。

＋１～＋５
",spearForAtlatl.x,res\\image\\arrow.png,0.6,2000,5,2,0,40,0,5,10,10,5
