ID,完成品,完成品の数,完成品の強化値,素材１,素材１の必要数,素材１の強化値,素材２,素材２の必要数,素材２の強化値,素材３,素材３の必要数,素材３の強化値,素材４,素材４の必要数,素材４の強化値,素材５,素材５の必要数,素材５の強化値
1,43,1,,55,100,,56,100,,,,,,,,,,
2,44,1,1,55,100,,56,100,,,,,,,,,,
3,45,1,2,55,100,,56,100,,,,,,,,,,
4,46,1,3,55,100,,56,100,,25,10,,,,,,,
5,47,1,4,55,100,,56,100,,25,10,,,,,,,
6,48,1,5,55,100,,56,100,,25,10,,,,,,,
7,49,1,6,55,100,,56,100,,25,10,,,,,,,
8,50,1,7,55,100,,56,100,,25,10,,,,,,,
9,51,1,8,55,100,,56,100,,25,10,,,,,,,
10,52,1,9,55,100,,56,100,,25,10,,,,,,,
11,53,1,10,55,100,,56,100,,25,10,,,,,,,
12,4,1,,3,10,,98,1,,,,,,,,,,
13,27,1,,56,10,,,,,,,,,,,,,
14,28,1,1,56,10,,,,,,,,,,,,,
15,29,1,2,56,10,,,,,,,,,,,,,
16,30,1,3,56,10,,,,,,,,,,,,,
17,31,1,4,56,10,,,,,,,,,,,,,
18,32,1,5,56,10,,,,,,,,,,,,,
19,58,1,,55,1,,,,,,,,,,,,,
20,59,1,1,55,1,,,,,,,,,,,,,
21,60,1,2,55,1,,,,,,,,,,,,,
22,61,1,3,55,1,,,,,,,,,,,,,
23,62,1,4,55,1,,,,,,,,,,,,,
24,63,1,5,55,1,,,,,,,,,,,,,
25,64,1,,55,1,,34,1,,,,,,,,,,
26,65,1,1,55,1,,34,1,,,,,,,,,,
27,66,1,2,55,1,,34,1,,,,,,,,,,
28,67,1,3,55,1,,34,1,,,,,,,,,,
29,68,1,4,55,1,,34,1,,,,,,,,,,
30,69,1,5,55,1,,34,1,,,,,,,,,,
31,83,1,,56,2,,33,1,,,,,,,,,,
32,84,1,1,56,2,,33,1,,,,,,,,,,
33,85,1,2,56,2,,33,1,,,,,,,,,,
34,86,1,3,56,2,,33,1,,,,,,,,,,
35,87,1,4,56,2,,33,1,,,,,,,,,,
36,88,1,5,56,2,,33,1,,,,,,,,,,
37,70,1,,55,1,,56,1,,,,,,,,,,
38,71,1,1,55,1,,56,1,,,,,,,,,,
39,72,1,2,55,1,,56,1,,,,,,,,,,
40,73,1,3,55,1,,56,1,,,,,,,,,,
41,74,1,4,55,1,,56,1,,,,,,,,,,
42,75,1,5,55,1,,56,1,,,,,,,,,,
43,76,1,6,55,1,,56,1,,,,,,,,,,
44,77,1,7,55,1,,56,1,,,,,,,,,,
45,78,1,8,55,1,,56,1,,,,,,,,,,
46,79,1,9,55,1,,56,1,,,,,,,,,,
47,80,1,10,55,1,,56,1,,,,,,,,,,
48,89,1,,54,1,,,,,,,,,,,,,
49,90,1,1,54,1,,,,,,,,,,,,,
50,82,1,,81,1,,33,1,,56,2,,,,,,,
51,91,1,,54,1,,,,,,,,,,,,,
52,92,1,,54,1,,34,1,,56,2,,,,,,,
53,93,1,1,54,1,,34,1,,56,2,,,,,,,
54,94,1,2,54,1,,34,1,,56,2,,,,,,,
55,95,1,3,54,1,,34,1,,56,2,,,,,,,
56,96,1,4,54,1,,34,1,,56,2,,,,,,,
57,97,1,5,54,1,,34,1,,56,2,,,,,,,
58,98,1,,56,10,,,,,,,,,,,,,
59,99,1,1,56,10,,,,,,,,,,,,,
60,100,1,2,56,10,,,,,,,,,,,,,
61,101,1,3,56,10,,,,,,,,,,,,,
62,102,1,4,56,10,,,,,,,,,,,,,
63,103,1,5,56,10,,,,,,,,,,,,,
64,12,1,,11,10,,,,,,,,,,,,,
65,36,1,,56,10,,,,,,,,,,,,,
66,10,5,,9,10,,98,1,,,,,,,,,,
67,4,2,,3,12,,99,1,1,,,,,,,,,
68,4,3,,3,14,,100,1,2,,,,,,,,,
69,4,4,,3,16,,101,1,3,,,,,,,,,
70,4,5,,3,18,,102,1,4,,,,,,,,,
71,4,6,,3,20,,103,1,5,,,,,,,,,
72,10,6,,9,12,,99,1,1,,,,,,,,,
73,10,7,,9,14,,100,1,2,,,,,,,,,
74,10,8,,9,16,,101,1,3,,,,,,,,,
75,10,9,,9,18,,102,1,4,,,,,,,,,
76,10,10,,9,20,,103,1,5,,,,,,,,,
