ID,タイプ,PosX,PosY,PosZ,RotX,RotY,RotZ,残りHP,討伐済み
1,リッポウタイ,-285,16,554,0,0,0,100,
2,キュウ,-285,16,556,0,0,0,100,
3,キュウ,-285,16,558,0,0,0,100,
4,キュウ,-285,16,560,0,0,0,100,
5,エンバン,-285,16,562,0,0,0,100,
6,リッポウタイ,-285,16,564,0,0,0,100,
7,リッポウタイ,-285,16,566,0,0,0,100,
8,リッポウタイ,-285,16,568,0,0,0,100,
9,リッポウタイ,-285,16,570,0,0,0,100,
10,リッポウタイ,-285,16,572,0,0,0,100,
11,リッポウタイ,-285,16,574,0,0,0,100,
12,リッポウタイ,-285,16,576,0,0,0,100,
13,リッポウタイ,-285,16,578,0,0,0,100,
14,リッポウタイ,-285,16,580,0,0,0,100,
15,リッポウタイ,-285,16,582,0,0,0,100,
16,リッポウタイ,-285,16,584,0,0,0,100,
