ID,大分類,小分類,説明文,表示済み
1,ステータス,ステータスについて,"このゲームには以下の１０のステータスが存在する。

「身体のスタミナ」、「脳のスタミナ」、「瞬発力」
「水分」、「身体の疲労・損傷」
「糖質」、「タンパク質」、「脂質」、「ビタミン」、「ミネラル」
",○
2,ステータス,「身体のスタミナ」について,"「最大値」と「回復可能値」と「現在値」がある。
歩くたび走るたびにスタミナの「回復可能値」と「現在値」が減少する。
止まったり、座ったり、横になると
「現在値」は回復するが「回復可能値」は回復しない。
寝ると睡眠時間に応じて「回復可能値」が回復する。

現在値が５０％以下になると移動速度が半分になる。
現在値が１０％以下になると移動速度が１０分の１になる。
７０％以下になることが一日に一度もなかった場合、
運動不足として最大値が１％減る。
",○
3,ステータス,「脳のスタミナ」について,"集中力、気力。

瞬発力、五大栄養素、に影響する。

起きているだけで少しずつ減少する。
寝ると全快する。寝る時間が遅かった場合、―５０％。
会話をするか魔法を使用すると下がる。
「最大値」と「回復可能値」と「現在値」がある。
５０％以下の状態で横になると昼でも寝る。
２０％以下の状態で座ると昼でも寝る。
強いストレスを感じると大幅に減る。
",○
4,ステータス,「瞬発力」について,"速筋の太さ。

敵に与えるダメージ、自分が受けるダメージ、足の速さに影響する。
",○
5,ステータス,「肉体の修復度」について,"筋肉痛、打撲、切り傷、捻挫、やけどなどの様々な肉体の損傷を表した数値。

１００なら無傷。
攻撃をされた時に減る。
攻撃をした場合も減る。
それ以外にも様々な行動で減る。
睡眠により回復し、回復した時に
「スタミナ」、「瞬発力」の最大値が上昇する。
「肉体の修復度」が減るとスタミナが減りやすくなる。
",○
6,ステータス,「水分」について,"サバイバルで最優先すべきもの。
１％でも下がると「スタミナ」・「脳のスタミナ」の下がりやすさが悪化する。
１％下がるたびにさらに悪化する。
９０％になると死亡する。
",○
7,ステータス,「糖質」について,"サバイバルで水分の次に優先すべきもの。
摂取すると「脳のスタミナ」が急上昇するが、その後、急下降する。
摂取するとしばらく「身体のスタミナ」の回復速度が下がる。
糖質が上限値の１００になったとき、
満腹であるとしてそれ以上食べられなくなる。
",○
8,ステータス,「タンパク質」について,"不足すると「身体の疲労・損傷」を回復が遅れる。
",○
9,ステータス,「ビタミン」について,"「身体のスタミナ」、「脳のスタミナ」、
「瞬発力」、「身体の疲労・損傷」に影響する。
",○
10,ステータス,「ミネラル」について,"「身体のスタミナ」、「脳のスタミナ」、
「瞬発力」、「身体の疲労・損傷」に影響する。
",○
11,ステータス,「睡眠・気絶」について,"脳のスタミナが０になるか、脳のスタミナが低い状態で横になると
「睡眠・気絶」状態になる。
ゲーム内で５秒間攻撃されなければパワーエッグ星での
７時間後ｏｒ１．５時間後に移動する。
睡眠・気絶中に攻撃されると即死する。
",○
12,ステータス,「風邪」について,"５日で治る。
身体を動かすと悪化する。
頭を働かせても悪化する。
",○
13,ステータス,「腕の骨折」について,"攻撃力が１０分の１になる。

「身体のスタミナ」、「脳のスタミナ」、「瞬発力」に影響する。
経過日数に応じてバフが減少していく。
完治するのに３か月かかる。
五大栄養素が半分以下だと回復が止まる。
",○
14,ステータス,「足の骨折」について,"移動速度が９０％ダウン。

「身体のスタミナ」、「脳のスタミナ」、「瞬発力」に影響する。
経過日数に応じてバフが減少していく。
完治するのに３か月かかる。
五大栄養素が半分以下だと回復が止まる。

オープニングからやり直したほうがいい。
",○
15,ステータス,「頭痛」について,"完治するのに１日かかる。
水を飲むと悪化する。
",○
16,ステータス,「腹痛」について,"完治するのに１日かかる。
飲食によって悪化する。
",○
17,ステータス,「脱水症状」について,"回復に１日かかる。
五大栄養素・水が不足すると回復が止まる。
",○
18,ステータス,満腹度,"一度に食べられる量には限りがある。
空腹が続くと胃が小さくなり、食べられる量も減る。
満腹になったらそれ以上食べられない。
体積や重量ではなく、糖質によって決まる。
",○
19,ステータス,アイテム重量,"持てる分しか持てない。
「スタミナ」、「脳のスタミナ」、「瞬発力」、「移動速度」に影響する。
どれだけ重い荷物を持っていても
座っているか横になっていれば、スタミナ消費に影響しない。

",○
20,ステータス,状態,"次の状態になることがある。

腕の骨折、足の骨折、頭痛、風邪、腹痛、睡眠、脱水症状、睡眠不足
",○
21,インベントリ,アイテム重量,"「スタミナ」、「脳のスタミナ」、「瞬発力」、「移動速度」に影響する。
どれだけ重い荷物を持っていても
座っているか横になっていれば、スタミナ消費に影響しない。
",○
22,インベントリ,最大積載量,"所持できるアイテムの体積。
体積と重量は区別される。

最大積載量を超えた場合は移動ができなくなる。
袋を装備すると最大積載量が増える。

袋は最大5個装備できる。
一つ目は背中。二つ目も背中。
三つ目は腹。四つ目は左手。五つ目は右手。
左手に袋を持つと攻撃力が半分になり、弓矢とアトラトルは使えなくなる。
右手に袋を持つと攻撃ができなくなる。

ジャンプするか荷物の出し入れをすると袋の耐久度が下がる。
",○
23,インベントリ,アイテムの出し入れ,"袋を装備している場合、アイテムをインベントリに出し入れするたびに
ゲーム内で１分が経過し、脳のスタミナを消費する。

脳がムキムキゴリラの人には、部屋がきれいな人と汚い人がいるが
脳がガリガリの人は、必ず部屋が汚い。
",○
24,魔法,魔法の熟練度について,"魔法を繰り返し使うと経験値が貯まり、
ある程度まで貯まると次の日の朝に熟練度が上がる。

何時間かかっても出来なかったことが、
翌日にやったらあっさりとできることがある。
成長は休憩している間に起こるらしい。

また、魔法を使ったことで得た経験値は時間経過で減少する。

週３回以下の努力は何年続けても効果がないとされている。
",○
25,アクション,アクション,"Ｃキーでアクションボタンを表示できる。

アクションボタンでは
「採取」「伐採」
「座る」「横になる」などの行動を選択できる。
",○
26,アクション,採取,"植物を採取する。ゲーム内で３０分経過する。
装備している武器により所要時間を短縮できる。
身体のスタミナがある程度ないと開始できない。
",○
27,アクション,伐採,"木を伐採する。ゲーム内でおよそ６時間経過する。

装備している武器により所要時間を短縮できる。
適切な道具を装備していないと開始できない。
一度の伐採で石斧の耐久値は１０００減少する。
強化された石斧の場合、耐久値が減りにくくなる。

「縦長の石」でも伐採可能だが肉体を損傷する。

風邪や頭痛であった場合、回復に必要な日数が増える。
",○
28,クラフト,クラフト,"ある程度時間が経過した後、倉庫に完成品が入れられる。
クラフトにかかる時間はアイテムによる。

クラフトを開始した依頼はキャンセルできるが素材は帰ってこない。
キャンセルを何度もやると嫌われる。

ダイケイマンたちのステータスが下がるとデバフがかかる。
",○
29,クラフト,クラフトの依頼,"ダイケイマンにクラフトを依頼できる。

経験者がいないので、初めは使い物にならない道具を作る。
何度も作るうちにより良いものが作れるようになる。

完成する前に次の依頼ができる。
５回まで予約可能。
",○
30,クラフト,クラフト用の素材,"クラフトの依頼をするためにはインベントリに
クラフト用の素材が必要な分だけ存在している必要がある。

ダイケイマンは歩行困難なため
倉庫ではなくインベントリに用意しよう。

依頼した時点でクラフト用の素材はなくなる。
キャンセルしても戻ってこない。

クラフトが開始されておらず予約されている状態なら
キャンセルしたときに素材は戻ってくる。

インベントリに素材が複数ある場合は
耐久度の低いものからなくなる。
",○
31,クラフト,成長と強化値,"初めて石斧を作ると、強化値なしの石斧が手に入る。
もう一度、石斧を作ると、強化値＋１の石斧が手に入る。

一度上達したことを敢えて下手にやるというのは難しく
強化値＋１の石斧が作れるときに
強化値なしの石斧を作ることはできない。
",○
32,クラフト,イカダ,"イカダをクラフトした場合、倉庫には入らず近くの川に浮かべられる。
３つまで川に浮かべられる。
イカダは自ら航海することでしか運べない。
",○
33,パッチテスト,パッチテスト,"知らない野草を食べるためにダイケイマンが毒味する。
正解率は６０％。繰り返すことで９０％まではあげられる。

一度に３回まで依頼できる。
１時間後に結果を教えてくれる。

３回、毒判定された食材はパッチテストを依頼しても断られる。嫌われる。

謎の草１、謎の草２などが存在するが
どの草が毒草かは、ゲームを初めからやり直すたびに変わる。
",○
34,操作方法,キーボード、マウスの操作,"メニュー・・・ＥＳＣＡＰＥ
歩く・・・ＷＡＳＤ
ジョギング・・・ＳＨＩＦＴ＋ＷＡＳＤ
ダッシュ・・・ＣＴＲＬ＋ＷＡＳＤ
ジャンプ・・・ＳＰＡＣＥ
ステップ・・・ＷＡＳＤ＋ＳＰＡＣＥ
攻撃する・・・左クリック
魔法を使う・・・ＳＨＩＦＴ＋左クリック
魔法を切り替える・・・ホイール
話しかける・・・Ｆキー
アイテムを拾う・・・Ｆキー
決定・・・ＥＮＴＥＲ・ＳＰＡＣＥキー
投げる・・・ＳＨＩＦＴ＋Ｆキー
",○
35,操作方法,ゲームパッドの操作,"メニュー・・・ＳＴＡＲＴボタン
歩く・・・十字キー
ジョギング・・・
ダッシュ・・・
ジャンプ・・・×ボタン
ステップ・・・
攻撃する・・・Ｒ１
魔法を使う・・・
魔法を切り替える・・・
話しかける・・・
アイテムを拾う・・・
決定・・・○ボタン
投げる・・・
",○
36,操作方法,攻撃,"武器を振るたび、自身の体力なども消耗する。
風邪、頭痛などの状態異常が悪化する。
",○
