ID,大分類,小分類,説明文
1,ステータス,ステータスについて,"このゲームには以下の１０のステータスが存在する。

「身体のスタミナ」、「脳のスタミナ」、「瞬発力」
「水分」、「身体の疲労・損傷」
「糖質」、「タンパク質」、「脂質」
「ビタミン」、「ミネラル」
"
2,ステータス,「身体のスタミナ」について１,"「最大値」と「回復可能値」と「現在値」がある。
歩くたび走るたびにスタミナの「回復可能値」と「現在値」が減少する。

"
3,ステータス,「身体のスタミナ」について２,"止まったり、座ったり、横になると
「現在値」は回復するが「回復可能値」は回復しない。
寝ると睡眠時間に応じて「回復可能値」が回復する。
"
4,ステータス,「身体のスタミナ」について３,"「回復可能値」が７０％以下になることが一日に一度もなかった場合、
運動不足として最大値が１％減る。
"
5,ステータス,「脳のスタミナ」について１,"集中力、気力。

攻撃力、魔法の使用に影響する。
"
6,ステータス,「脳のスタミナ」について２,"起きているだけで少しずつ減少する。
寝ると全快する。寝る時間が遅かった場合、５０％回復する。
会話をするか魔法を使用すると下がる。
"
7,ステータス,「脳のスタミナ」について３,"「最大値」と「回復可能値」と「現在値」がある。
５０％以下の状態で横になると昼でも寝る。
２０％以下の状態で座ると昼でも寝る。
"
8,ステータス,「瞬発力」について,"速筋の太さ。

敵に与えるダメージ、自分が受けるダメージ、移動速度に影響する。
"
9,ステータス,「肉体の修復度」について,"筋肉痛、打撲、切り傷、捻挫、やけどなどの様々な肉体の損傷を表した数値。

１００であれば無傷であることを意味する。
攻撃をされた時に減る。
攻撃をした場合も減る。
それ以外にも様々な行動で減る。
睡眠により回復し、回復した時に
「スタミナ」、「瞬発力」の最大値が上昇する。
"
10,ステータス,「水分」について,"サバイバルで最優先すべきもの。
１％でも下がると「スタミナ」・「脳のスタミナ」の下がりやすさが悪化する。
１％下がるたびにさらに悪化する。
９０％になると死亡する。
"
11,ステータス,「糖質」について,"サバイバルで水分の次に優先すべきもの。

糖質が９５以上になったとき、
満腹であるとしてそれ以上食べられなくなる。
"
12,ステータス,「タンパク質」について,"不足すると回復に影響する。
"
13,ステータス,「ビタミン」について,"不足すると回復に影響する。
"
14,ステータス,「ミネラル」について,"不足すると回復に影響する。
"
15,ステータス,「睡眠・気絶」について,"脳のスタミナが０になるか、脳のスタミナが低い状態で横になると
「睡眠・気絶」状態になる。
パワーエッグ星での７時間後、もしくは１．５時間後に移動する。
睡眠・気絶中に攻撃されると即死する。

泳いでいるときに寝てしまうことはない。
"
16,ステータス,「風邪」について,"５日で治る。
身体を動かすと悪化する。
頭を働かせても悪化する。
"
17,ステータス,「腕の骨折」について,"攻撃力が９０％ダウン。

「身体のスタミナ」、「脳のスタミナ」、「瞬発力」に影響する。
経過日数に応じてバフが減少していく。
完治するのに３か月かかる。
五大栄養素が半分以下だと回復が止まる。
"
18,ステータス,「足の骨折」について,"移動速度が９０％ダウン。

「身体のスタミナ」、「脳のスタミナ」、「瞬発力」に影響する。
経過日数に応じてバフが減少していく。
完治するのに３か月かかる。
五大栄養素が半分以下だと回復が止まる。
"
19,ステータス,「頭痛」について,"完治するのに１日かかる。
水を飲むと悪化する。
"
20,ステータス,「腹痛」について,"完治するのに１日かかる。
飲食によって悪化する。
"
21,ステータス,「脱水症状」について,"回復に１日かかる。
五大栄養素、もしくは水分が不足している場合、回復が止まる。
"
22,ステータス,状態,"次の状態になることがある。

腕の骨折、足の骨折、頭痛、風邪、腹痛、睡眠、脱水症状、睡眠不足
"
23,ステータス,状態異常の発生条件,"・腕の骨折、足の骨折・・・落下
・頭痛、風邪、腹痛・・・確率
・脱水症状・・・水分不足
・睡眠不足・・・夜更かし
"
24,インベントリ,アイテム重量,"「身体のスタミナ」、「脳のスタミナ」、「瞬発力」、「移動速度」に影響する。
どれだけ重い荷物を持っていても
座っているか横になっていれば、スタミナ消費に影響しない。
"
25,インベントリ,最大積載量,"所持できるアイテムの体積。
体積と重量は区別される。

最大積載量を超えた場合は移動ができなくなる。
袋を装備すると最大積載量が増える。"
26,インベントリ,袋１,"袋は最大５個装備できる。
一つ目は背中。二つ目も背中。
三つ目は腹。四つ目は左手。五つ目は右手。
"
27,インベントリ,袋２,"左手に袋を持つと攻撃力が半分になり、弓矢とアトラトルは使えなくなる。
右手に袋を持つと攻撃ができなくなる。

ジャンプするか荷物の出し入れをすると袋の耐久度が下がる。
"
28,インベントリ,アイテムの出し入れ,"袋を装備している場合、アイテムをインベントリに出し入れするたびに
袋の耐久値が消費される。
脳のスタミナも消費される。
"
29,魔法,魔法の熟練度について１,"魔法を繰り返し使うと経験値が貯まり、
ある程度まで貯まると次の日の朝に熟練度が上がる。

成長は休憩している間に起こるらしい。
"
30,魔法,魔法の熟練度について２,"魔法を使ったことで得た経験値は時間経過で減少する。

週３回以下の努力は何年続けても効果がないとされている。
"
31,アクション,アクション,"Ｃキーでアクションボタンを表示できる。

アクションボタンでは
「採取」「伐採」
「座る」「横になる」などの行動を選択できる。
"
32,アクション,採取,"植物などを採取する。ゲーム内で３０分経過する。
装備している武器により体力の消耗が変化する。
身体のスタミナがある程度ないと開始できない。

植物や木、石、土の近くで採取を行ってみよう。
"
33,アクション,伐採１,"木を伐採する。ゲーム内でおよそ６時間経過する。

装備している武器により体力の消耗が変化する。
適切な道具を装備していないと開始できない。

"
34,アクション,伐採２,"一度の伐採で石斧の耐久値は１０００減少する。
強化された石斧の場合、耐久値が減りにくくなる。

「縦長の石」でも伐採可能だが肉体を損傷する。

風邪や頭痛であった場合、回復に必要な日数が増える。
"
35,アクション,瞑想,"自分が次に何をすべきか、静かに考える。
"
36,クラフト,クラフト,"ある程度時間が経過した後、倉庫に完成品が入れられる。
クラフトにかかる時間はアイテムによる。

クラフトを開始した依頼はキャンセルできるが素材は帰ってこない。
"
37,クラフト,クラフトの依頼１,"ダイケイマンにクラフトを依頼できる。

経験者がいないので、初めは使い物にならない道具を作る。
何度も作るうちにより良いものが作れるようになる。
"
38,クラフト,クラフトの依頼２,"完成する前に次の依頼ができる。
５回まで予約可能。
"
39,クラフト,クラフト用の素材,"クラフトの依頼をするためにはインベントリに
クラフト用の素材が必要な分だけ存在している必要がある。

インベントリに素材が複数ある場合は
耐久度の低いものからなくなる。
"
40,クラフト,成長と強化値,"初めて石斧を作ると、強化値なしの石斧が手に入る。
もう一度、石斧を作ると、強化値＋１の石斧が手に入る。

強化値＋１の石斧が作れるときに
強化値なしの石斧を作ることはできない。
"
41,クラフト,イカダ,"イカダをクラフトした場合、倉庫に入れられるのではなく、
近くの川に浮かべられる。
３つまで川に浮かべられる。

イカダはインベントリに入れられず、自ら航海することでしか運べない。
"
42,パッチテスト,パッチテスト,"知らない野草を食べるためにダイケイマンが毒味する。
正解率は６０％。繰り返すことで９０％まではあげられる。

一度に３回まで依頼できる。
１時間後に結果を教えてくれる。
"
43,操作方法,キーボード、マウスの操作,"メニュー・・・ＥＳＣＡＰＥ
歩く・・・ＷＡＳＤ
ダッシュ・・・ＳＨＩＦＴ＋ＷＡＳＤ
ジャンプ・・・ＳＰＡＣＥ
ステップ・・・ＷＡＳＤ＋ＳＰＡＣＥ
攻撃する・・・左クリック
魔法を使う・・・ＳＨＩＦＴ＋左クリック
魔法を切り替える・・・ホイール
決定・・・ＥＮＴＥＲ・ＳＰＡＣＥキー
投げる・・・ＳＨＩＦＴ＋Ｆキー
"
44,操作方法,ゲームパッドの操作,"メニュー・・・ＳＴＡＲＴボタン
歩く・・・十字キー
ダッシュ・・・
ジャンプ・・・×ボタン
ステップ・・・ＷＡＳＤ＋×ボタン
攻撃する・・・Ｒ１
魔法を使う・・・
魔法を切り替える・・・
決定・・・○ボタン
投げる・・・
"
45,操作方法,攻撃,"武器を振るたび、武器の耐久度を消耗し、自身の体力も消耗する。
風邪、頭痛などの状態異常が悪化する。
武器が石だった場合、耐久度が消耗しない。
"
46,操作方法,状態,"次の状態になることがある。

腕の骨折、足の骨折、頭痛、風邪、腹痛、睡眠、脱水症状、睡眠不足
"
47,操作方法,ダッシュ,"およそ１０秒程度までは全力で走ることが可能。
体を鍛えれば少し長く走れるようになる。
"
48,操作方法,歩く,"およそ１０分程度、連続で歩くことができる。
訓練により長く歩けるようになる。
"
49,操作方法,投げる,"石を投げたり、アトラトルで石槍を投げたり、弓矢を射ったりする。
"
50,イカダで航海,方角,"太陽の方角を見てみよう。
"
51,イカダで航海,風の向き、強さ,"帆にぶら下がっているハンカチをみて風の向きと強さを確認しよう。
"
52,イカダで航海,漕ぎモード,"メニューのコマンドから「座る」を選択すると漕ぎモードになり、
右クリックで右のオール、左クリックで左のオールを操作できる。
"
53,イカダで航海,袋,"袋の近くに行くと袋の中身を見れる。
"
54,イカダで航海,「３時間漕ぐ」コマンド,"メニューのコマンドから「３時間漕ぐ」コマンドを選択すると
現在の方角に向かって３時間漕ぐ。
"
55,イカダで航海,帆を張る,"メニューのコマンドから「帆を張る」コマンドを選択すると
帆を張ることができる。
"
56,イカダで航海,イカダのステータス,"メニューのステータスでイカダのステータスを確認できる。
"
57,イカダで航海,イカダ,"強化値と重量によってイカダが壊れるまでの日数が変わる。
"
58,イカダで航海,イカダが壊れたら,"イカダが壊れたら海を泳いで最後の悪あがきをしよう。
"
59,用語,ライネン１,"一年で死亡する代わりに特殊な能力を得る契約。

炎、氷、闇の魔法が使えるようになる。
亡霊は闇の魔法でしかダメージを与えられない。
"
60,用語,ライネン２,"死んでも小瓶を飲んだ場所で一度だけ復活できる。
（正確には死ぬ直前で体力が全快する）
"
61,きのこ,きのこ,"サバイバルではきのこを食べてはいけない。
"
62,倉庫,倉庫,"倉庫にアイテムを預けておくことができる。
"
