ID,名前,説明,画像
1,ホシマン,"２７歳男性。
主人公。頭の形が星の形をしていて、
全身が黄色でいかにも星という感じ。
暗い性格をしている。

港で船に荷物をつけたり、書類を作っ
たりする仕事を派遣でしていた。
７月末で契約が終了し趣味のバイクで
オプティプル島へ向かっていた。

肉体労働をしていたことが、今回の海
難事故では不幸中の幸いとなった。

１７０ｃｍ。５５Ｋｇ。
",res\\image\\human1.png
2,ダイケイマン,"４０代男性。
頭が台形の男。全身ボロボロで両足が
折れている。
モンスターとの戦闘で崖から飛び降り
負傷した。
",res\\image\\human2.png
3,サンカクマン,"頭が三角形の子供。シカクマンと一緒
にプロリタン島にたどり着いた。
わんぱくボーイ。
子供がみな天使のような存在だと思っ
たら間違いだ。
学校でいじめを首謀することもあるし、
悪意を持って人を陥れたり侮辱するこ
ともある。
それも理解したうえで愛情をもって接
するのが理想。
理想の反対は現実。

１１歳。
",res\\image\\human3.png
4,シカクマン,"頭が四辺形の子供。サンカクマンより
年下。おとなしめ。
８歳。

サンカクマンとは赤の他人。
",res\\image\\human1.png
5,ビム,"人型のモンスター。全身真っ白。
実験体。人を攻撃しない。
モンスターは兵器として人を攻撃する
ように作られている。
しかしビムは、モンスターに人格を持
たせるのが目的の実験体であった。
人を攻撃するところまでは研究が進ん
でいなかった。
そしてここに廃棄された。何もするこ
とがない。
名前はない。ホシマンたちがつけた。
",res\\image\\human2.png
6,ブイエスコ,"人型のモンスター。全身真っ白。
実験体。人を攻撃する。
ビムとブイエスコは見た目が同じで区
別ができない。
名前はない。ホシマンたちがつけた。
",res\\image\\human3.png
7,ウェブニン,"原住民の老婆
",res\\image\\human1.png
8,ジーオフ,"ライネンという契約を行うことができ
る。
絶体絶命の人の元に現れ契約を勧めて
くる。

社会に与える影響を考慮してパワーエ
ッグ島限定で契約ができるようにして
いる。

絶体絶命の人の元に現れるのは１年後
に死亡する、という契約を獲得したい
から。

顔面は牛の頭蓋骨
",res\\image\\human2.png
9,ガイン,"暴力的な男。
短気で利己的、自分以外の人間は全員
ゴミだと思っている。
女性と男性とで接し方が１８０度変わ
る。
立場が上か下かで接し方が１８０度変
わる。
「口は悪いが心は優しい人」などいな
い。

廃墟を自分の所有物だとして盗人扱い
してくる。
すべて返却を要求し、また、罰として
罰金の支払いを要求してくるが
本人は自分がおかしいという発想がな
く「バカに教育してあげている」とい
う認識である。
",res\\image\\human3.png
10,ネス,"ウソやズルをする男。
電車の利用や買い物が一人でできず
ＩＱが８０程度しかない。
いつもヘラヘラしていて、なんでも人
のせいにする。
人が死ぬと爆笑する。
ノーブルを利用し死なせた。
一度、脳が破壊されてから生き返って
いる。

脳の損傷は全快し、機能は元に戻った
が記憶の大半が失われている。

外道ぶりも低知能も元からである。
",res\\image\\human1.png
11,ノーブル,"知的障害の男。ネスに利用され死んだ。
",res\\image\\human2.png
12,ヒシガタマン,"ホシマンの元恋人。
若者同士の恋愛はそうそううまくいか
ない。
",res\\image\\human3.png
