ID,アイテム名,SubID,耐久度
1,スマホ,1,999
1,スマホ,2,998
2,家のカギ,1,989
2,家のカギ,2,988
3,赤い実,1,979
3,赤い実,2,978
4,毒抜きした赤い実,1,969
4,毒抜きした赤い実,2,968
5,ココナッツの実,1,959
5,ココナッツの実,2,958
6,熟したココナッツの実,1,949
6,熟したココナッツの実,2,948
7,細長いどんぐり,1,939
7,細長いどんぐり,2,938
8,小さくて丸いどんぐり,1,929
8,小さくて丸いどんぐり,2,928
9,大きいどんぐり ,1,919
9,大きいどんぐり ,2,918
10,あく抜きをした大きいどんぐり,1,909
10,あく抜きをした大きいどんぐり,2,908
11,ハイビスカス,1,899
11,ハイビスカス,2,898
12,花輪,1,889
12,花輪,2,888
13,ツクシ,1,879
13,ツクシ,2,878
14,謎の草１,1,869
14,謎の草１,2,868
15,謎の草２,1,859
15,謎の草２,2,858
16,謎の草３,1,849
16,謎の草３,2,848
17,謎の草４,1,839
17,謎の草４,2,838
18,謎の草５,1,829
18,謎の草５,2,828
19,謎の草６,1,819
19,謎の草６,2,818
20,タンポポ,1,809
20,タンポポ,2,808
21,ニラ、もしくはスイセン,1,799
21,ニラ、もしくはスイセン,2,798
22,キノコ,1,789
22,キノコ,2,788
23,銅鉱石,1,779
23,銅鉱石,2,778
24,イカダ,1,769
24,イカダ,2,768
25,ブイ,1,759
25,ブイ,2,758
26,モンスターの体,1,749
26,モンスターの体,2,748
27,袋,1,739
27,袋,2,739
27,袋,3,739
27,袋,4,739
27,袋,5,739
33,いい形の石（斧）,1,729
33,いい形の石（斧）,2,728
34,いい形の石（槍）,1,719
34,いい形の石（槍）,2,718
35,ワードブレス,1,709
35,ワードブレス,2,708
36,菅笠（すげがさ）,1,699
36,菅笠（すげがさ）,2,698
37,焼き魚,1,689
37,焼き魚,2,688
38,パパイヤ,1,679
38,パパイヤ,2,678
39,マンゴー,1,669
39,マンゴー,2,668
40,バナナ,1,659
40,バナナ,2,658
41,縦長の石,1,649
41,縦長の石,2,648
42,黒い貝,1,639
42,黒い貝,2,638
54,木の枝,1,519
54,木の枝,2,518
55,細い木の幹,1,509
55,細い木の幹,2,508
56,ツタ,1,499
56,ツタ,2,498
57,石,1,489
57,石,2,488
58,木の棒,1,479
58,木の棒,2,478
58,木の棒,3,469
58,木の棒,4,468
58,木の棒,5,459
58,木の棒,6,458
58,木の棒,7,449
58,木の棒,8,448
58,木の棒,9,439
58,木の棒,10,438
58,木の棒,11,429
58,木の棒,12,428
64,石槍,1,419
64,石槍,2,418
65,石槍,1,409
65,石槍,2,408
66,石槍,1,399
66,石槍,2,398
67,石槍,1,389
67,石槍,2,388
68,石槍,1,379
68,石槍,2,378
69,石槍,1,369
69,石槍,2,368
70,弓矢の弓,1,359
70,弓矢の弓,2,358
76,鉄パイプ,1,249
76,鉄パイプ,2,248
