ID,地名,発見済み,説明文,X,Y,画像ファイル名
1,パワーエッグ星,○,"本作の舞台となる惑星。
地軸が大きく傾いている。
",342,345,res\\image\\poweregg.png
2,プロリタン島,○,"本作の舞台となる無人島。

外周２０ｋｍ。面積２５ｋｍ。
哺乳類はコウモリくらいしかいない。
",464,809,res\\image\\widemap1.png
3,プレシジョン,,"廃墟の名前。
鉄筋コンクリートでできている。
市役所だったようだ。
",304,794,res\\image\\narrowmap1.png
4,セントオーズ神社,,"老婆がいた神社の名前
",781,156,res\\image\\narrowmap3.png
5,ウブントゥ洞窟,,"銅鉱石が見つかる洞窟
",648,898,res\\image\\narrowmap2.png
6,レッドパット河畔,,"食料を隠している場所
",651,826,res\\image\\narrowmap8.png
7,シンクハット海岸,,"ココナッツの木が生えている海岸
",220,909,res\\image\\narrowmap10.png
8,ビットナビ森林,,"ドングリの木が生えている森林
",300,282,res\\image\\narrowmap9.png
9,レッドマイズ山,,"標高５００メートル。
この島唯一の山。
",110,115,res\\image\\narrowmap12.png
10,ジェンキング湿地帯,,,624,348,res\\image\\narrowmap6.png
11,ジーフォーク共和国,○,"西側にある国
",461,426,res\\image\\widemap3.png
12,ラデオウ連邦,○,"ホシマンの出身地
",411,957,res\\image\\widemap2.png
13,オプティプル島,○,"本来行くはずだった島。
バイカーの聖地。
ヒグマがいっぱい。 
",686,19,res\\image\\widemap5.png
14,キューシー,○,"パワーエッグ星の恒星。
寿命が近く、赤くて弱い。
",637,461,res\\image\\qc.png
15,ギップ灯台,,"ガインが住んでいた。
",920,990,res\\image\\narrowmap7.png
16,バーチャルベックス港跡,,"ネスが住んでいる。
とある幽霊がいる。
",227,659,res\\image\\narrowmap5.png
17,ダイレクトネクス海岸洞窟,,"引っ越し先
",475,480,res\\image\\narrowmap11.png
18,シーポロポロ苔庭,,"苔で覆われた森林。
神聖な感じがする。
夜はホタルが飛んでいる。
",549,23,res\\image\\narrowmap4.png
19,ブレンバー海域,○,"南側の海域。
広大な海が広がっており、陸地はない。
",649,1,res\\image\\widemap4.png
