クエストID,開始タイプ,開始タイプオプション,開始イベント,完了タイプ,完了オプション１,完了オプション２,完了イベント
Q1,位置,-285.0:16.0:539.0:10.0,,自動完了,,,<talk>res\\script\\origin\\talk2Sample.csv
Q2,クエストが完了していたら,Q1,,調べたら,-305.0:16.0:539.0:10.0,,<talk>res\\script\\origin\\talkFinishQuest1.csv
Q3,クエストが完了していたら,Q1,,調べたら,-325.0:16.0:539.0:10.0,,
Q4,クエストが完了していたら,Q1,,調べたら,-345.0:16.0:539.0:10.0,,
Q5,クエストが完了していたら,Q1,,調べたら,-365.0:16.0:539.0:10.0,,
Q6,クエストが完了していたら,Q1,,調べたら,-385.0:16.0:539.0:10.0,,
Q7,クエストが完了していたら,Q1,,調べたら,-405.0:16.0:539.0:10.0,,
Q8,"クエストが完了していたら
クエストが完了していたら
クエストが完了していたら
クエストが完了していたら
クエストが完了していたら
クエストが完了していたら","Q2
Q3
Q4
Q5
Q6
Q7",,自動完了,,,<talk>res\\script\\origin\\talkFinishQuest2.csv
Q9,"クエストが完了していたら
位置","Q8
-285.0:16.0:539.0:10.0",,自動完了,,,<talk>res\\script\\origin\\talkFinishQuest3.csv
Q10,クエストが完了していたら,Q9,,位置,1172.0:16.0:330.0:20.0,,<talk>res\\script\\origin\\talkFinishQuest4.csv
Q11,クエストが完了していたら,Q10,,自動完了,,,<ending>
