PageNo,Image,Message
1,res\\image\\dream01.png,"‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ 
‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ 
‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ "
1,,"‚¢‚¢‚¢‚¢‚¢‚¢‚¢‚¢‚¢‚¢‚¢‚¢‚¢‚¢‚¢‚¢‚¢‚¢‚¢
‚¢‚¢‚¢‚¢‚¢‚¢‚¢‚¢‚¢
‚¢‚¢‚¢‚¢‚¢‚¢‚¢‚¢‚¢‚¢‚¢‚¢"
1,,"‚¤‚¤‚¤‚¤‚¤‚¤‚¤‚¤‚¤‚¤‚¤‚¤‚¤‚¤‚¤‚¤
‚¤‚¤"
1,,‚¦
2,res\\image\\dream02.png,‚¨‚¨‚¨‚¨‚¨‚¨‚¨‚¨‚¨‚¨‚¨
2,,‚©‚©‚©‚©‚©‚©‚©‚©‚©‚©‚©‚©‚©‚©‚©‚©‚©‚©‚©‚©
2,,‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ 
3,res\\image\\dream03.png,‚P‚P‚P‚P‚P‚P‚P‚P‚P‚P‚P‚P‚P‚P‚P‚P‚P‚P‚P
3,,‚Q‚Q‚Q‚Q‚Q‚Q‚Q‚Q‚Q‚Q‚Q‚Q‚Q‚Q‚Q‚Q‚Q‚Q‚Q‚Q‚Q‚Q
3,,‚R‚R‚R‚R‚R‚R‚R‚R‚R‚R‚R‚R‚R‚R‚R‚R‚R‚R‚R‚R‚R‚R‚R‚R
