ID,オプション1,オプション2,オプション3
1,(I did it...),res\\image\\hoshiman00.png,
2,Star Man reached the coconut trees.,res\\image\\hoshiman00.png,
3,(A few nuts have fallen on the ground.),res\\image\\hoshiman00.png,
4,"Because of the typhoon, coconuts were scattered across the ground.",,
5,(So coconut trees are this tall... Picking the ones still on the tree looks hard.),res\\image\\hoshiman00.png,
6,Star Man looked up at the coconut tree.,res\\image\\hoshiman00.png,
7,"(What's the difference between ""coconut"" and ""palm""?
Without the Internet I can't check...
Damn... my arms have no strength...)",res\\image\\hoshiman00.png,
8,"When he smashed a coconut against a rock, liquid leaked out from inside.",,
9,(Just one...),res\\image\\hoshiman00.png,
10,"Star Man drank the inside of the coconut. As the man had said, there was a white edible part inside.",,
11,(I've seen the white part in videos...),res\\image\\hoshiman00.png,
12,He could only carry two coconuts at a time.,,
13,(I need anything bag‑like. Carrying only two at a time is way too inconvenient.),res\\image\\hoshiman00.png,
14,(...!),res\\image\\hoshiman00.png,
15,"When Star Man returned to the coconut trees, he saw a blue spherical object in the distance.",,res\\image\\sphere00.png
16,"(A companion of the cube‑shaped monster...
Given that size... I'd better not approach.)",res\\image\\hoshiman00.png,
17,"The spherical monster was about a meter across, like the cubic one.
It seemed to weigh hundreds of kilograms, though not as much as the cube.",,res\\image\\sphere00.png
18,(How do you find the volume of a sphere with a 50‑cm radius again... I forgot...),res\\image\\hoshiman00.png,
19,(I'll collect two coconuts and go back to him.),res\\image\\hoshiman00.png,
