ID,オプション1,オプション2,オプション3,,
1,「どうも・・・」,res\\image\\hoshiman00.png,,,"・オプション1は表示したいテキスト
・半角英数字は使用禁止
・３行まで
・オプション2は左に表示したい画像
・オプション3は右に表示したい画像"
2,「あ、ありがとう・・・」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
3,「もう一回行ってくる」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
4,「いや、いい。ひとまずはこれで十分だ。助かったよ」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
5,男は笑って見せるが終始、苦痛に耐えている表情だった。,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
6,（痛そうだ・・・）,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
7,「あいつらに襲われて、斜面を転げ落ちることになったんだ。見ただろ？　あのへんな奴ら」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
8,"「ああ。あの・・・外にウジャウジャいる、あのモンスターはなんなんだ？
　あんな生物、聞いたこともない」",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
9,"「俺もわからない・・・。あの生物、ものすごい密度でいるだろ？
　俺、思うんだけど、あれっておかしいんだ」
",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
10,「・・・？」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
11,「シマウマ一匹に必要な草原の面積とかって昔学校で習わなかったか？」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
12,「習ったかもしれない・・・」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
13,「あの密度であの大きさの動物がいたらこの島が砂漠になって絶滅してるはずなんだ」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
14,「・・・」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
15,「この世界の生き物じゃないのかもな。あいつら何も食べてないだろ」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
16,「・・・」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
17,（匂いやみずみずしさがあって生命のように見えたが、動きはラジコンみたいだったな）,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
18,ホシマンは子供たちのことを思い出した。,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
19,「実は子供を二人、山の中で待たせている・・・。ここに連れてきてもいいか」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
20,「え・・・。それは・・・」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
21,「ここから離れた部屋を使う。頼む」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
22,「・・・う、うーん・・・それなら・・・まあいいか」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
23,「じゃあ、ちょっと行ってくる。自分はホシマンだ」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
24,「お、おう。俺はダイケイマン。この島には、あのモンスター以外にも何かいる。気を付けて」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
25,「ああ。ありがとう」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
26,　ホシマンは食べ終わった後、子供たちの方へ向けて出発した。,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
