ID,オプション1,オプション2,オプション3,Unnamed: 4,Unnamed: 5
1,"""I've gathered four coconuts.
With these, it should do until I bring the children.""",res\\image\\hoshiman00.png,,,
2,"""Th-thank you... You saved me.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
3,"The man smiled, but his face throughout was one of enduring pain.",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
4,(That looks painful...),res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
5,"""They attacked me and I tumbled down the slope.
You saw them, right? Those weird ones.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
6,"""Yeah. Those... the ones swarming outside—what are those monsters?
I've never heard of anything like that.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
7,"""I don't know either... You see how densely packed they are?
I think that's not normal.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
8,"""...?""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
9,"""Didn't we learn back in school how much grassland one zebra needs?""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
10,"""Maybe we did...""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
11,"""If animals that big existed at that density,
this island would be a desert and they'd have gone extinct.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
12,"""...""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
13,"""Maybe they're not creatures of this world.
They don't eat anything, do they?""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
14,"""...""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
15,"(They had smell and a fresh, lifelike look,
but their movement was like a remote‑control toy.)",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
16,Star Man remembered the children.,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
17,"""Actually, I'm having two children wait in the mountains...
May I bring them here?""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
18,"""Uh... well...""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
19,"""We'll use a room away from here. Please.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
20,"""... Uh, hmm... if that's the case... I guess it's fine.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
21,"""All right, I'll go get them. I'm Star Man.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
22,"""O-okay. I'm Trapezoid Man. There's something else on this island besides those monsters. Be careful.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
23,"""Yeah. Thanks.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
24,"After eating, Star Man set out toward the children.",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
