ID,オプション1,オプション2,オプション3,BackGround,BGM
1,ホシマンたちは廃墟にやってきた。,,,res\\image\\talkPrecision.png,
2,「お邪魔する。ホシマンだ」,res\\image\\hoshiman00.png,,res\\image\\talkPrecision.png,
3,ホシマンたちはダイケイマンの部屋に歩いて行った。,,,res\\image\\talkPrecision.png,
4,「ごめんください」,res\\image\\shikakuman00.png,,res\\image\\talkPrecision.png,
5,部屋の中から、物音がした。,,,res\\image\\talkPrecision.png,
6,「お、おーう」,,,res\\image\\talkPrecision.png,
7,"部屋をのぞくとダイケイマンが起き上がったところだった。
歯を食いしばっていて痛そうだった。",res\\image\\daikeiman00.png,,res\\image\\talkPrecision.png,
8,「横になってていい」,res\\image\\hoshiman00.png,,res\\image\\talkPrecision.png,
9,「いや、いい。」,res\\image\\daikeiman00.png,,res\\image\\talkPrecision.png,
10,"「・・・。
　この子たちが前に話した子供たちだ」",res\\image\\hoshiman00.png,,res\\image\\talkPrecision.png,
11,「よ、よろしく・・・」,res\\image\\daikeiman00.png,,res\\image\\talkPrecision.png,
12,"「よろしくお願いします」
「よろしくお願いします」",res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,res\\image\\talkPrecision.png,
13,「よかったらどうぞ」,res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,res\\image\\talkPrecision.png,
14,ホシマンたちはココナッツの実をダイケイマンに渡した。,,,res\\image\\talkPrecision.png,
15,「はい、どうもどうも」,res\\image\\daikeiman00.png,,res\\image\\talkPrecision.png,
16,"ホシマンたちは挨拶をすませると別の部屋に移動した。
部屋はゴミと埃まみれだったが、掃除をする体力・気力は残っていなかった。",,,res\\image\\talkPrecision.png,
17,「一度休もう・・・。今日はもう無理だ」,res\\image\\hoshiman00.png,,res\\image\\talkPrecision.png,
18,ホシマンたちは一度、寝ることにした。,,,res\\image\\talkPrecision.png,
