ID,オプション1,オプション2,オプション3,BackGround,BGM
1,(My head hurts... My nose hurts... The soles of my feet hurt...),res\\image\\hoshiman00.png,,res\\image\\talkKaigan2.png,res\\sound\\dying.wav
2,He kept repeating the cycle of sitting down and walking again and again.,res\\image\\hoshiman00.png,,res\\image\\talkKaigan2.png,
3,Star Man sat and looked at his left arm. It had turned dark red and black.,res\\image\\hoshiman00.png,,res\\image\\talkKaigan2.png,
4,(It doesn't hurt as much as it looks.),res\\image\\hoshiman00.png,,res\\image\\talkKaigan2.png,
5,Birdsong went on without a break.,res\\image\\hoshiman00.png,,res\\image\\talkKaigan2.png,
6,"(It'd be nice if I could catch a bird and eat it,
 but there's no way. If I could take eggs from a nest, I would...)",res\\image\\hoshiman00.png,,res\\image\\talkKaigan2.png,
7,(I've never once found a bird's nest in my life...),res\\image\\hoshiman00.png,,res\\image\\talkKaigan2.png,
8,"Star Man looked up, searching for oak trees.",res\\image\\hoshiman00.png,,res\\image\\talkKaigan2.png,
9,"(Probably... You can't pick up acorns year‑round,
 so I'll have to find other foods at some point.
 How long do acorns keep? They seem like they'd store well.)",res\\image\\hoshiman00.png,,res\\image\\talkKaigan2.png,
10,(!!),res\\image\\hoshiman00.png,,res\\image\\talkKaigan2.png,
11,"A heavy impact—<THUD>—hit Star Man.
He looked around in a panic; his body was on fire.",res\\image\\hoshiman00.png,,res\\image\\talkKaigan2.png,
12,"""Ugh...!""",res\\image\\hoshiman00.png,,res\\image\\talkKaigan2.png,
13,"Not knowing what was happening, Star Man rolled around on the ground.
Even rolling and throwing dirt on himself wouldn't put out the flames.
At length the fire went out on its own.",res\\image\\hoshiman00.png,,res\\image\\talkKaigan2.png,
14,"He had suffered severe burns; smoke rose from his body.
Star Man couldn't grasp the situation, but he had a premonition he would not survive.",res\\image\\hoshiman00.png,,res\\image\\talkKaigan2.png,
15,(!?),res\\image\\hoshiman00.png,,res\\image\\talkKaigan2.png,
16,"Looking around, he saw a semi‑transparent, human‑shaped thing slowly drawing near.
...Flames appeared from the ghost's hand, and when it swung, the fire flew toward Star Man.",,res\\image\\ghost00.png,res\\image\\talkKaigan2.png,
17,"""What the...?!""",res\\image\\hoshiman00.png,,res\\image\\talkKaigan2.png,
18,The human‑shaped thing was passing through trees and rocks as it came toward him.,,res\\image\\ghost00.png,res\\image\\talkKaigan2.png,
19,"Star Man tried to flee, but managing a few steps was the best he could do.
His strength gave out and he dropped to his knees.",res\\image\\hoshiman00.png,,res\\image\\talkKaigan2.png,
20,"Looking back, the ghost was slowly approaching.",,res\\image\\ghost00.png,res\\image\\talkKaigan2.png,
21,"The ghost reached out its hand. It looked about to do something,
 but he could no longer even move.
Flames appeared from the ghost's hand and flew toward Star Man with a flick.",,res\\image\\ghost00.png,res\\image\\talkKaigan2.png,
22,"Unable to dodge, Star Man was burned all over by the flames.",res\\image\\hoshiman00.png,,res\\image\\talkKaigan2.png,
23,Star Man collapsed and couldn't move a millimeter.,res\\image\\hoshiman00.png,,res\\image\\talkKaigan2.png,
24,(So this is the end...),res\\image\\hoshiman00.png,,res\\image\\talkKaigan2.png,
25,"He closed his eyes.
In the darkness, he could hear only his own heartbeat.",res\\image\\hoshiman00.png,,res\\image\\talkKaigan2.png,
26,"Events strongly imprinted in his past
floated up in Star Man's mind.",res\\image\\hoshiman00.png,,res\\image\\talkKaigan2.png,
27,Not a single good thing came to mind.,res\\image\\hoshiman00.png,,res\\image\\talkKaigan2.png,
28,"(Me... I failed at everything...
In the end, I never became anything...)",res\\image\\hoshiman00.png,,res\\image\\talkKaigan2.png,
29,—,,,res\\image\\talkKaigan2.png,
