ID,オプション1,オプション2,オプション3,background,BGM
1,Star Man told Trapezoid Man and the others about the experimental subject he met today.,res\\image\\hoshiman00.png,,res\\image\\talkPrecision.png,res\\sound\\dying.wav
2,"""Next time I want to give them coconuts as thanks...""",res\\image\\hoshiman00.png,res\\image\\shikakuman00.png,res\\image\\talkPrecision.png,
3,said Square Man.,res\\image\\hoshiman00.png,res\\image\\shikakuman00.png,res\\image\\talkPrecision.png,
4,"""Hmm...""",res\\image\\hoshiman00.png,res\\image\\shikakuman00.png,res\\image\\talkPrecision.png,
5,(Maybe it's okay to bring them here.),res\\image\\hoshiman00.png,res\\image\\shikakuman00.png,res\\image\\talkPrecision.png,
6,<SCRUNCH SCRUNCH SCRUNCH>,,,res\\image\\talkPrecision.png,
7,Footsteps came from outside.,,,res\\image\\talkPrecision.png,
8,"Star Man, Triangle Man, and Square Man looked toward the entrance of the ruins.
The experimental subject they'd met at noon was standing there.",res\\image\\hoshiman00.png,res\\image\\shikakuman00.png,res\\image\\talkPrecision.png,
9,(...!),res\\image\\hoshiman00.png,res\\image\\shikakuman00.png,res\\image\\talkPrecision.png,
10,In the subject's hand was a knife carved from stone.,res\\image\\vsco00.png,,res\\image\\talkPrecision.png,
11,"The subject said nothing, but their face turned combative.
Gripping the knife in both hands, they charged.",res\\image\\vsco00.png,,res\\image\\talkPrecision.png,
12,(Damn... I was tricked...!),res\\image\\hoshiman00.png,,res\\image\\talkPrecision.png,
13,"Fortunately the subject was only about 120 cm tall,
small enough that he might manage.",res\\image\\vsco00.png,,res\\image\\talkPrecision.png,
14,<THUD>,res\\image\\hoshiman00.png,res\\image\\vsco00.png,res\\image\\talkPrecision.png,
15,"Star Man front‑kicked to create distance.
The subject was knocked backward.",res\\image\\hoshiman00.png,res\\image\\vsco00.png,res\\image\\talkPrecision.png,
16,"""Bring me some kind of weapon!""",res\\image\\hoshiman00.png,,res\\image\\talkPrecision.png,
17,Star Man shouted to the kids.,res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,res\\image\\talkPrecision.png,
18,"""...""",res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,res\\image\\talkPrecision.png,
19,The kids froze and couldn't move.,res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,res\\image\\talkPrecision.png,
20,"""Ah.""",res\\image\\shikakuman00.png,,res\\image\\talkPrecision.png,
21,Square Man pointed at the entrance to the ruins.,res\\image\\shikakuman00.png,,res\\image\\talkPrecision.png,
22,(!?),res\\image\\hoshiman00.png,,res\\image\\talkPrecision.png,
23,Another experimental subject was at the entrance.,res\\image\\vim00.png,,res\\image\\talkPrecision.png,
24,The one crawling on the ground was trying to get up.,,res\\image\\vsco00.png,res\\image\\talkPrecision.png,
25,"Star Man was worried about the other subject at the entrance,
but he had to deal with the knife‑wielding one in front of him.",res\\image\\hoshiman00.png,,res\\image\\talkPrecision.png,
26,"""Drop the knife.""",res\\image\\hoshiman00.png,res\\image\\vsco00.png,res\\image\\talkPrecision.png,
27,"The subject kept coming without stopping, knife in hand.",res\\image\\hoshiman00.png,res\\image\\vsco00.png,res\\image\\talkPrecision.png,
28,"Star Man front‑kicked again, but the subject grabbed his leg.",res\\image\\hoshiman00.png,res\\image\\vsco00.png,res\\image\\talkPrecision.png,
29,The subject raised an arm to stab Star Man's leg with the knife.,res\\image\\hoshiman00.png,res\\image\\vsco00.png,res\\image\\talkPrecision.png,
30,"""!!""",res\\image\\hoshiman00.png,res\\image\\vsco00.png,res\\image\\talkPrecision.png,
31,"Star Man reflexively pulled back his leg; the knife grazed him.
Because it wasn't metal but a handmade knife carved from stone,
the wound wasn't too bad. Blood dripped from his ankle.",res\\image\\hoshiman00.png,res\\image\\vsco00.png,res\\image\\talkPrecision.png,
32,Star Man grabbed the subject's arm and tried to wrench the knife away.,res\\image\\hoshiman00.png,res\\image\\vsco00.png,res\\image\\talkPrecision.png,
33,"""Guh...""",res\\image\\hoshiman00.png,res\\image\\vsco00.png,res\\image\\talkPrecision.png,
34,The subject clenched the knife to keep it from being taken.,res\\image\\hoshiman00.png,res\\image\\vsco00.png,res\\image\\talkPrecision.png,
35,"Star Man seized the subject, lifted them, and slammed them to the ground.",res\\image\\hoshiman00.png,res\\image\\vsco00.png,res\\image\\talkPrecision.png,
36,<SLAM>,,,res\\image\\talkPrecision.png,
37,"The subject smashed their back against the ground.
Even so, they still held the knife.",res\\image\\hoshiman00.png,res\\image\\vsco00.png,res\\image\\talkPrecision.png,
38,Star Man quickly snatched up the knife and leveled it at the subject.,res\\image\\hoshiman00.png,res\\image\\vsco00.png,res\\image\\talkPrecision.png,
39,(...!),res\\image\\hoshiman00.png,res\\image\\vsco00.png,res\\image\\talkPrecision.png,
40,"Realizing with a start that he was pointing a blade at a person,
Star Man immediately tossed the knife toward the kids.",res\\image\\hoshiman00.png,,res\\image\\talkPrecision.png,
41,"""Hold this!""",res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,res\\image\\talkPrecision.png,
42,The kids hurried to pick up the knife.,res\\image\\shikakuman00.png,res\\image\\sankakuman00.png,res\\image\\talkPrecision.png,
43,The subject at the entrance shouted.,res\\image\\vim00.png,,res\\image\\talkPrecision.png,
44,"""Wait!""",res\\image\\vim00.png,,res\\image\\talkPrecision.png,
45,(...),res\\image\\hoshiman00.png,,res\\image\\talkPrecision.png,
46,Star Man stepped back.,res\\image\\hoshiman00.png,,res\\image\\talkPrecision.png,
47,The one at the entrance walked over and held the other subject close.,res\\image\\vim00.png,res\\image\\vsco00.png,res\\image\\talkPrecision.png,
48,"""That's enough, okay? Let's go home.""",res\\image\\vim00.png,res\\image\\vsco00.png,res\\image\\talkPrecision.png,
49,"""...""",res\\image\\vim00.png,res\\image\\vsco00.png,res\\image\\talkPrecision.png,
