ID,オプション1,オプション2,オプション3,
1,ホシマンはバーチャルベックス港跡に向かっていた。,res\\image\\hoshiman00.png,,res\\image\\talkMinatoato.png
2,"距離的に日帰りは難しく、野宿が必須だったため、
そのための荷物を持ってきていた。",res\\image\\hoshiman00.png,,res\\image\\talkMinatoato.png
3,遠くにバーチャルベックス港跡が見えた。港跡に人の姿はなかった。,res\\image\\hoshiman00.png,,res\\image\\talkMinatoato.png
4,（出来ればネスという人物に会いたくない）,res\\image\\hoshiman00.png,,res\\image\\talkMinatoato.png
5,ホシマンは用心しながらバーチャルベックスに入っていった。,res\\image\\hoshiman00.png,,res\\image\\talkMinatoato.png
6,ホシマンは民家の倉庫で丸い球を見つけた。,res\\image\\hoshiman00.png,,res\\image\\talkMinatoato.png
7,"（なんていう名前なのかわからないが、漁師が漁でよく使うやつだ。
　これをつければ、イカダの耐久度が上げられそうだ）",res\\image\\hoshiman00.png,,res\\image\\talkMinatoato.png
8,ホシマンはブイを手に取った。,res\\image\\hoshiman00.png,,res\\image\\talkMinatoato.png
9,（一度に持っていける数には限りがある・・・）,res\\image\\hoshiman00.png,,res\\image\\talkMinatoato.png
10,バーチャルベックス港跡は無人であったが人のいる形跡はあった。,res\\image\\hoshiman00.png,,res\\image\\talkMinatoato.png
11,＜カタ＞,res\\image\\hoshiman00.png,,res\\image\\talkMinatoato.png
12,どこかで物音がした。,res\\image\\hoshiman00.png,,res\\image\\talkMinatoato.png
13,恐る恐る、そちらの方に行くと人が隠れているようだった。,res\\image\\hoshiman00.png,,res\\image\\talkMinatoato.png
14,「誰かいるのか・・・？」,res\\image\\hoshiman00.png,,res\\image\\talkMinatoato.png
15,「・・・」,res\\image\\hoshiman00.png,,res\\image\\talkMinatoato.png
16,返事はなかった。,res\\image\\hoshiman00.png,,res\\image\\talkMinatoato.png
17,（！）,res\\image\\hoshiman00.png,,res\\image\\talkMinatoato.png
18,「ォオオオオォオオオオ・・・」,res\\image\\hoshiman00.png,,res\\image\\talkMinatoato.png
19,別の方角から亡霊が現れた。亡霊は猛烈に太っていた。,res\\image\\hoshiman00.png,res\\image\\noble00.png,res\\image\\talkMinatoato.png
20,（・・・）,res\\image\\hoshiman00.png,,res\\image\\talkMinatoato.png
21,（ダイケイマンが言っていたノーブルの特徴と一致している・・・）,res\\image\\hoshiman00.png,,res\\image\\talkMinatoato.png
22,亡霊は浮遊しながらこちらに向かってきた。,res\\image\\hoshiman00.png,res\\image\\noble00.png,res\\image\\talkMinatoato.png
23,"（戦わずに逃げるか・・・？
　しかし船の材料を回収しに何度もここには来たい・・・）",res\\image\\hoshiman00.png,res\\image\\noble00.png,res\\image\\talkMinatoato.png
24,"以前戦った亡霊は明確に攻撃の意図があった。
しかしこの亡霊は煩悩的に近づいてきているだけのようだった。",res\\image\\hoshiman00.png,res\\image\\noble00.png,res\\image\\talkMinatoato.png
25,（魔法攻撃をしてくる気配がない・・・）,res\\image\\hoshiman00.png,res\\image\\noble00.png,res\\image\\talkMinatoato.png
26,亡霊の動きはのろく、歩いていれば追いつかれることはなかった。,res\\image\\hoshiman00.png,res\\image\\noble00.png,res\\image\\talkMinatoato.png
27,＜ボゥ＞,res\\image\\hoshiman00.png,res\\image\\noble00.png,res\\image\\talkMinatoato.png
28,"ホシマンは黒い炎を出現させ敵の方に投げつけた。
亡霊は立ち止まり炎の方を見ていた。
やがて炎と亡霊が接触すると、亡霊は燃え上がった。",res\\image\\hoshiman00.png,res\\image\\noble00.png,res\\image\\talkMinatoato.png
29,亡霊はもがいていて、苦しんでいるようだった。,res\\image\\hoshiman00.png,res\\image\\noble00.png,res\\image\\talkMinatoato.png
30,ホシマンは様子を見ていたが何も起きずに亡霊はそのまま燃え尽きて消滅した。,res\\image\\hoshiman00.png,,res\\image\\talkMinatoato.png
31,「あーあ・・・殺しちゃったよ（笑）」,res\\image\\hoshiman00.png,,res\\image\\talkMinatoato.png
32,"ニヤニヤと笑う男がいた。ガリガリの男だった。
脚はガタガタと震えていた。",res\\image\\hoshiman00.png,res\\image\\nes00.png,res\\image\\talkMinatoato.png
