ID,オプション1,オプション2,オプション3,Unnamed: 4
1,Star Man came to the See Poroporo Moss Garden to meet Vim.,res\\image\\hoshiman00.png,,res\\image\\talkKokeniwa.png
2,The moss garden wasn't very large; with a short walk he could search the whole area.,res\\image\\hoshiman00.png,,res\\image\\talkKokeniwa.png
3,(There.),res\\image\\hoshiman00.png,,res\\image\\talkKokeniwa.png
4,"Vim was pure white and stood out in the forest, so he was easy to find.",res\\image\\hoshiman00.png,,res\\image\\talkKokeniwa.png
5,"Star Man walked over toward Vim.
Vim remained still, staring this way.",res\\image\\hoshiman00.png,,res\\image\\talkKokeniwa.png
6,"""Hello... Long time no see.""",res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
7,"""Long time no see.""",res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
8,"""I came to ask about the experimental subject who was with you before—how he's doing.""",res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
9,"""...""",res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
10,"""He died.""",res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
11,"""...!""",res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
12,"""Uh... wha—?""",res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
13,"""...""",res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
14,"""Is that true?""",res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
15,"""Yes.""",res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
16,"""Do you know why or how he died?""",res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
17,"""...""",res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
18,"""Did someone kill him?""",res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
19,"""He was killed by a man at a place called Gip Lighthouse.""
""When we went there, he was killed.""",res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
20,"""...I see.""",res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
21,"""...""",res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
22,"""I see... That man with the knife.""",res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
23,"""...""",res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
24,"""I know the man at Gip Lighthouse too.
The moment our eyes met, he tried to kill me with a blade.""",res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
25,"""...""",res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
26,"""I'm sorry about your friend...""",res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
27,"""Yes.""",res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
28,"""For now, I'll let my companions know.""",res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
29,"""Yes.""",res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
30,"""...""",res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
31,"""Do you have a name?""",res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
32,"""No.""",res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
33,"""We call you Vim. It's the name of a character the children like.""",res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
34,"""...""",res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
35,Star Man returned to Precision.,res\\image\\hoshiman00.png,,res\\image\\talkKokeniwa.png
