ID,オプション1,オプション2,オプション3,background,bgm
1,"""I met Nes, but he said he didn't know.
 There was nothing around him
 that looked like a clue about Square Man.""",res\\image\\hoshiman00.png,,res\\image\\talkKaigan.png,
2,Star Man told Trapezoid Man and Triangle Man.,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkKaigan.png,
3,"""...""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkKaigan.png,
4,"""So that leaves Gain, or a monster...?""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkKaigan.png,
5,"""Getting attacked by a monster seems more likely.
 I don't see why Gain would kidnap Square Man,
 and if he did, he'd come blackmail us with a hostage.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkKaigan.png,
6,"""Monsters are everywhere on this island...""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkKaigan.png,
7,"""""""...""""""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkKaigan.png,
8,A week had already passed since Square Man went missing.,,,res\\image\\talkKaigan.png,
9,———,,,res\\image\\talkKaigan.png,
10,Another week later.,,,res\\image\\talkKaigan.png,res\\sound\\toudai.wav
11,Two weeks since Square Man disappeared. Everyone was starting to give up.,,,res\\image\\talkKaigan.png,
12,"One day at noon, Gain showed up.
That day, Star Man hadn't gone far and was at the coastal cave.
Gain strode quickly over to Star Man and grabbed his shoulder hard.",,res\\image\\gain00.png,res\\image\\talkKaigan.png,
13,"""Hey! You little...""",,res\\image\\gain00.png,res\\image\\talkKaigan.png,
14,"Star Man tried to slap his hand away, but Gain grabbed Star Man by the neck.",res\\image\\hoshiman00.png,res\\image\\gain00.png,res\\image\\talkKaigan.png,
15,"""You pulled a fast one on me... I'm gonna smash your face in, you bastard!!""",res\\image\\hoshiman00.png,res\\image\\gain00.png,res\\image\\talkKaigan.png,
16,Gain punched Star Man in the face.,res\\image\\hoshiman00.png,res\\image\\gain00.png,res\\image\\talkKaigan.png,
17,"Star Man staggered and fell.
Gain rushed up to the fallen Star Man and stomped his head over and over.",res\\image\\hoshiman00.png,res\\image\\gain00.png,res\\image\\talkKaigan.png,
18,Star Man curled up and covered his head with his hands.,res\\image\\hoshiman00.png,res\\image\\gain00.png,res\\image\\talkKaigan.png,
19,"""...!""",res\\image\\hoshiman00.png,res\\image\\gain00.png,res\\image\\talkKaigan.png,
20,A searing pain shot through Star Man's back.,res\\image\\hoshiman00.png,res\\image\\gain00.png,res\\image\\talkKaigan.png,
21,"Grinning, Gain poked Star Man's back and side with a knife,
intentionally stabbing nearly a centimeter deep.",res\\image\\hoshiman00.png,res\\image\\gain00.png,res\\image\\talkKaigan.png,
22,———,res\\image\\hoshiman00.png,res\\image\\gain00.png,res\\image\\talkKaigan.png,
23,(...agh),res\\image\\hoshiman00.png,res\\image\\gain00.png,res\\image\\talkKaigan.png,
24,(So I have to kill him after all...),res\\image\\hoshiman00.png,res\\image\\gain00.png,res\\image\\talkKaigan.png,
25,"Star Man grabbed Gain's ankle.
As Star Man braced himself to freeze the leg, there was a dull thud.",res\\image\\hoshiman00.png,res\\image\\gain00.png,res\\image\\talkKaigan.png,
26,An arrow had struck Gain's arm.,,res\\image\\gain00.png,res\\image\\talkKaigan.png,
27,"Looking around, he saw Trapezoid Man with a bow drawn.",res\\image\\daikeiman00.png,res\\image\\gain00.png,res\\image\\talkKaigan.png,
28,"""You little...!""",res\\image\\daikeiman00.png,res\\image\\gain00.png,res\\image\\talkKaigan.png,
29,"""How did you find this place?""",res\\image\\daikeiman00.png,res\\image\\gain00.png,res\\image\\talkKaigan.png,
30,Trapezoid Man asked Gain.,res\\image\\daikeiman00.png,res\\image\\gain00.png,res\\image\\talkKaigan.png,
31,"""Hah? Why the hell should I have to tell you that!""",res\\image\\daikeiman00.png,res\\image\\gain00.png,res\\image\\talkKaigan.png,
32,"""...""",res\\image\\daikeiman00.png,res\\image\\gain00.png,res\\image\\talkKaigan.png,
33,"""Ah.""",res\\image\\daikeiman00.png,res\\image\\gain00.png,res\\image\\talkKaigan.png,
34,Gain seemed to remember something and began grinning.,res\\image\\daikeiman00.png,res\\image\\gain00.png,res\\image\\talkKaigan.png,
35,"""That square-headed brat told me.""",res\\image\\daikeiman00.png,res\\image\\gain00.png,res\\image\\talkKaigan.png,
36,"""!!""",res\\image\\daikeiman00.png,res\\image\\gain00.png,res\\image\\talkKaigan.png,
37,Star Man seized Gain's arm.,res\\image\\hoshiman00.png,res\\image\\gain00.png,res\\image\\talkKaigan.png,
38,"""Where is Square Man? Talk.""",res\\image\\hoshiman00.png,res\\image\\gain00.png,res\\image\\talkKaigan.png,
39,Gain's arm started to burn.,res\\image\\hoshiman00.png,res\\image\\gain00.png,res\\image\\talkKaigan.png,
40,"""Wha—...!""",res\\image\\hoshiman00.png,res\\image\\gain00.png,res\\image\\talkKaigan.png,
41,"Gain thrashed about; when Star Man let go, he backed away.",res\\image\\hoshiman00.png,res\\image\\gain00.png,res\\image\\talkKaigan.png,
42,"""I don't know...! Nes told me!""",res\\image\\hoshiman00.png,res\\image\\gain00.png,res\\image\\talkKaigan.png,
43,"""Nes said he didn't know anything about Square Man.""",res\\image\\hoshiman00.png,res\\image\\gain00.png,res\\image\\talkKaigan.png,
44,"""...!""",res\\image\\hoshiman00.png,res\\image\\gain00.png,res\\image\\talkKaigan.png,
45,"""Tch, idiot!",res\\image\\hoshiman00.png,res\\image\\gain00.png,res\\image\\talkKaigan.png,
46,"""He does nothing but lie!""",res\\image\\hoshiman00.png,res\\image\\gain00.png,res\\image\\talkKaigan.png,
47,Gain tried to bolt. Star Man gave chase.,res\\image\\hoshiman00.png,res\\image\\gain00.png,res\\image\\talkKaigan.png,
48,"(If I let him escape, I'll lose the lead on Square Man.
I don't care if I get arrested and thrown in prison anymore!)",res\\image\\hoshiman00.png,res\\image\\gain00.png,res\\image\\talkKaigan.png,
49,"As Star Man took off running,
a ghost appeared from somewhere and drifted toward Triangle Man and Trapezoid Man.",,res\\image\\shikakuman01.png,res\\image\\talkKaigan.png,
50,(Damn it... now of all times!),res\\image\\hoshiman00.png,res\\image\\shikakuman01.png,res\\image\\talkKaigan.png,
51,(Ghosts can only move slowly...),res\\image\\hoshiman00.png,res\\image\\shikakuman01.png,res\\image\\talkKaigan.png,
52,"(I'd like to deal with it later, but then Trapezoid Man...)",res\\image\\hoshiman00.png,res\\image\\shikakuman01.png,res\\image\\talkKaigan.png,
53,"""!!""",res\\image\\hoshiman00.png,res\\image\\shikakuman01.png,res\\image\\talkKaigan.png,
54,Star Man stopped in his tracks.,res\\image\\hoshiman00.png,res\\image\\shikakuman01.png,res\\image\\talkKaigan.png,
55,"""No way...""",res\\image\\hoshiman00.png,res\\image\\shikakuman01.png,res\\image\\talkKaigan.png,
56,The ghost was Square Man.,res\\image\\hoshiman00.png,res\\image\\shikakuman01.png,res\\image\\talkKaigan.png,
57,"Square Man's ghost, expressionless, approached Triangle Man.",res\\image\\sankakuman00.png,res\\image\\shikakuman01.png,res\\image\\talkKaigan.png,
58,"Triangle Man recoiled, but even when he touched Square Man nothing happened.
Square Man sat down next to him.
Triangle Man watched and sat as well; Square Man began to relax by his side.",res\\image\\sankakuman00.png,res\\image\\shikakuman01.png,res\\image\\talkKaigan.png,
59,Star Man collapsed to his knees.,res\\image\\hoshiman00.png,,res\\image\\talkKaigan.png,
60,———,,,res\\image\\talkKaigan.png,
61,"The three spent some time with Square Man.
He just wandered near Triangle Man and did nothing else.",res\\image\\sankakuman00.png,res\\image\\shikakuman01.png,res\\image\\talkKaigan.png,
62,"""Should we just... live together like this?""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkKaigan.png,
63,"""Uh... I'm fine with it, I guess...""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkKaigan.png,
64,"(Is that really okay...? Well, that kind of thing exists in manga...)",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkKaigan.png,
65,"When Star Man looked at Square Man, he saw him staring toward the forest.",res\\image\\hoshiman00.png,res\\image\\shikakuman01.png,res\\image\\talkKaigan.png,
66,(Huh?),res\\image\\hoshiman00.png,res\\image\\shikakuman01.png,res\\image\\talkKaigan.png,
67,Square Man backed away.,res\\image\\hoshiman00.png,res\\image\\shikakuman01.png,res\\image\\talkKaigan.png,
68,"Star Man took his weapon and walked toward the forest.
As he went, he heard leaves rustling.
It sounded like something fleeing, so he ran to check.",res\\image\\hoshiman00.png,,res\\image\\talkKaigan.png,
69,There was a monster there—a hemispherical one.,res\\image\\hoshiman00.png,,res\\image\\talkKaigan.png,
70,"(No... that's not it. This one's unrelated.
The sound earlier ran deeper into the forest...
I'm curious, but I'll take this one out while I'm here.)",res\\image\\hoshiman00.png,,res\\image\\talkKaigan.png,
71,"When Star Man tried to keep his distance and fight with a bow,
Square Man came over.",res\\image\\hoshiman00.png,res\\image\\shikakuman01.png,res\\image\\talkKaigan.png,
72,"""What's wrong? What's wrong?""",res\\image\\hoshiman00.png,res\\image\\shikakuman01.png,res\\image\\talkKaigan.png,
73,"Triangle Man followed.
Square Man passed by Star Man and walked toward the enemy.",res\\image\\hoshiman00.png,res\\image\\shikakuman01.png,res\\image\\talkKaigan.png,
74,(...?),res\\image\\hoshiman00.png,res\\image\\shikakuman01.png,res\\image\\talkKaigan.png,
75,"As Square Man walked toward the enemy, he vanished.",res\\image\\hoshiman00.png,,res\\image\\talkKaigan.png,
76,"""...""",res\\image\\hoshiman00.png,,res\\image\\talkKaigan.png,
77,"The monster writhed in agony,
then gradually turned red and transformed into a humanoid.",res\\image\\hoshiman00.png,res\\image\\shikakuman02.png,res\\image\\talkKaigan.png,
