ID,オプション1,オプション2,オプション3,background,bgm
1,"ホシマンが海岸洞窟へ帰るとシカクマンが
うずくまっていて、うめいていた。
ほかの二人は座ってシカクマンを見ていた。",res\\image\\sankakuman00.png,res\\image\\shikakuman02.png,res\\image\\talkKaigan.png,res\\sound\\forest.wav
2,「どうした？」,res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,res\\image\\talkKaigan.png,
3,「赤い実を見せたらうずくまってしまった。毒抜きしてある赤い実だ」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkKaigan.png,
4,「へぇ・・・」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkKaigan.png,
5,「・・・」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkKaigan.png,
6,"「亡霊には生前の未練でワードブレスを奪おうとしてくる、
　というのがあるが・・・」",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkKaigan.png,
7,「ふーん。じゃあ赤い実で死にそうになったことがあったのかな」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkKaigan.png,
8,「見たことないけど、実はあったのかもな」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkKaigan.png,
9,「ははは、気づかなかったよ。ポーカーフェイスだなぁ」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkKaigan.png,
10,「赤い実は見えない場所に隠しておこう」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkKaigan.png,
11,ホシマンたちは赤い実を見えないところに置くことにした。,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkKaigan.png,
12,その日の夜。,,,res\\image\\talkKaigan.png,
13,ホシマンたちはせめてもの施しとしてシカクマンに食事を沢山用意した。,res\\image\\hoshiman00.png,res\\image\\shikakuman02.png,res\\image\\talkKaigan.png,
14,"夏が近づくにつれ、プロリタン島では
マンゴーやパパイヤなどが収穫できるようになっていた。",res\\image\\hoshiman00.png,res\\image\\shikakuman02.png,res\\image\\talkKaigan.png,
15,サンカクマンがシカクマンに自分の弓矢を見せていた。,res\\image\\sankakuman00.png,res\\image\\shikakuman02.png,res\\image\\talkKaigan.png,
16,「わかる？　これ。弓矢なんだけど」,res\\image\\sankakuman00.png,res\\image\\shikakuman02.png,res\\image\\talkKaigan.png,
17,シカクマンは興味ありげに見ていた。,res\\image\\sankakuman00.png,res\\image\\shikakuman02.png,res\\image\\talkKaigan.png,
18,「こうやって使うんだよ」,res\\image\\sankakuman00.png,res\\image\\shikakuman02.png,res\\image\\talkKaigan.png,
19,サンカクマンは矢を１０メートルほど先にある的に向かって放った。,res\\image\\sankakuman00.png,res\\image\\shikakuman02.png,res\\image\\talkKaigan.png,
20,＜カン＞,res\\image\\sankakuman00.png,res\\image\\shikakuman02.png,res\\image\\talkKaigan.png,
21,的に当たると乾いた音がした。,res\\image\\sankakuman00.png,res\\image\\shikakuman02.png,res\\image\\talkKaigan.png,
22,"サンカクマンがシカクマンに用心しつつ渡すと
シカクマンも真似して矢を的に放った。",res\\image\\sankakuman00.png,res\\image\\shikakuman02.png,res\\image\\talkKaigan.png,
23,＜カン＞,res\\image\\sankakuman00.png,res\\image\\shikakuman02.png,res\\image\\talkKaigan.png,
24,"「自転車みたいに、どうやって操作してるか
　自分でもわからないような動きは出来るんだろう」",res\\image\\hoshiman00.png,res\\image\\shikakuman02.png,res\\image\\talkKaigan.png,
25,ホシマンが言った。,res\\image\\hoshiman00.png,res\\image\\shikakuman02.png,res\\image\\talkKaigan.png,
26,その日の夜、４人は弓矢で的あてをして遊んだ。,res\\image\\hoshiman00.png,res\\image\\shikakuman02.png,res\\image\\talkKaigan.png,
27,"翌朝、シカクマンの咳き込む声で目を覚ました。
苦しすぎて起き上がれないようだった。",res\\image\\hoshiman00.png,res\\image\\shikakuman02.png,res\\image\\talkKaigan.png,
