ID,オプション1,オプション2,オプション3,background
2,"Star Man and the others kept practicing, testing, and improving with the raft.",,,res\\image\\talkKaigan.png
3,"At first they could row with oars for only about an hour,
but after a month they could row for several hours with breaks.",,,res\\image\\talkKaigan.png
4,They also tested how far they could go in an hour.,,,res\\image\\talkKaigan.png
5,"Their cruising speed was roughly 2 km/h,
and it turned out they couldn't make it unless wind and current were favorable.",,,res\\image\\talkKaigan.png
6,"That day, Star Man was loading the raft for departure.",res\\image\\hoshiman00.png,,res\\image\\talkKaigan.png
7,"When he finished loading, he looked back at the other two.",res\\image\\hoshiman00.png,,res\\image\\talkKaigan.png
8,"""Well then... I'm going to give it a try.""",res\\image\\daikeiman00.png,res\\image\\sankakuman00.png,res\\image\\talkKaigan.png
9,"""...Yeah. Don't die.""",res\\image\\daikeiman00.png,res\\image\\sankakuman00.png,res\\image\\talkKaigan.png
10,"""...""",res\\image\\daikeiman00.png,res\\image\\sankakuman00.png,res\\image\\talkKaigan.png
11,None of the three were smiling.,res\\image\\daikeiman00.png,res\\image\\sankakuman00.png,res\\image\\talkKaigan.png
12,———,,,res\\image\\talkKaigan.png
13,"A black vortex appeared, and the horned man emerged.",res\\image\\xeoff00.png,,res\\image\\talkKaigan.png
14,"""Ah, uh, hello.""",res\\image\\xeoff00.png,res\\image\\hoshiman00.png,res\\image\\talkKaigan.png
15,They all averted their gaze.,res\\image\\daikeiman00.png,res\\image\\sankakuman00.png,res\\image\\talkKaigan.png
16,"""You're having fun.""",res\\image\\xeoff00.png,res\\image\\hoshiman00.png,res\\image\\talkKaigan.png
17,"""Y-yes...""",res\\image\\xeoff00.png,res\\image\\hoshiman00.png,res\\image\\talkKaigan.png
18,…,res\\image\\xeoff00.png,res\\image\\hoshiman00.png,res\\image\\talkKaigan.png
19,"""If you leave this island and re-enter, the contract will disappear.""",res\\image\\xeoff00.png,res\\image\\hoshiman00.png,res\\image\\talkKaigan.png
20,"""…""",res\\image\\xeoff00.png,res\\image\\hoshiman00.png,res\\image\\talkKaigan.png
21,"""You mean if I leave once and come back, the contract will be gone?""",res\\image\\xeoff00.png,res\\image\\hoshiman00.png,res\\image\\talkKaigan.png
22,"""…""",res\\image\\xeoff00.png,res\\image\\hoshiman00.png,res\\image\\talkKaigan.png
23,"""That's not correct—it's not that the contract disappears.
The contract remains, but the procedures can no longer be carried out.""",res\\image\\xeoff00.png,res\\image\\hoshiman00.png,res\\image\\talkKaigan.png
24,"""…""",res\\image\\xeoff00.png,res\\image\\hoshiman00.png,res\\image\\talkKaigan.png
25,"(By procedures, he means the collection of my life.)",res\\image\\xeoff00.png,res\\image\\hoshiman00.png,res\\image\\talkKaigan.png
26,"""If you succeed in escaping this island, I'll void your contract.""",res\\image\\xeoff00.png,res\\image\\hoshiman00.png,res\\image\\talkKaigan.png
27,"""...!""",res\\image\\xeoff00.png,res\\image\\hoshiman00.png,res\\image\\talkKaigan.png
28,"""Well, just because. Losing one contract isn't much of a loss to me.""",res\\image\\xeoff00.png,res\\image\\hoshiman00.png,res\\image\\talkKaigan.png
29,"""Besides, it would be troublesome if you used magic in the outside world and became famous.""",res\\image\\xeoff00.png,res\\image\\hoshiman00.png,res\\image\\talkKaigan.png
30,"""…""",res\\image\\xeoff00.png,res\\image\\hoshiman00.png,res\\image\\talkKaigan.png
31,"""Thank you.""",res\\image\\xeoff00.png,res\\image\\hoshiman00.png,res\\image\\talkKaigan.png
32,"""Thank you, Mr. Horns!""",res\\image\\xeoff00.png,res\\image\\sankakuman00.png,res\\image\\talkKaigan.png
33,Triangle Man said.,res\\image\\xeoff00.png,res\\image\\sankakuman00.png,res\\image\\talkKaigan.png
34,"""…""",res\\image\\xeoff00.png,res\\image\\sankakuman00.png,res\\image\\talkKaigan.png
35,"""Well then, I'll be taking my leave.""",res\\image\\xeoff00.png,res\\image\\sankakuman00.png,res\\image\\talkKaigan.png
36,The horned man returned into the black vortex.,,res\\image\\sankakuman00.png,res\\image\\talkKaigan.png
