ID,完成品,完成品の数,完成品の強化値,素材１,素材１の必要数,素材１の強化値,素材２,素材２の必要数,素材２の強化値,素材３,素材３の必要数,素材３の強化値,素材４,素材４の必要数,素材４の強化値,素材５,素材５の必要数,素材５の強化値
1,イカダ,1,,細い木の幹,100,,ツタ,100,,,,,,,,,,
2,イカダ,1,1,細い木の幹,100,,ツタ,100,,,,,,,,,,
3,イカダ,1,2,細い木の幹,100,,ツタ,100,,,,,,,,,,
4,イカダ,1,3,細い木の幹,100,,ツタ,100,,ブイ,10,,,,,,,
5,イカダ,1,4,細い木の幹,100,,ツタ,100,,ブイ,10,,,,,,,
6,イカダ,1,5,細い木の幹,100,,ツタ,100,,ブイ,10,,,,,,,
7,イカダ,1,6,細い木の幹,100,,ツタ,100,,ブイ,10,,,,,,,
8,イカダ,1,7,細い木の幹,100,,ツタ,100,,ブイ,10,,,,,,,
9,イカダ,1,8,細い木の幹,100,,ツタ,100,,ブイ,10,,,,,,,
10,イカダ,1,9,細い木の幹,100,,ツタ,100,,ブイ,10,,,,,,,
11,イカダ,1,10,細い木の幹,100,,ツタ,100,,ブイ,10,,,,,,,
12,毒抜きした赤い実,1,,赤い実,10,,袋,1,,,,,,,,,,
13,袋,1,,ツタ,10,,,,,,,,,,,,,
14,袋,1,1,ツタ,10,,,,,,,,,,,,,
15,袋,1,2,ツタ,10,,,,,,,,,,,,,
16,袋,1,3,ツタ,10,,,,,,,,,,,,,
17,袋,1,4,ツタ,10,,,,,,,,,,,,,
18,袋,1,5,ツタ,10,,,,,,,,,,,,,
19,木の棒,1,,細い木の幹,1,,,,,,,,,,,,,
20,木の棒,1,1,細い木の幹,1,,,,,,,,,,,,,
21,木の棒,1,2,細い木の幹,1,,,,,,,,,,,,,
22,木の棒,1,3,細い木の幹,1,,,,,,,,,,,,,
23,木の棒,1,4,細い木の幹,1,,,,,,,,,,,,,
24,木の棒,1,5,細い木の幹,1,,,,,,,,,,,,,
25,石槍,1,,細い木の幹,1,,いい形の石（槍）,1,,,,,,,,,,
26,石槍,1,1,細い木の幹,1,,いい形の石（槍）,1,,,,,,,,,,
27,石槍,1,2,細い木の幹,1,,いい形の石（槍）,1,,,,,,,,,,
28,石槍,1,3,細い木の幹,1,,いい形の石（槍）,1,,,,,,,,,,
29,石槍,1,4,細い木の幹,1,,いい形の石（槍）,1,,,,,,,,,,
30,石槍,1,5,細い木の幹,1,,いい形の石（槍）,1,,,,,,,,,,
31,石斧,1,,ツタ,2,,いい形の石（斧）,1,,,,,,,,,,
32,石斧,1,1,ツタ,2,,いい形の石（斧）,1,,,,,,,,,,
33,石斧,1,2,ツタ,2,,いい形の石（斧）,1,,,,,,,,,,
34,石斧,1,3,ツタ,2,,いい形の石（斧）,1,,,,,,,,,,
35,石斧,1,4,ツタ,2,,いい形の石（斧）,1,,,,,,,,,,
36,石斧,1,5,ツタ,2,,いい形の石（斧）,1,,,,,,,,,,
37,弓矢の弓,1,,細い木の幹,1,,ツタ,1,,,,,,,,,,
38,弓矢の弓,1,1,細い木の幹,1,,ツタ,1,,,,,,,,,,
39,弓矢の弓,1,2,細い木の幹,1,,ツタ,1,,,,,,,,,,
40,弓矢の弓,1,3,細い木の幹,1,,ツタ,1,,,,,,,,,,
41,弓矢の弓,1,4,細い木の幹,1,,ツタ,1,,,,,,,,,,
42,弓矢の弓,1,5,細い木の幹,1,,ツタ,1,,,,,,,,,,
43,弓矢の弓,1,6,細い木の幹,1,,ツタ,1,,,,,,,,,,
44,弓矢の弓,1,7,細い木の幹,1,,ツタ,1,,,,,,,,,,
45,弓矢の弓,1,8,細い木の幹,1,,ツタ,1,,,,,,,,,,
46,弓矢の弓,1,9,細い木の幹,1,,ツタ,1,,,,,,,,,,
47,弓矢の弓,1,10,細い木の幹,1,,ツタ,1,,,,,,,,,,
48,弓矢の矢,1,,木の枝,1,,,,,,,,,,,,,
49,弓矢の矢,1,1,木の枝,1,,,,,,,,,,,,,
50,石付き鉄パイプ,1,,鉄パイプ,1,,いい形の石（斧）,1,,ツタ,2,,,,,,,
51,アトラトル,1,,木の枝,1,,,,,,,,,,,,,
52,アトラトルに使う槍,1,,木の枝,1,,いい形の石（槍）,1,,ツタ,2,,,,,,,
53,アトラトルに使う槍,1,1,木の枝,1,,いい形の石（槍）,1,,ツタ,2,,,,,,,
54,アトラトルに使う槍,1,2,木の枝,1,,いい形の石（槍）,1,,ツタ,2,,,,,,,
55,アトラトルに使う槍,1,3,木の枝,1,,いい形の石（槍）,1,,ツタ,2,,,,,,,
56,アトラトルに使う槍,1,4,木の枝,1,,いい形の石（槍）,1,,ツタ,2,,,,,,,
57,アトラトルに使う槍,1,5,木の枝,1,,いい形の石（槍）,1,,ツタ,2,,,,,,,
