ID,タイプ,説明,画像
1,リッポウタイ,"近づいてきて頭突きしてくる。大きさ、動きから数百キロはあるとみられる。
一定の距離に近づくまでは石のように動かない。飲食している様子はないが生命の気配がある。
しかし単純な行動しかしないため生命のように見えない。
全身が化学物質であるため食べることはできない。 
",res\image\test.png
2,キュウ,"近づいてくる速度が速い。雑魚。リッポウタイほどは重くないがそれでも数百キロはあると思われる。
リッポウタイより移動速度が速い代わりに体力は少ない。 
",res\image\test.png
3,エンバン,"弾を撃ってくる。
浮いているように見えるが近くで見ると脚がある。 
",res\image\test.png
4,エンチュウ,"超スピードで攻撃してくる。
",res\image\test.png
5,ビッグリッポウタイ,"ビッグなリッポウタイ。HPが高く、攻撃力が高い。 
",res\image\test.png
6,スモールリッポウタイ,"HPが低く、攻撃力が低い。群れで生息している。 
",res\image\test.png
7,キュウ,"半円状の敵。翼があり空を飛んでいる。酸をまき散らす。 
",res\image\test.png
8,ハンエン,"半球上の敵。
攻撃を避けようとしてくる。 
",res\image\test.png
9,ハンキュウ,"オレンジ色のリッポウタイ。回転攻撃をしてくる。 
",res\image\test.png
10,オレンジリッポウタイ,,res\image\test.png
11,島民の霊,"ジーオフと契約して死んだ島
民。主人公の小瓶を求めて近
寄ってくる。小瓶を求めるの
は生前の記憶によるもの。小
瓶を求めるが、小瓶を得ても
何もできない。 
",res\image\test.png
