ID,ÉÇÉfÉãñº,X,Y,Z,RotX,RotY,RotZ,Scale,ï\é¶
1,res\\model\\tree1\\tree1.x,-285.000000,11.000000,550.000000,0.500000,0.300000,0.000000,0.300000,Åõ
2,res\\model\\tree1\\tree1.x,-290.000000,11.000000,545.000000,0.500000,0.600000,0.000000,0.300000,Åõ
3,res\\model\\tree1\\tree1.x,-295.000000,11.000000,540.000000,0.500000,0.900000,0.000000,0.300000,Åõ
4,res\\model\\tree1\\tree1.x,-300.000000,11.000000,535.000000,0.500000,1.200000,0.000000,0.300000,
5,res\\model\\tree1\\tree1.x,-305.000000,11.000000,530.000000,0.500000,1.500000,0.000000,0.300000,
6,res\\model\\tree1\\tree1.x,-310.000000,11.000000,525.000000,0.500000,1.800000,0.000000,0.300000,Åõ
7,res\\model\\tree1\\tree1.x,-315.000000,11.000000,520.000000,0.500000,2.100000,0.000000,0.300000,Åõ
8,res\\model\\tree1\\tree1.x,-320.000000,11.000000,515.000000,0.500000,2.400000,0.000000,0.300000,Åõ
9,res\\model\\tree1\\tree1.x,-325.000000,11.000000,510.000000,0.500000,2.700000,0.000000,0.300000,Åõ
10,res\\model\\tree1\\tree1.x,-330.000000,11.000000,505.000000,0.500000,3.000000,0.000000,0.300000,Åõ
11,res\\model\\tree1\\tree1.x,-335.000000,11.000000,500.000000,0.500000,3.300000,0.000000,0.300000,Åõ
12,res\\model\\tree1\\tree1.x,-340.000000,11.000000,495.000000,0.500000,3.600000,0.000000,0.300000,Åõ
13,res\\model\\tree1\\tree1.x,-345.000000,11.000000,490.000000,0.500000,3.900000,0.000000,0.300000,Åõ
14,res\\model\\tree1\\tree1.x,-350.000000,11.000000,485.000000,0.500000,4.200000,0.000000,0.300000,Åõ
15,res\\model\\tree1\\tree1.x,-355.000000,11.000000,480.000000,0.500000,4.500000,0.000000,0.300000,Åõ
16,res\\model\\rock1\\rock1.x,-360.000000,11.000000,475.000000,0.000000,4.800000,0.000000,3.000000,Åõ
17,res\\model\\rock1\\rock1.x,-365.000000,11.000000,470.000000,0.000000,5.100000,0.000000,3.000000,Åõ
18,res\\model\\rock1\\rock1.x,-370.000000,11.000000,465.000000,0.000000,5.400000,0.000000,3.000000,Åõ
19,res\\model\\rock1\\rock1.x,-375.000000,11.000000,460.000000,0.000000,5.700000,0.000000,3.000000,Åõ
20,res\\model\\rock1\\rock1.x,-380.000000,11.000000,455.000000,0.000000,6.000000,0.000000,3.000000,Åõ
21,res\\model\\rock1\\rock1.x,-385.000000,11.000000,450.000000,0.000000,6.300000,0.000000,3.000000,Åõ
22,res\\model\\rock1\\rock1.x,-390.000000,11.000000,445.000000,0.000000,6.600000,0.000000,3.000000,Åõ
23,res\\model\\rock1\\rock1.x,-395.000000,11.000000,440.000000,0.000000,6.900000,0.000000,3.000000,Åõ
24,res\\model\\rock1\\rock1.x,-400.000000,11.000000,435.000000,0.000000,7.200000,0.000000,3.000000,Åõ
25,res\\model\\rock1\\rock1.x,-405.000000,11.000000,430.000000,0.000000,7.500000,0.000000,3.000000,Åõ
26,res\\model\\rock1\\rock1.x,-410.000000,11.000000,425.000000,0.000000,7.800000,0.000000,3.000000,Åõ
27,res\\model\\rock1\\rock1.x,-415.000000,11.000000,420.000000,0.000000,8.100000,0.000000,3.000000,Åõ
28,res\\model\\rock1\\rock1.x,-420.000000,11.000000,415.000000,0.000000,8.400000,0.000000,3.000000,Åõ
29,res\\model\\rock1\\rock1.x,-425.000000,11.000000,410.000000,0.000000,8.700000,0.000000,3.000000,Åõ
30,res\\model\\rock1\\rock1.x,-430.000000,11.000000,405.000000,0.000000,9.000000,0.000000,3.000000,Åõ
