ID,アイテム名,SubID,耐久度
1,スマホ,11,999
1,スマホ,12,998
1,スマホ,13,997
1,スマホ,14,996
1,スマホ,15,995
1,スマホ,16,994
1,スマホ,17,993
1,スマホ,18,992
1,スマホ,19,991
1,スマホ,20,990
2,家のカギ,11,989
2,家のカギ,12,988
2,家のカギ,13,987
2,家のカギ,14,986
2,家のカギ,15,985
2,家のカギ,16,984
2,家のカギ,17,983
2,家のカギ,18,982
2,家のカギ,19,981
2,家のカギ,20,980
3,赤い実,11,979
3,赤い実,12,978
3,赤い実,13,977
3,赤い実,14,976
3,赤い実,15,975
3,赤い実,16,974
3,赤い実,17,973
3,赤い実,18,972
3,赤い実,19,971
3,赤い実,20,970
4,毒抜きした赤い実,11,969
4,毒抜きした赤い実,12,968
4,毒抜きした赤い実,13,967
4,毒抜きした赤い実,14,966
4,毒抜きした赤い実,15,965
4,毒抜きした赤い実,16,964
4,毒抜きした赤い実,17,963
4,毒抜きした赤い実,18,962
4,毒抜きした赤い実,19,961
4,毒抜きした赤い実,20,960
5,ココナッツの実,11,959
5,ココナッツの実,12,958
5,ココナッツの実,13,957
5,ココナッツの実,14,956
5,ココナッツの実,15,955
5,ココナッツの実,16,954
5,ココナッツの実,17,953
5,ココナッツの実,18,952
5,ココナッツの実,19,951
5,ココナッツの実,20,950
6,熟したココナッツの実,11,949
6,熟したココナッツの実,12,948
6,熟したココナッツの実,13,947
6,熟したココナッツの実,14,946
6,熟したココナッツの実,15,945
6,熟したココナッツの実,16,944
6,熟したココナッツの実,17,943
6,熟したココナッツの実,18,942
6,熟したココナッツの実,19,941
6,熟したココナッツの実,20,940
7,細長いどんぐり,11,939
7,細長いどんぐり,12,938
7,細長いどんぐり,13,937
7,細長いどんぐり,14,936
7,細長いどんぐり,15,935
7,細長いどんぐり,16,934
7,細長いどんぐり,17,933
7,細長いどんぐり,18,932
7,細長いどんぐり,19,931
7,細長いどんぐり,20,930
8,小さくて丸いどんぐり,11,929
8,小さくて丸いどんぐり,12,928
8,小さくて丸いどんぐり,13,927
8,小さくて丸いどんぐり,14,926
8,小さくて丸いどんぐり,15,925
8,小さくて丸いどんぐり,16,924
8,小さくて丸いどんぐり,17,923
8,小さくて丸いどんぐり,18,922
8,小さくて丸いどんぐり,19,921
8,小さくて丸いどんぐり,20,920
9,大きいどんぐり ,11,919
9,大きいどんぐり ,12,918
9,大きいどんぐり ,13,917
9,大きいどんぐり ,14,916
9,大きいどんぐり ,15,915
9,大きいどんぐり ,16,914
9,大きいどんぐり ,17,913
9,大きいどんぐり ,18,912
9,大きいどんぐり ,19,911
9,大きいどんぐり ,20,910
10,あく抜きをした大きいどんぐり,11,909
10,あく抜きをした大きいどんぐり,12,908
10,あく抜きをした大きいどんぐり,13,907
10,あく抜きをした大きいどんぐり,14,906
10,あく抜きをした大きいどんぐり,15,905
10,あく抜きをした大きいどんぐり,16,904
10,あく抜きをした大きいどんぐり,17,903
10,あく抜きをした大きいどんぐり,18,902
10,あく抜きをした大きいどんぐり,19,901
10,あく抜きをした大きいどんぐり,20,900
11,ハイビスカス,11,899
11,ハイビスカス,12,898
11,ハイビスカス,13,897
11,ハイビスカス,14,896
11,ハイビスカス,15,895
11,ハイビスカス,16,894
11,ハイビスカス,17,893
11,ハイビスカス,18,892
11,ハイビスカス,19,891
11,ハイビスカス,20,890
12,花輪,11,889
12,花輪,12,888
12,花輪,13,887
12,花輪,14,886
12,花輪,15,885
12,花輪,16,884
12,花輪,17,883
12,花輪,18,882
12,花輪,19,881
12,花輪,20,880
13,ツクシ,11,879
13,ツクシ,12,878
13,ツクシ,13,877
13,ツクシ,14,876
13,ツクシ,15,875
13,ツクシ,16,874
13,ツクシ,17,873
