ID,タイプ,PosX,PosY,PosZ,RotX,RotY,RotZ,残りHP,討伐済み
1,島民の霊,-1629.1,76.2,-2043.7,0,0,0,100,
2,島民の霊,-1620.4,72.9,-2052.4,0,0,0,100,
3,島民の霊,-1611.7,69.6,-2061.1,0,0,0,100,
4,島民の霊,-1603,66.3,-2069.8,0,0,0,100,
5,島民の霊,-1663.8,65.9,-2043.7,0,0,0,100,
6,島民の霊,-1663.8,71.8,-2035,0,0,0,100,
7,島民の霊,-1663.8,77.7,-2026.4,0,0,0,100,
8,島民の霊,-1663.8,83.6,-2017.7,0,0,0,100,
9,島民の霊,-1650.3,60.9,-2056.9,0,0,0,100,
10,島民の霊,-1632.4,128.8,-1977.6,0,0,0,100,
11,島民の霊,-1624.9,125.8,-1985.3,0,0,0,100,
12,島民の霊,-1617.5,122.5,-1993.1,0,0,0,100,
13,島民の霊,-1610.3,119.2,-2001,0,0,0,100,
14,島民の霊,-1657.1,118.1,-1977.6,0,0,0,100,
15,島民の霊,-1656.9,124.3,-1970.1,0,0,0,100,
16,島民の霊,-1656.5,130.6,-1962.8,0,0,0,100,
17,島民の霊,-1655.8,136.8,-1955.5,0,0,0,100,
18,島民の霊,-1632.4,108.6,-2002.3,0,0,0,100,
19,島民の霊,-1640.1,105.4,-2002.1,0,0,0,100,
20,島民の霊,-1647.9,102.4,-2001.7,0,0,0,100,
21,島民の霊,-1655.8,99.5,-2001,0,0,0,100,
22,島民の霊,-1563,97.2,-2047.1,0,0,0,100,
23,島民の霊,-1555.5,93,-2054.8,0,0,0,100,
24,島民の霊,-1548.1,88.7,-2062.6,0,0,0,100,
25,島民の霊,-1540.8,84.2,-2070.5,0,0,0,100,
26,島民の霊,-1587.7,90.4,-2047.1,0,0,0,100,
27,島民の霊,-1587.5,96.6,-2039.6,0,0,0,100,
28,島民の霊,-1587,102.7,-2032.2,0,0,0,100,
29,島民の霊,-1586.4,108.8,-2024.9,0,0,0,100,
30,島民の霊,-1563,77.1,-2071.8,0,0,0,100,
31,島民の霊,-1570.7,75.1,-2071.6,0,0,0,100,
32,島民の霊,-1578.5,73.3,-2071.1,0,0,0,100,
33,島民の霊,-1586.4,71.6,-2070.5,0,0,0,100,
34,島民の霊,-1563,161.5,-1977.6,0,0,0,100,
35,島民の霊,-1555.5,157.1,-1985.3,0,0,0,100,
36,島民の霊,-1548.1,152.6,-1993.1,0,0,0,100,
37,島民の霊,-1540.8,147.9,-2001,0,0,0,100,
38,島民の霊,-1587.7,152,-1977.6,0,0,0,100,
39,島民の霊,-1587.5,159.2,-1970.1,0,0,0,100,
40,島民の霊,-1587,166.4,-1962.8,0,0,0,100,
41,島民の霊,-1586.4,173.5,-1955.5,0,0,0,100,
42,島民の霊,-1563,138.1,-2002.3,0,0,0,100,
43,島民の霊,-1570.7,135.3,-2002.1,0,0,0,100,
44,島民の霊,-1578.5,132.7,-2001.7,0,0,0,100,
45,島民の霊,-1586.4,130.2,-2001,0,0,0,100,
46,島民の霊,-1511.8,54.6,-2119.7,0,0,0,100,
47,島民の霊,-1524.9,63.6,-2104.5,0,0,0,100,
48,島民の霊,-1524.9,69.8,-2095.8,0,0,0,100,
49,島民の霊,-1524.9,76,-2087.1,0,0,0,100,
50,島民の霊,-1490.2,122,-2043.7,0,0,0,100,
51,島民の霊,-1481.5,115.9,-2052.4,0,0,0,100,
52,島民の霊,-1472.8,109.8,-2061.1,0,0,0,100,
53,島民の霊,-1464.1,103.7,-2069.8,0,0,0,100,
54,島民の霊,-1524.9,114.3,-2043.7,0,0,0,100,
55,島民の霊,-1524.9,122.3,-2035,0,0,0,100,
56,島民の霊,-1524.9,130.4,-2026.4,0,0,0,100,
57,島民の霊,-1524.9,138.4,-2017.7,0,0,0,100,
58,島民の霊,-1490.2,89.9,-2078.4,0,0,0,100,
59,島民の霊,-1498.9,87.9,-2078.4,0,0,0,100,
60,島民の霊,-1507.5,86,-2078.4,0,0,0,100,
61,島民の霊,-1516.2,84.1,-2078.4,0,0,0,100,
62,島民の霊,-1490.2,193.7,-1974.3,0,0,0,100,
63,島民の霊,-1481.5,187.2,-1983,0,0,0,100,
64,島民の霊,-1472.8,180.6,-1991.6,0,0,0,100,
65,島民の霊,-1464.1,174.1,-2000.3,0,0,0,100,
66,島民の霊,-1524.9,183.2,-1974.3,0,0,0,100,
67,島民の霊,-1524.9,192.3,-1965.6,0,0,0,100,
68,島民の霊,-1524.9,201.5,-1956.9,0,0,0,100,
69,島民の霊,-1524.9,210.7,-1948.2,0,0,0,100,
70,島民の霊,-1490.2,157,-2009,0,0,0,100,
71,島民の霊,-1498.9,154.4,-2009,0,0,0,100,
72,島民の霊,-1507.5,151.7,-2009,0,0,0,100,
73,島民の霊,-1516.2,149.1,-2009,0,0,0,100,
74,島民の霊,-1420.7,73.2,-2113.2,0,0,0,100,
75,島民の霊,-1403.4,61,-2130.5,0,0,0,100,
76,島民の霊,-1448.8,68,-2116.5,0,0,0,100,
77,島民の霊,-1448.6,73.9,-2109,0,0,0,100,
78,島民の霊,-1448.1,79.8,-2101.6,0,0,0,100,
79,島民の霊,-1447.5,85.7,-2094.4,0,0,0,100,
80,島民の霊,-1435.7,59.9,-2128.2,0,0,0,100,
