ID,タイプ,説明,画像
cube,リッポウタイ,"近づいてきて頭突きしてくる
。大きさ、動きから数百キロ
はあるとみられる。
一定の距離に近づくまでは石
のように動かない。",res\image\rippoutai01.png
sphere,キュウ,"近づいてくる速度が速い。雑
魚。リッポウタイほどは重く
ないがそれでも数百キロはあ
ると思われる。
リッポウタイより移動速度が
速い代わりに体力は少ない。 
",res\image\sphere00.png
enban,エンバン,"弾を撃ってくる。
浮いているように見えるが近
くで見ると脚がある。 
",res\image\enban01.png
enchu,エンチュウ,"超スピードで攻撃してくる。
",res\image\enchuu01.png
bigCube,ビッグリッポウタイ,"ビッグなリッポウタイ。ＨＰ
が高く、攻撃力が高い。 
",res\image\bigCube.png
smallCube,スモールリッポウタイ,"HPが低く、攻撃力が低い。
",res\image\smallCube.png
hankyu,ハンキュウ,"半球上の敵。
攻撃を避けようとしてくる。  
",res\image\hankyuu.png
hanen,ハンエン,"半円状の敵。翼があり空を飛
んでいる。酸をまき散らす。
",res\image\hanen01.png
orangeCube,オレンジリッポウタイ,"オレンジ色のリッポウタイ。
回転攻撃をしてくる。 
",res\image\orange.png
ghost,島民の霊,"ジーオフと契約して死んだ島
民。主人公の小瓶を求めて近
寄ってくる。小瓶を求めるの
は生前の記憶によるもの。小
瓶を求めるが、小瓶を得ても
何もできない。 
",res\image\ghost00.png
