ID,地名,説明文,X,Y,画像ファイル名
poweregg,パワーエッグ星,"ホシマンたちが住む惑星。
地軸が大きく傾いている。
",342,345,res\\image\\poweregg.png
prolitan,プロリタン島,"無人島。
外周２０ｋｍ。面積２５ｋｍ。
",464,809,res\\image\\widemap1.png
precision,プレシジョン,"廃墟。
市役所だったようだ。
",304,794,res\\image\\narrowmap1.png
centoz,セントオーズ神社,"　
",781,156,res\\image\\narrowmap3.png
ubuntu,ウブントゥ洞窟,"　
",648,898,res\\image\\narrowmap2.png
redpat,レッドパット河畔,"　
",651,826,res\\image\\narrowmap8.png
thinkhat,シンクハット海岸,,220,909,res\\image\\narrowmap10.png
bitnabi,ビットナビ森林,"ヤシの木が生えている海岸。
",300,282,res\\image\\narrowmap9.png
redmize,レッドマイズ山,"
",110,115,res\\image\\narrowmap12.png
jenking,ジェンキング湿地帯,"　
",624,348,res\\image\\narrowmap6.png
geforqe,ジーフォーク共和国,"西側にある国
",461,426,res\\image\\widemap3.png
radeou,ラデオウ連邦,"ホシマンの出身地
",411,957,res\\image\\widemap2.png
optiple,オプティプル島,"本来行くはずだった島。
バイカーの聖地。
ヒグマがいっぱい。 
",686,19,res\\image\\widemap5.png
quesee,キューシー,"パワーエッグ星の恒星。
寿命が近く、赤くて弱い。
",637,461,res\\image\\qc.png
gip,ギップ灯台,"　
",920,990,res\\image\\narrowmap7.png
virtualbecks,バーチャルベックス港跡,"　
",227,659,res\\image\\narrowmap5.png
directnex,ダイレクトネクス海岸洞窟,"　
",475,480,res\\image\\narrowmap11.png
seeporoporo,シーポロポロ苔庭,"　
",549,23,res\\image\\narrowmap4.png
blenber,ブレンバー海域,"南側の海域。
広大な海が広がっており、陸地はない。
",649,1,res\\image\\widemap4.png
