クエストID,開始タイプ,開始タイプオプション,開始イベント,完了タイプ,完了オプション１,完了オプション２,完了イベント
Q1,"位置
クエストが完了していないなら","-285.0:16.0:539.0:10.0
Q1",,自動完了,,,<talk>res\\script\\origin\\talk2Sample.csv
Q2,"クエストが完了していたら
クエストが完了していないなら","Q1
Q2",,調べたら,-270.0:19.0:523.0:5.0,,<talk>res\\script\\origin\\talkFinishQuest1.csv
Q3,"クエストが完了していたら
クエストが完了していないなら","Q2
Q3",,自動完了,,,"<hide>res\\model\\rockWithDepressions\\water.x
<sound>res\\sound\\drink.wav"
Q4,"クエストが完了していたら
クエストが完了していないなら","Q1
Q4",,調べたら,-268.0:19.0:504.0:5.0,,"<hide>res\\model\\rockWithDepressions\\water.x
<sound>res\\sound\\drink.wav"
Q5,"クエストが完了していたら
クエストが完了していないなら","Q1
Q5",,調べたら,-248.0:24.0:544.0:5.0,,"<hide>res\\model\\rockWithDepressions\\water.x
<sound>res\\sound\\drink.wav"
Q6,"クエストが完了していたら
クエストが完了していないなら","Q1
Q6",,調べたら,-225.0:26.0:615.0:5.0,,"<hide>res\\model\\rockWithDepressions\\water.x
<sound>res\\sound\\drink.wav"
Q7,"クエストが完了していたら
クエストが完了していないなら","Q1
Q7",,調べたら,-230.0:26.0:590.0:5.0,,"<hide>res\\model\\rockWithDepressions\\water.x
<sound>res\\sound\\drink.wav"
Q8,"クエストが完了していたら
クエストが完了していないなら","Q1
Q8",,調べたら,-266.0:19.0:556.0:5.0,,"<hide>res\\model\\rockWithDepressions\\water.x
<sound>res\\sound\\drink.wav"
Q9,"クエストが完了していたら
クエストが完了していたら
クエストが完了していたら
クエストが完了していたら
クエストが完了していたら
クエストが完了していたら
クエストが完了していないなら","Q3
Q4
Q5
Q6
Q7
Q8
Q9",,自動完了,,,<talk>res\\script\\origin\\talkFinishQuest2.csv
Q10,"クエストが完了していたら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら","Q9
Q10
Q11
Q12
Q13
Q14
Q15
Q16
Q17",,調べたら, -220:29:574:5,,"<finish>Q10
<finish>Q11
<finish>Q12
<finish>Q13
<finish>Q14
<finish>Q15
<finish>Q16
<finish>Q17
<talk>res\\script\\origin\\talkFinishQuest3.csv"
Q11,"クエストが完了していたら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら
クエストが完了していないなら","Q9
Q10
Q11
Q12
Q13
Q14
Q15
Q16
Q17",,調べたら,-228:28:552:5,,"<finish>Q10
<finish>Q11
<finish>Q12
<finish>Q13
<finish>Q14
<finish>Q15
<finish>Q16
<finish>Q17
<talk>res\\script\\origin\\talkFinishQuest3.csv"
