ID,オプション1,オプション2,オプション3
1,"After fleeing the monsters, Star Man kept picking up acorns as he searched for the landmark rock.",res\\image\\hoshiman00.png,
2,"After wandering lost in the forest all day, he finally found the landmark rock.",res\\image\\hoshiman00.png,
3,(This is it...! No mistake!),res\\image\\hoshiman00.png,
4,"""Hey!! Anybody!""",res\\image\\hoshiman00.png,
5,"Star Man shouted, but there was no reply.",res\\image\\hoshiman00.png,
6,"(Should I have specified the time too?
Maybe... they've already died...)",res\\image\\hoshiman00.png,
7,"With no water or food and monsters packed unnaturally densely in the forest,
assuming they were alive was unrealistic.",res\\image\\hoshiman00.png,
8,"(No... I can't give up yet.
...I'll make a fire and send up smoke.)",res\\image\\hoshiman00.png,
9,"To avoid starting a forest fire, Star Man decided to make the fire on a rock.",res\\image\\hoshiman00.png,
10,"(I've seen fire‑making in videos, but I've never done it.)",res\\image\\hoshiman00.png,
11,One hour later...,,
12,"After rubbing a branch for an hour, Star Man managed to ignite it.",res\\image\\hoshiman00.png,
13,(My hands hurt so much...),res\\image\\hoshiman00.png,
14,Star Man's hands were covered in cuts.,res\\image\\hoshiman00.png,
15,"He grew the fire into a bonfire,
then kept shouting toward the mountains.",res\\image\\hoshiman00.png,
16,"""Hey! Triangle Man!! Square Man!!""",res\\image\\hoshiman00.png,
17,"After four hours, toward evening, the children's voices came from far away.",res\\image\\hoshiman00.png,
18,(Thank goodness...! They're alive..!),res\\image\\hoshiman00.png,
19,"""Hey!""
When Star Man called out, the children ran toward him.",res\\image\\sankakuman00.png,res\\image\\shikakuman00.png
20,"""Look. I found coconuts. You can drink.""",res\\image\\hoshiman00.png,
21,"""Yeah...""",res\\image\\sankakuman00.png,res\\image\\shikakuman00.png
22,"Star Man took the coconuts from the bag, cracked them, and handed them to the kids.",res\\image\\hoshiman00.png,
23,"""Where have you been until now?""",res\\image\\hoshiman00.png,
24,"""Over there, eating acorns.""",res\\image\\sankakuman00.png,res\\image\\shikakuman00.png
25,"""I see. What about water?""",res\\image\\hoshiman00.png,
26,"""A white person gave us some.""",res\\image\\sankakuman00.png,res\\image\\shikakuman00.png
27,"""...? A white person...?""",res\\image\\hoshiman00.png,
28,"""Dunno.""",res\\image\\sankakuman00.png,res\\image\\shikakuman00.png
29,"""I see... There's a place over there where coconut trees grow.
Let's go that way.""",res\\image\\hoshiman00.png,
30,"""Yeah""",res\\image\\sankakuman00.png,res\\image\\shikakuman00.png
31,"""On the way there's a ruin, so we'll go there first,
then head to the coconuts.""",res\\image\\hoshiman00.png,
32,"""Got it.""",res\\image\\sankakuman00.png,res\\image\\shikakuman00.png
33,"""A white person came, y'know.""",res\\image\\sankakuman00.png,res\\image\\shikakuman00.png
34,Triangle Man told Star Man.,res\\image\\sankakuman00.png,res\\image\\shikakuman00.png
35,"""Like, they didn't say a single word.
They set down some bamboo and went somewhere.
There was water inside the bamboo.""",res\\image\\sankakuman00.png,res\\image\\shikakuman00.png
36,"""A fairy... or maybe a ghost...""",res\\image\\hoshiman00.png,
37,"""Haha.""",res\\image\\sankakuman00.png,res\\image\\shikakuman00.png
38,"""...""",res\\image\\hoshiman00.png,
39,"""You two. We're going to the place with the coconut trees now,
but there are various kinds of monsters along the way.""",res\\image\\hoshiman00.png,
40,"""Okay""",res\\image\\sankakuman00.png,res\\image\\shikakuman00.png
41,"""Be careful not to get close. If you don't approach, they won't move.""",res\\image\\hoshiman00.png,
42,The three headed for the ruins.,,
