ID,オプション1,オプション2,オプション3
1,"（意識がもうろうとしていたから気づかなかったが・・・、
　周りをよく見ると化け物はそこら中にいるな。
　・・・近づかなければ、石のようにじっとしてる・・・）",res\\image\\hoshiman00.png,
2,目が見えていないのか、ある程度まで近づかなければ無害だった。,,res\\image\\rippoutai00.png
3,（・・・？）,res\\image\\hoshiman00.png,
4,足元にドングリが転がっていることに気が付いた。視界には入っていたが見過ごしていた。,res\\image\\hoshiman00.png,
5,"（そうだ、ドングリは食べられるはずだ。イクリプスで・・・。
　ドングリは食べられる物と食べられない物があって食べられる物の場合、
　そのままでも食べることができたはずだ）",res\\image\\hoshiman00.png,
6,"イクリプスという、ホシマンの住んでいた国で有名な動画配信サイトがあり
そこで見た動画の中にドングリを食べる動画があった。",,
7,ホシマンはドングリを石で叩き割り、中身を取り出して口の中に入れてみた。,res\\image\\hoshiman00.png,
8,（よかった・・・。渋いけど、吐き出すほどじゃない）,res\\image\\hoshiman00.png,
9,"これまでお店で売っている食べ物しか食べたことのないホシマンにとって
大丈夫そうと思っても、飲み込むのは勇気が必要だった。",res\\image\\hoshiman00.png,
10,一つ目を飲み込んだ後、ホシマンは周りを見渡した。,,
11,（あるだけ食べよう）,res\\image\\hoshiman00.png,
12,"【Ｃキー／ＢＡＣＫボタンでアクションメニューを表示できる】
【土や木、草の近くでアクションメニューから「採取」を行ってみよう】",,
