"ID","オプション1","オプション2","オプション3","Unnamed: 4","Unnamed: 5"
1,"Star Man looked up at the sky and sighed.","res\\image\\hoshiman00.png","","","・オプション1は表示したいテキスト
・半角英数字は使用禁止
・３行まで
・オプション2は左に表示したい画像
・オプション3は右に表示したい画像"
2,"The twilight never seemed to fade into true night.","","res\\image\\rippoutai00.png","",""
3,"It was hard to tell how much time had passed.","res\\image\\hoshiman00.png","","",""
4,"He stood up, stretching his sore muscles.","res\\image\\hoshiman00.png","","",""
5,"A faint rustling sound caught his attention.","res\\image\\hoshiman00.png","","",""
6,"He turned toward it, tense but curious.","","","",""
7,"From behind the bushes, a small figure emerged.","res\\image\\hoshiman00.png","","",""
8,"It was a child with a square-shaped head.","res\\image\\hoshiman00.png","","",""
9,"The boy looked just as surprised to see Star Man.","res\\image\\hoshiman00.png","","",""
10,"They stared at each other in silence.","","","",""
11,"Then the child spoke. 'You're not from here, are you?'","res\\image\\hoshiman00.png","","",""
