ID,オプション1,オプション2,オプション3,Unnamed: 4
1,Star Man was heading to the Virtual Bex Port Ruins.,res\\image\\hoshiman00.png,,res\\image\\talkMinatoato.png
2,"It was too far for a day trip, and camping out was necessary,
so he had brought gear for that.",res\\image\\hoshiman00.png,,res\\image\\talkMinatoato.png
3,He saw the Virtual Bex Port Ruins in the distance. No one was there.,res\\image\\hoshiman00.png,,res\\image\\talkMinatoato.png
4,"(If possible, I don't want to meet the one called Nes.)",res\\image\\hoshiman00.png,,res\\image\\talkMinatoato.png
5,"Cautiously, Star Man entered Virtual Bex.",res\\image\\hoshiman00.png,,res\\image\\talkMinatoato.png
6,"In a house's storeroom, Star Man found a round ball.",res\\image\\hoshiman00.png,,res\\image\\talkMinatoato.png
7,"(I don't know what it's called, but fishermen use these a lot.
If I attach them, it should raise the raft's durability.)",res\\image\\hoshiman00.png,,res\\image\\talkMinatoato.png
8,Star Man picked up a buoy.,res\\image\\hoshiman00.png,,res\\image\\talkMinatoato.png
9,(There's a limit to how many I can carry at once...),res\\image\\hoshiman00.png,,res\\image\\talkMinatoato.png
10,"The Virtual Bex Port Ruins were deserted, but there were signs of people.",res\\image\\hoshiman00.png,,res\\image\\talkMinatoato.png
11,<CLACK>,res\\image\\hoshiman00.png,,res\\image\\talkMinatoato.png
12,There was a sound from somewhere.,res\\image\\hoshiman00.png,,res\\image\\talkMinatoato.png
13,"When he nervously went that way, someone seemed to be hiding.",res\\image\\hoshiman00.png,,res\\image\\talkMinatoato.png
14,"""Someone there...?""",res\\image\\hoshiman00.png,,res\\image\\talkMinatoato.png
15,"""...""",res\\image\\hoshiman00.png,,res\\image\\talkMinatoato.png
16,No reply.,res\\image\\hoshiman00.png,,res\\image\\talkMinatoato.png
17,(!!),res\\image\\hoshiman00.png,,res\\image\\talkMinatoato.png
18,"""Oooooooo...""",res\\image\\hoshiman00.png,,res\\image\\talkMinatoato.png
19,A ghost appeared from another direction. The ghost was enormously fat.,res\\image\\hoshiman00.png,res\\image\\noble00.png,res\\image\\talkMinatoato.png
20,(...),res\\image\\hoshiman00.png,,res\\image\\talkMinatoato.png
21,(Matches the description of Noble that Trapezoid Man gave...),res\\image\\hoshiman00.png,,res\\image\\talkMinatoato.png
22,The ghost floated closer.,res\\image\\hoshiman00.png,res\\image\\noble00.png,res\\image\\talkMinatoato.png
