ID,オプション1,オプション2,オプション3,
1,ホシマンはビムへ会いにシーポロポロ苔庭にやって来た。,res\\image\\hoshiman00.png,,res\\image\\talkKokeniwa.png
2,苔庭はあまり広くないため少し歩けば全体を探索できた。,res\\image\\hoshiman00.png,,res\\image\\talkKokeniwa.png
3,（いた）,res\\image\\hoshiman00.png,,res\\image\\talkKokeniwa.png
4,ビムは全身が白く、森では目立つ色だったためすぐに見つかった。,res\\image\\hoshiman00.png,,res\\image\\talkKokeniwa.png
5,"ホシマンはビムの方まで歩いて行った。
ビムはこちらを見たまま静止していた。",res\\image\\hoshiman00.png,,res\\image\\talkKokeniwa.png
6,「どうも・・・おひさしぶり」,res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
7,「おひさしぶり」,res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
8,「前、君と一緒にいた実験体の近況が知りたくて君に会いに来た」,res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
9,「・・・」,res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
10,「彼は死にました」,res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
11,「・・・！」,res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
12,「そ・・・、え？」,res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
13,「・・・」,res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
14,「本当なのかそれは」,res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
15,「はい」,res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
16,「なぜだ」,res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
17,「殺されました」,res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
18,「・・・」,res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
19,「誰に？」,res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
20,「ギップ灯台の男に」,res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
21,「・・・！」,res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
22,ギップ灯台の男。ホシマンも以前、彼に遭遇したことがあった。,res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
23,「・・・」,res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
24,"「私もギップ灯台の男は知っている。
　目が会うなり刃物で殺そうとしてきた」",res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
25,「・・・」,res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
26,「お友達は残念だったな・・・」,res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
27,「はい」,res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
28,「ひとまず、仲間にはそう伝えておくよ」,res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
29,「はい」,res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
30,「・・・」,res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
31,「君は名前はあるのか？」,res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
32,「ないです」,res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
33,"「私たちは君のことをビムって名前を付けて呼んでるよ。
　子供たちの好きなキャラクターの名前なんだそうだ」",res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
34,「・・・」,res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
35,　ホシマンはプレシジョンに帰った。,res\\image\\hoshiman00.png,,res\\image\\talkKokeniwa.png
